Ruwais Sulphur Granulation Plant (RSGP) Upgrade for Hail & Ghasha Project No.1005312- EPC Works (Package 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTACHMENT 1 TO ADR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,REFERENCE DOCUMENT,Bidder Clarification Request,Company Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,General ,"Missing Document  
1) Doc. No. 5555-000-EE-A0-6110 - Overall Key Single Line Diagram, Rev R9
2) Doc. No. CA-5555-000-EL-005 - Electrical Load List
3) Doc. No. CA3210-00-EL-002 - Load list for all substations, Rev 2
4) Doc. No. RPT-5312-GG-000-16-11-136 - Electrical Definition Report (SELECT stage)
5) Doc. No. PR-5321-00-GE-003 - Project Execution Plan 
 
Bidder request COMPANY to provide the above missing documents.","The following response  is applicable to all the missing documents queries:

•	For FEED documents under project 1005312, Please refer to the RFT package.
•	For Project number 5555& 3210, This is an old project, used to develop FEED, so Please refer to RFT
•	For Select stage document, under project 5312, These documents have been used to develop FEED, Accordingly, please refer to the RFT package.
•	Material Requisition shared in RFT is Just for Information. It is bidder responsiblity to develop Material requisition for all project material from AVL.
•	For FEED native files, and 3D model, this may be discussed with successful bidder after project awards.
•	Stress Analysis calculations should be conducted by successful bidder during detailed engineering (Caesar file will not be shared)
•	List of all deliverables prepared during FEED has been submitted with RFT, any other technical document shall be developed by EPC Contractor   during detailed engineering based on the scope covered under Annexure 3 & Exhibit B11..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RFQ_of Bulk Material Handling Package,"Missing referenced Document of RFQ_of Bulk Material Handling Package
1) Doc. No. DS-5312-10-MS-0001 - Data sheet for Inline Magnetic Separator 
Bidder request COMPANY to provide the above missing documents.","1. The doc is available in RFT Package. However   filename is DS-5312-10-MS-001 (and not 0001 as mentioned in the referenced document).

 Bidder to refer to Exhibit C Index for complete list of PFDs. However Bidder to check the RFT Index for Document Titles and numbers. (Some document have typo error in document numbers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RFQ of Liq Sulphur Transfer Pumps,"Missing Document of RFQ of Liq Sulphur Transfer Pumps

1) Doc. No. 5312-ADD-1627-027 - Addendum to Design General Specification - Motor Cage Induction and Synchronous

","
 The doc is available in RFT Package. However   filename is 5312-ADD-1630-027

Bidder to check the RFT Index for Document Titles and numbers. (Some document have typo error in document numbers).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B.11.2.15.6 SCOPE OF WORK - GENERAL,Please provide structural drawings for new dome and  New Stacker Reclaimer Package and new Liquid Sulphur Loading and Unloading Platform required and clarify steel works required.,"(1) Bidder to note that new Dome is referring to the existing dome. (It is also referred as Dome-2). Regarding Existing drawings Refer to reply to S No. 1. 
(2) New stacker reclaimer structure   drawing is part of vendor package Refer Data Sheet for New Stacker Reclaimer DS-5312-10-SR-0001 & Project specification  SP-5312-10-ME-002.
(3) Bidder to also note that Liquid Sulphur Loading and unloading platform structure is not in Package 1 scope. It is under Package 2 (Marine scope)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B.11.2.9.1 ADEQUACY STUDY OF EXISTING STRUCTURES,Please clarify steel structures required to be checked and provide as built drawings for these structures,"(1) Bidder to refer Exhibit B.11 clause B.11.2.9.1 second para ""Where it is intended to use existing facilities (foundation, pipe racks, pipe support, buildings, trestles, conveyor galleries, transfer towers etc.) to accommodate the requirements of this project, structural adequacy check for the existing facilities shall be performed for the additional loads in addition to the existing loads. As- built Drawing will be shared with successful Bidder during detailed engineering.
(2) Also Bidder to refer Exhibit B11 clause B11.2.9 civil scope ""In the absence of any as-built drawings, CONTRACTOR shall perform detailed site survey and prepare drawing showing as-built information and update for the purpose of work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GENERAL,As per new scope we understand that marine upgrade is out of our scope so we understand that ship loader is out of our scope so please confirm, Bidder's understanding is not correct. Shiploader is in Package 1 scope. Bidder shall follow scope matrix and specifically what is mentioned in RFT documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,General Utilities Plant (GUP),"In General project description document, there is General Utilities Plant (GUP) mentioned for supply of utilities such as: steam, electrical power, etc. 
Is that plant included in our scope?
If yes, kindly provide the MR and Datasheet of plant equipment.","GUP supplies utilities for the existing users in RSHT-1. All utilities supply for the project scope is available within the plant except process water. 
PW tie-in is inside GUP via approx 2km piping. Refer to Exhibit B11 for details. 
EPC Contractor shall carry out the required modifications to supply required utilities for the project facilities.
For details on the description of these utilities, refer to Process Description, Doc. No: RP-5312-00-PR-001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"P&ID: 5312-40-A1-0222, 
5312-30-A0-5013
Line List: RP-5312-00-PR-012","Bidder request company clarification regarding  the status of  the liquid sulfur line connected to pit 54140-PT-4001 (6""x4""- 30-SU-5133-11023-W). Although this line has been removed from the line list, it is still shown in the Piping and Instrumentation Diagram (P&ID) 5312-40-A1-0222.","Bidder to refer to p&ids  5312-40-A1-0222 &   5312-30-A1-0095 for understanding the flow. 6""x4""- 30-SU-5133-11023-W is required. Line list shall be updated by EPC contractor during detailed design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UPDATE TO SCOPE OF WORK,"In accordance with the document referenced in the Request for Tender (RFT), it specifies a revised H&G design capacity of 9,900 t/d instead of FEED considered capacity of 10,600t/d; Additional Liquid Sulphur design flow of 800 t/d; The contractor shall consider the same and update all the relevant documents to include capacity changes. 

In light of the mentioned stipulation, the Bidder is requesting the Company to furnish details of any additional piping requirements or alterations in piping sizes necessary for consideration within the bid.","It is responsibility of the successful EPC contractor to assess and implement in detailed engineering phase. Therefore,  Bidder shall consider it in his EPC scope / Offer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UPDATE TO SCOPE OF WORK,COMPANY to provide missing  H&G P&ID: R-MM1593-04-PID-0003-01 ,"The P&Id is embedded in the word document (refer Sht 2 of embedded p&id).
However P&ids attached again for reference",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"RP-5312-20-ST-003; Appendix 1
UPDATE TO SCOPE OF WORK","COMPANY is requested to provide piping Tie-ins and piping and associated components details for the Liquid Sulphur Line, Nitrogen, and Instrument Air with the existing lines at the new Liquid Loading Platform (LLP) within the Marine Facility – Berth 1. This request aligns with Package 1, as specified in Table E-1 of the Marine SOW and interfaces.","Bidder to consider the piping tie-ins  tentatively at marine dolphin (MD2) for bidding purpose. The EPC contractor is responsible for the piping installation from this tie-in location to the LLP. The bidder to follow table E1 of  Update/ Amendment to scope of work document for work breakup between Package 1 & 2.  
Existing as- built p&id is attached for reference purpose only in the Amendment to scope of work document. It has to be read in conjuction with the  table E1.  EPC Contractor to prepare details during detail engineering. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OEM contact details,We request COMPANY to provide OEM contact details ,Bidder's reponsibility to check the details for nominated OEMs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,General,Native format of all basic engineering / Tender drawings will be handed-over to successful bidder free of cost. Please confirm.,"
Native files of Tender drawings/ Documents can be provided to successful bidder if available. Otherwise, it is under EPC Contractor responsibility to develop the same. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Drawing No.5312-10-A1-1501, CV-001 Structure Demolition drawing","According to Note No.9, UG / Above ground services to be rerouted.

Please provide the drawings for UG/ Above ground services which required to be rerouted.",All available UG/Above ground drawings will be provided to the successful Bidder. However EPC CONTRACTOR shall perform detailed site survey and prepare detailed drawing for any demolish work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"ESD and F&G Modification SOW, Doc. No. RP-5312-00-IN-010
DCS Modification SOW, Doc. No. RP-5312-00-IN-011
Clause 10.4.4","Please provide the following missing documents for our reference:
1) ADNOC GP PCN Network Security, TE-GU-028 - OT Security Guidelines 2) TE-POL-001- OT Security policy Rev 2",These documents are no longer applicable as these are superseded by OT cyber security specification (AGES-SP-04-013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EXHIBIT C - PART C - UNIT-20 FOLDER,"1) Please clarify whether UNIT-20 will be part of ""Package-2 for RSHT1 Marine Package"". 
2) COMPANY to confirm that any Electrical, I&C, Telecom and CP System for UNIT-20 are not part of Bidder's scope.","Bidder to note that only marine infrastructure (Dolphins and connecting walkways, quadrant beam, unloading platform ) is excluded from UNIT 20. All other scope within unit 20 is included in Package 1 (this tender)

Bidder to refer to 'addendum to scope of work' for scope break-up.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"CCTV System Block Diagram, Dwg. No. 5312-00-A3-7700",The Existing Single Line Diagram for 240V AC UPS at Substation-02 is not provided in the RFT documents. Bidder requests COMPANY to furnish this Single Line Diagram for our reference.,"As requested, Bidder to refer attached SLD for information only. Bidder to verify and confirm the data during detailed engineering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"CCTV System Block Diagram, Dwg. No. 5312-00-A3-7700","We assume that existing 240V AC UPS Distribution Boards at Substation-02 shall also be disconnected, removed and handed over to Company. New UPS Distribution Boards shall be provided to feed the new and existing telecom loads.

COMPANY to confirm.","It is confirmed that the new distribution boards will be EPC Contractor's responsibility to feed the new CCTV system and cameras.  Bidder to note that it is a lump sum project, therefore  all the material and accessories needed for the correct functionality and operation of the CCTV system and cameras are in his scope.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"CCTV System Block Diagram, Dwg. No. 5312-00-A3-7700","We assume that existing 240V AC UPS Distribution Boards at Old Control Room is adequate to feed the new telecom loads at Ship Loader Berth-1.

COMPANY to confirm.","As per B-11.2.14.2 (Electrical scope in Substation-4): Existing 240V AC UPS distribution boards 5330-IDB-1004A/B and 5330-IDB-1006 shall be replaced with new distribution boards 5330-IDB-1004A/B/C and 5330-IDB-1004A/B/C. 

Bidder to note that the old control room is a part of SS-4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Mechanical datasheet for Liquid sulphur storage tank (DOC. No. DS-5312-40-TK-0001, REV.1)","Please clarify/confirm on the following:
1) Note No. M39 states ""Supplier shall consider the localized load due to Sulphur flour on roof considering the number of vent nozzle as per API."". We will consider additional sulphur flour load of 0.75 KPa in the roof plate design. However, relation between sulphur flour load and the number of vents are unclear. Please clarify.

2) With reference to Note M45, please provide the details of condensate return header.

3) With reference to Note P2, please share the details of snuffing steam nozzle.

4) With reference to Note P5, we understand electrical bondind and grounding for liquid sulphur lines will be provided by Target. Pleas confirm.","1) Blanket confirmation cannot be given on such points at this pre bid stage.Bidder's design deliverables shall be reviewed during detail engineering.

2-3) Detail is not available at this stage. Bidder needs to develop during detail engineering. Existing sulphur tank drawing/details if available will be shared to successful bidder for reference if required.

4) Refer Earthing  documents in RFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"IPCS SOW, Doc. No. RP-5312-00-EL-021","As per IPCS SOW, All cyber security requirement as per COMPANY procedure Doc. No. TE-POL-001 & TE-PR-016.

Kindly provide the COMPANY procedure Doc. No. TE-POL-001 & TE-PR-016 for our reference and compliance.",These documents are no longer applicable as these are superseded by OT cyber security specification (AGES-SP-04-013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Bidder understands that no scope for ICSS modifications envisaged for SS-01 area. Kindly confirm bidder understanding.,Bidder understanding is not correct. Please refer sheet # 10 of Overall ICSS architecture (5312-00-A3-7023) for ICSS modifications in SS-01. Please note that the Liquid Sulphur loading arm will be relocated to a new platform and its PLC resides in SS-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,"For FGS at SS-04, bidder understands that FGS system is required only for Field IO and not for Building IO. Kindly confirm bidder understanding.",Bidder understanding is correct. Building F&G I/Os in SS-04 are wired to PLC-05 which is connected to local FACP panel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Bidder requests to provide the Serial IO count for interface with PLC-05 at SS-04. Also Provide the Make and model no. of the PLC.,"Please note that PLC-5 (now obsolete) was replaced with Allen Bradley Control logix 5571 controller in SS-04. PLC-5 is out of scope for this project. The interface between PLC-05 and DCS will remain unchanged. However, if there is a need of serial mapping at the DCS end, list will be provided during detailed engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,"Bidder understands that IOs mentioned under ""Following I/O to be reused in New Dome S/R : DCS (54000-DS-665-01/02) P&ID: 5312-10-A1-0284"" are additional to the IOs given for New Dome S/R. Kindly confirm bidder understanding.","Please refer Scope of work for modification in existing bulk material handling equipment (Belt conveyor, stacker reclaimer) doc. no. RP-5312-00-ME-008 for details. The cabinets 54000-DS-665-01/02 will be retained and modified to accommodate the required changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,"Bidder understands that IO count for Ship Loader Berth-2 is similar to Ship Loader Berth-1, as IO count for Ship Loader Berth-2 is not provided. Kindly confirm bidder understanding.","Ship Loader at berth-2 is not in project scope. Therefore, Bidder understanding is not correct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
