," EPC WORK FOR RUWAIS SULPHUR GRANULATION PLANT AT RSHT-2 FOR HAIL & GHASHA PROJECT

AGREEMENT NO: 4700025948

PROJECT NO. 1005312",,,,,,,
,,,,,,,,
Sl No.,Issued Date,TB Identifier,TB #,AG REFERENCE #,DESCRIPTION,DAS NO.,,
1,2024-11-15 14:01:00,TB-R001,TB 001,MSG47370723,Amended Scope for new RSGP at RSHT-2,DAS-1,,2.3 Tender Bulletins
2,2024-11-15 14:03:00,TB-R002,TB 002,MSG47370732,Response to Bidder Clarifications,DAS-1,,
3,2024-11-15 13:33:00,TB-R003,TB 003,MSG47370722,Response to Bidder Clarifications,DAS-1,,
4,,TB-R004,,,Response to Bidder Clarifications,DAS-1,,
5,2024-11-19 16:56:00,TB-R005,TB 005 & 005,MSG47452522,Response to Bidder Clarifications,DAS-1,,
6,,TB-R006,,,Reclaimer Document,DAS-1,,
7,2024-11-29 08:27:00,TB-R007,TB 007,MSG47635349,Response to Bidder Clarifications,DAS-1,,
8,2024-12-06 13:38:00,TB-R008,"TB 008, 009 & 010",MSG47750645,Response to Bidder Clarifications,DAS-1,,
9,2024-12-06 13:38:00,TB-R009,"TB 008, 009 & 010",MSG47750645,Response to Bidder Clarifications,DAS-1,,
10,2024-12-06 13:38:00,TB-R010,"TB 008, 009 & 010",MSG47750645,Response to Bidder Clarifications,DAS-1,,
11,2024-12-09 08:15:00,TB-R011,TB 011,MSG47801116,Response to Bidder Clarifications,DAS-1,,
12,2024-12-10 11:31:00,TB-R012,TB 012,MSG47838995,Liquid Sulphur storage tanks configuration and alternate conveyor route requirement considerations.,DAS-1,,
13,2024-12-10 00:00:00,TB-R013,,,Technical proposal submission / Commercial bid submission / Borouge reduced 100 m land to the south for future expansion ,DAS-1,,
14,2024-12-11 00:00:00,TB-R014,,,Response to Bidder Clarifications,DAS-1,,
15,2024-12-11 22:54:00,TB-R015,TB 015,MSG47839867,"Borouge 3 QRA Report, Geotechnical & Topographical Report for proposed land",DAS-1,,
16,2024-12-14 15:32:00,TB-R016,TB 016,MSG47931040,Response to Bidder Clarifications,DAS-1,,
17,2024-12-14 15:36:00,TB-R017,TB 017,MSG47931041,Response to Bidder Clarifications,DAS-1,,
18,2024-12-16 11:14:00,TB-R018,TB 018,MSG47921314,Preliminary scheme/interfaces and tentative Utility Design,DAS-1,,
19,2024-12-16 15:48:00,TB-R019,TB 019 & 020,MSG47921625,Response to Bidder Clarifications,DAS-1,,
20,2024-12-16 15:48:00,TB-R020,TB 019 & 020,MSG47921625,Response to Bidder Clarifications,DAS-1,,
21,2024-12-16 15:50:00,TB-R021,TB 021,MSG47921626,"Submission of Technical Proposals is 18th December 2024 at 12:00 PM. 
Commercial submission is scheduled for 25th December 2024.  ",DAS-1,,
22,2024-12-17 08:20:00,TB-R022,TB 0212,MSG47928621,"Propose number/configuration of liquid storage tanks as required, so that 5 days ullage time shall be respected for liquid sulphur inlet flow of 9,900 TPD",DAS-1,,
23,2024-12-25 10:24:00,TB-R023,Tender Bulletin No. 23 and 24,MSG48097238.4,Response to Bidder Clarifications,DAS-1,,
24,2024-12-25 10:24:00,TB-R024,Tender Bulletin No. 23 and 24,MSG48097238.4,FERA/HSEIA findings for information,DAS-1,,
25,2024-12-24 21:23:00,TB-R025,Tender Bulletin No. 25,MSG48097238,Response to Bidder Clarifications,DAS-1,,
26,2024-12-25 09:33:00,TB-R026,Tender Bulletin No. 26,MSG48097238.3,Response to Bidder Clarifications,DAS-1,,
27,2024-12-27 11:56:00,TB-R027,Tender Bulletin No. 27 and 28,MSG48097238.7,Revised Exhibit A.09 covering the new project requirements,DAS-1,,
28,2024-12-27 11:56:00,TB-R028,Tender Bulletin No. 27 and 28,MSG48097238.7,Inclusion of Optional Scope for considering alternate source of Utilities Supply,DAS-1,,
29,2024-12-27 16:34:00,TB-R029,Tender Bulletin No. 29,MSG48144182,"Revised Exhibit A.07 for Agreement Price, Invoicing & Payment and Rates for Variation",DAS-1,,
30,,TB-R030,,,"Company's final clarification about items marked as ""N/A"" by Bidder in Proposal.",DAS-1,,
,,,,,,,,
31,2024-12-21 12:50:00,TC-001,TC-001,MSG48038033,Tender Clarifications,DAS-2,,WISON
32,,,,,Minutes of Meeting,DAS-3,,Meeting Invitation to be from Shared Services& Prashanth
33,2024-12-21 00:00:00,,,,Technical Qualifications,DAS-4,,2024-12-21 - TC-001
34,2024-12-26 16:11:00,TC-002,TC-002,MSG48104810,"Commercial Qualifications (No Qualifications accepted, hence no details to be considered)",DAS-5,,2024-12-26 - COMPANY CLARIFICATION TC-002
"Note: The attachments as issued with the TB's, TC's shall be considered by the CONTRACTOR for the DAS",,,,,,,,
