SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
1,1,Mechanical,,,"Tender Bulletin Number TB-R001, Item no.3",,"""In addition to the conveyor belt feeding the new storage with the granulated sulphur, another direct connection to be made to existing system to avoid disruption of handling in case of emergency.""

- in case of emergency, connection to only one existing storage, Sulphur Storage Building (West) at RSHT2, is required. COMPANY to confirm bidders understanding.",Confirmed,TB-R003
2,2,E&I,,,"Tender Bulletin Number TB-R001, Item no.4",,"""The I&C systems shall be designed as standalone system. The new panels, racks, consoles, etc. to be installed in the existing control building.   ""

It is assumed that new I&C panels, racks, consoles will be located at RSHT-2 existing control building. Hence it is assumed that OEM of ICSS will be same as RSHT-2 However, please note that conveyors to RSHT-2 area and associated new equipment/facilities will need to be connected to RSHT-2 ICSS & its modifications will be an additional scope. There will be modifications in existing dust collection & suppression system at RSHT-2 area. There will also be electrical modifications in the RSHT-2 area for additional equipment/facilities. COMPANY to confirm bidders understanding.","To reduce the length of interconnecting cables, cable trays and supporting systems, it is proposed to add new E&I room in the new substation (substation 5 of original RFT)  at new plant area",TB-R003
3,3,General,,,New RSGP at RSHT2 Scope of Work,,"Please note that the specifications and datasheets provided in the previous RFT 6000066707 submitted on 22nd of Dec 2023 will apply and be utilized for the New Facility (RFT 6000066707-Revised) as well.

COMPANY to confirm.","As per the tender Bulletin, New design scheme to serve the project objective, shall be proposed by Contractor .

Original Tender Specification to be validated and updated based on new design Scheme.

Data sheet will be revised accordingly by Contractor .",TB-R003
4,1,,,,New RSGP at RSHT2 Scope of Work,,"Company to provide list of all Tie-in locations to be considered for the proposed new location of the plant.
","As per TB-R01. Item 5
Bidders to assume a length of 4,000 m for each of the utilities connected to Borouge for the purpose of quoting",TB-R003
5,2,,,,New RSGP at RSHT2 Scope of Work,,"Company to confirm if any for port, costal and marine engineering requirements for this project.",Not Required,TB-R003
6,3,,,,New RSGP at RSHT2 Scope of Work,,"Company to confirm that linear storage system is required for the project with a capacity of 165,000 tons.","Yes Confirmed
Refer to attached Presentation",TB-R003
7,4,,,,New RSGP at RSHT2 Scope of Work,,"Company to confirm that linear storage system is required for the project with a capacity of 165,000 tons.",See above company response(item 3),TB-R003
8,5,,,,Utility Services,,Please provide the tentative routing layout for all the utility services,Refer to item #1,TB-R003
9,6,,,,Pre-Bid Presentation ,,Please share the presentation presented during Prebid meeting.,Attached,TB-R003
10,7,,,,Capacities of Long Lead Items / Equipment,,We assume that the capacities of all long lead items / equipment will remain unchanged from FEED. please confirm.,Bidders to Consider the new sizing and capacity in his technical offer to submit an equipment list with delivery duration for all long lead items in his design  ,TB-R003
11,8,,,,Geotechnical Investigation Report,,Please provide the Geotechnical Investigation Report of Proposed New Plot.,Company Will revert,TB-R003
12,9,,,,Topographical & UG detection Survey,,Please provide the Topographical & UG detection Survey report of Proposed New Plot.,It is a green field area with no underground utilities,TB-R003
13,10,,,,Soil Improvement ,,"We assume that Soil Improvement in not required for the proposed new location, please confirm.","No soil replacement is required , however, relevant surveys are required to be performed by successful bidder",TB-R003
