No.,Bidder’s Assumption List ,Company Response,Bidder response
1,All the utilities and fire water connections (refer to Appendix 3-Utility Assumption List) and routing outside the B.L. are OUT of Bidder’s scope,Bidder shall full comply to utility requirements & Interfaces w.r.t to TB-R018. Tentative tie-in connections and lengths will be provided as part this clarifications.,Confirmed
2,"The fire water is considered to be supplied from existing RSHT-2 fire water storage tanks (6049-TK-1100 A/B) with the capacity of 10,900.8 m3 each.","Bidder understanding is correct; however, bidder shall include the existing system firewater pumps and network in their hydraulic study model to check the actual demand and line sizes for the new extension network",Confirmed
3,"The conveyer routing to existing transfer tower and SSB are considered by Bidder ONLY, the tie-ins and modification works of existing transfer towers and SSB are OUT of Bidder’s scope. The auxiliaries of conveyer, including but not limited to firefighting design are OUT of Bidder’s scope.","Not acceptable. Adequacy check and strengthening/Modification works of existing transfer towers is part of EPC lumpsum scope. Also Refer TB-R09 & TB-R017. 
All auxuliary works including (but not limited) to fire fighting falls under full reponsibilty of EPC contractor. ",Confirmed
4,The roads outside the B.L. are OUT of Bidder’s scope,Bidder’s assumption is noted. The PROJECT plot area roads interfacing with existing roads inside the battery limit shall be part of EPC CONTRACTOR’s scope including required checks of existing roads for logistics suitability and necessary arrangements and modifications are part of EPC scope.  ,assumption noted.
5,The guard houses outside the B.L. are OUT of Bidder’s scope. ,Not required.,
6,"The vacation and backfill of stockpiled-soil, and any other existing facilities, materials, equipment which are not related the subject project itself inside B.L. are OUT of Bidder’s scope.","Bidder’s assumption is noted.  
1) Bidder to note that only the stockpile/temporary lay-down items found during site visit (along with bidder) shall be removed before handing over to the successful bidder. 
Successful bidder shall consider all other associated site preparation works including backfilling of 1000 mm of compacted soil at the existing Borouge area to meet new developed plant elevation, replacement of Loose soil,  demolition / relocation / rerouting of other affected existing above & underground facilities based on finalized finished ground level in their lumpsum quote without exceptions based on the bidders site visit observations, provided documentation and EPC stage site surveys & studies outcome.  Further assessment shall finalized during validation period as per the terms of the agreement. 
2) Bidder to note that all critical foundations (granulators, tanks, storage, conveyor belts, transfer towers) to be founded on piles and other minor equipment / miscellaneous structure foundations may be founded on shallow foundations. Bidder to include the list of all equipment / structures that are proposed to be founded on pile foundations and the ones to be founded on open foundations as part of their lumpsum quote. Allowable bearing capacity for shallow foundations and capacity of the piles will be based on EPC stage geotechnical investigation outcome. 
3)Bidder may use the excavated material as backfill / structural fill if it confirms to project specification requirement based on EPC stage material testing results and geotechnical investigation recommendations. Bidder may consider imported fill (if deemed necessary) and include the basis in their bid.  
Bidder to assume 3000 mm depth of existing trench to evaluate the required back filling quantity. ",
7,All the drainage work outside B.L. is OUT of Bidder’s scope.,Noted. ,
8,The backfill of existing pits inside B.L. are OUT of Bidder’s scope.,Bidder’s assumption is not acceptable. Bidder to refer to item no.6 response. ,
9,The liquid sulfur pipeline outside B.L. is OUT of Bidder’s scope.,Noted,
10,The feedstock method is considered as pipeline ONLY by Bidder. ,Noted,
11,The ship loader is NOT considered by Bidder.,Noted,
12,"The  engineering  design  of  ICCS,  SIS,  FGS,  CCTV,  RADIO  and  TELECOM connection with the existing systems and the consumption of related materials outside the B.L. are OUT of Bidder’s scope. Bidder considers the design of routing inside B.L. ONLY.","Bidder’s assumption is not correct.  The engineering design of ICSS (DCS/SIS/FGS/FAS), Telecom (CCTV, PAGA, PABX, Radio etc..), security (Access Control, Anti-Intrusion) and other systems as listed in the RFT documents and their interfaces with the existing RSHT-2 and Bouroge systems are in Bidder’s scope. The same applies to the design of cable routing for interfaces outside the B.L. 
Company to provide lengths of communication cables lengths to the utility list. ",
13,The IPCS integration with existing system is OUT of Bidder’s scope. ,Bidder’s assumption is not correct. Integration is part of the Bidders scope. ,Bidder confirmed. Company to provide existing architecture drawings. 
14,The project land is considered as available on the effective date of the subject project contract.,"Bidder to note that only the stockpile/temporary lay-down items found during site visit (along with bidder) shall be removed before handing over to the successful bidder. 
Successful bidder shall consider all other associated site preparation works including demolition / relocation / rerouting of other affected existing above & underground facilities based on finalized finished ground level in their lumpsum quote without exceptions based on the bidders site visit observations, provided documentation and EPC stage site surveys & studies outcome. ",
