,,,,,,,,
"Ruwais Sulphur Granulation Plant (RSGP) Upgrade
for Hail & Ghasha Project No.1005312- EPC Works 
RFT No. 6000066707  (REVISED)",,,,,,,,
Tender Clarification Register- Package 1 (REVISED) - WISON,,,,,,,,
,,,,,,,,2025-08-14 11:53:44.600000
S NO,Brief Description,email from contracts ,email to contracts,Bidder Response/Compliance Received,,,,Remarks
1,Company clarification(TC-001) to Wison Tech Proposal Bid received,,2024-12-21 00:00:00,,,,,
2,Wison-Clarification-012,2024-12-23 00:00:00,,,,,,
3,Wison-Clarification-013,2024-12-23 00:00:00,,,,,,Refer to TB-R025 for COMPANY Reply
4,Wison reply to COMPANY clarification (TC-001) to Wison Tech Proposal Bid received,2024-12-24 00:00:00,2024-12-24 00:00:00,,,,,
5,Wison reply to COMPANY clarification (TC-001) to Wison Tech Proposal Bid received,2024-12-24 00:00:00,,,,,,
6,"Further to the clarification meeting held on 20/12/2024 where all technical qualifications were reviewed and agreed by both parties and subsequently, the qualification list was updated, bidders is reminded to submit the closure of the technical qualifications by today.",,2024-12-24 00:00:00,,,,,
7,Company clarification(TC-002) to Wison Tech Proposal Bid received,,2024-12-26 00:00:00,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
