1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
,,,,,,COMMON,,,
,,,,,,PROJECT MANAGEMENT,,,
1,00,PROJECT MANAGEMENT,Report,PR-5312-00-GE-009,0,EPC RISK REGISTER,IFT,,
2,00,PROJECT MANAGEMENT,Report,PR-5312-00-GE-015,1,OVERALL CONSTRUCTION PLAN & PHASING STRATEGY,IFT,,
,,,,,,ARCHITECTURAL/CIVIL/STRUCTURAL,,,
3,00,CIVIL,Design Basis,DB-5312-00-AR-001,0,ARCHITECTURAL DESIGN BASIS,IFT,,
4,00,CIVIL,Specification,5312-ADD-1783-004,0,ADDENDUM TO DGS-1783-004 DESIGN GENERAL SPECIFICATION - GROUTING,IFT,,
5,00,CIVIL,Calculation,CA-5312-00-CI-001,0,DESIGN CALCULATION OF STORM WATER SYSTEM,IFT,,
6,00,CIVIL,Calculation,CA-5312-00-CI-003,0,DESIGN CALCULATION OF MISCELLANEOUS ACCESS PLATFORM STRUCTURE,IFT,,
7,00,CIVIL,Calculation,CA-5312-00-CI-004,0,DESIGN CALCULATION OF CROSS OVER STRUCTURE,IFT,,
8,00,CIVIL,Calculation,CA-5312-00-CI-011,0,DESIGN CALCULATION OF OPERATOR SHELTER,IFT,,
9,00,CIVIL,Calculation,CA-5312-00-CI-012,1,DESIGN CALCULATION OF SUBSTATION NO. 5,IFT,,
10,00,CIVIL,Calculation,CA-5312-00-CI-013,1,DESIGN CALCULATION OF OPERATING BUILDING,IFT,,
11,00,CIVIL,Philosophy Documents,DB-5312-00-CI-001,0,DRAINAGE DESIGN PHILOSOPHY,IFT,,
12,00,CIVIL,Scope of Works,RP-5312-00-CI-002,0,SCOPE OF WORKS - TOPOGRAPHIC AND UNDERGROUND SERVICES DETECTION SURVEY,IFT,,
13,00,CIVIL,Scope of Works,RP-5312-00-CI-003,1,SCOPE OF WORK FOR NON-DESTRUCTIVE TESTING ,IFT,,
14,00,CIVIL,Report,RP-5312-00-CI-004,0,NON-DESTRUCTIVE TESTING REPORT,IFT,,
15,00,CIVIL,Material Take off,RP-5312-00-CI-005,0,CIVIL / STRUCTURAL MTO,IFT,,
16,00,CIVIL,Report,RP-5312-00-CI-006,1,SITE VISIT REPORT - CIVIL & STRUCTURAL,IFT,,
17,00,CIVIL,Report,RP-5312-00-CI-010,0,DURABILITY ASSESSMENT REPORT,IFT,,
18,00,CIVIL,Report,RP-5312-00-CI-016,0,TECHNICAL METHOD STATEMENT - TOPOGRAPHIC AND UNDERGROUND SERVICES DETECTION SURVEY,IFT,,
19,00,CIVIL,Report,RP-5312-00-CI-018,0,TASK RISK ASSESSMENT FOR TOPOGRAPHICAL AND UNDERGROUND DETECTION SURVEY,IFT,,
20,00,CIVIL,Report,RP-5312-00-CI-019,0,TOPOGRAPHIC AND UNDERGROUND SERVICES DETECTION SURVEY REPORT,IFT,,
21,00,CIVIL,Method Statement,RP-5312-00-CI-020,0,TECHNICAL METHOD STATEMENT FOR NON-DESTRUCTIVE TESTING,IFT,,
22,00,CIVIL,Method Statement,RP-5312-00-CI-021,0,TASK RISK ASSESSMENT FOR NON-DESTRUCTIVE TESTING,IFT,,
23,00,CIVIL,Report,RP-5312-00-CI-022,0,BATHYMETRY SURVEY REPORT,IFT,,
24,00,CIVIL,Design Basis,SP-5312-00-ST-001,0,CIVIL AND STRUCTURAL DESIGN BASIS,IFT,,
,,,,,,ELECTRICAL,,,
25,00,ELECTRICAL,Specification,5312-ADD-1140-001,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION EMERGENCY GENERATOR,IFT,,
26,00,ELECTRICAL,Specification,5312-ADD-1630-004,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION INTEGRATED PROTECTION AND CONTROL SYSTEM (IPCS),IFT,,
27,00,ELECTRICAL,Specification,5312-ADD-1630-013,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION ELECTRICAL ITEMS ON PACKAGED EQUIPMENT,IFT,,
28,00,ELECTRICAL,Specification,5312-ADD-1630-023,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION LOW VOLTAGE SWITCHGEAR AND CONTROL GEAR  ,IFT,,
29,00,ELECTRICAL,Specification,5312-ADD-1630-024,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION L.V. BUS BAR TRUNKING,IFT,,
30,00,ELECTRICAL,Specification,5312-ADD-1630-025,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION DC UPS SYSTEMS,IFT,,
31,00,ELECTRICAL,Specification,5312-ADD-1630-026,1,ADDENDUM TO DESIGN GENERAL SPECIFICATION STATIC AC UPS SYSTEM,IFT,,
32,00,ELECTRICAL,Specification,5312-ADD-1630-027,1,ADDENDUM TO DESIGN GENERAL SPECIFICATION ELECTRIC MOTORS CAGE INDUCTION,IFT,,
