AREA,UNIT,DISC,DOCUMENT NUMBER,REV,TITLE,STATUS,ORIGINATOR,TYPE
COMMON,001,PM,0401413-ADD-0000-004,0,ADDENDUM TO DGS 0000-004 - CRITICALITY RATING SYSTEM,IFD,WORLEY,DOCUMENT
COMMON,001,PM,DOD-0401413-GG-000-00-00-101,2,RISK REGISTER,IFD,WORLEY,DOCUMENT
COMMON,001,PM,PLG-0401413-GG-000-50-00-003,1,PLANNING PACKAGE,IFD,WORLEY,DOCUMENT
COMMON,001,PM,PP-0401413-GG-001-50-00-002,1,PROJECT EXECUTION PLAN,IFD,WORLEY,DOCUMENT
COMMON,001,PM,PP-0401413-GG-001-50-00-004,0,INVOICING PROCEDURE,IFD,WORLEY,DOCUMENT
COMMON,001,PM,PP-0401413-GG-001-50-00-006,0,SUBCONTRACTING PROCEDURE,IFD,WORLEY,DOCUMENT
COMMON,001,PM,PP-0401413-GG-001-50-00-007,0,CONTRACT TRENDING PROCEDURE,IFD,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-00-005,0,PROJECT COORDINATION PROCEDURE,IFD,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-00-012,A,VALUE ENGINEERING REPORT,ICR,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-44-001,0,RISK ASSESSMENT REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-44-003,0,FRAMING / BRAINSTORMING WORKSHOP REPORT,IFI,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-44-011,1,TECHNICAL BID EVALUATION REPORT FOR VALUE ENGINEERING REPORT,IFI,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-44-012,0,LESSONS LEARNT IMPLEMENTATION STATUS REPORT,IFI,WORLEY,DOCUMENT
COMMON,001,PM,RPT-0401413-GG-001-50-55-004,A,COST ESTIMATON METHODOLOGY - DEFINE STAGE,ICR,WORLEY,DOCUMENT
COMMON,001,AR,RPT-0401413-GG-001-20-14-002,0,ARCHITECTURAL DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,CI,0401413-ADD-1486-002,0,ADDENDUM TO DGS-1486-002 - EXCAVATION AND BACKFILL FOR UNDERGROUND INSTALLATIONS,IFD,WORLEY,DOCUMENT
COMMON,001,CI,0401413-ADD-1782-001,0,ADDENDUM TO DGS-1782-001 - CIVIL DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,CI,0401413-ADD-1882-001,0,ADDENDUM TO DGS-1882-001 - STRUCTURAL DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,CI,0401413-ADD-1883-001,0,ADDENDUM TO DGS-1883-001 - STRUCTURAL STEEL FABRICATION,IFD,WORLEY,DOCUMENT
COMMON,001,CI,0401413-GG-001-17-11-001-001,0,CONCRETE WORKS - GENERAL NOTES,IFD,WORLEY,DRAWING
COMMON,001,CI,0401413-GG-001-17-11-002-001,0,CIVIL AND BUILDING WORKS - ABBREVIATION AND SYMBOLS,IFD,WORLEY,DRAWING
COMMON,001,CI,0401413-GG-001-17-11-003-001,0,STEEL WORKS - GENERAL NOTES,IFD,WORLEY,DRAWING
COMMON,001,CI,0401413-GG-001-17-11-004-001,0,ROAD AND PAVING DETAILS,IFD,WORLEY,DRAWING
COMMON,001,CI,0401413-GG-001-17-11-005-001,0,ROAD AND PAVING DETAILS,IFD,WORLEY,DRAWING
COMMON,001,CI,0401413-GG-001-17-11-006-001,0,MEMBRANE PROTECTION TO CONCRETE FOUNDATIONS AND PEDESTALS,IFD,WORLEY,DRAWING
COMMON,001,CI,DC-0401413-GG-001-17-22-001,A,DESIGN CALCULATION FOR ANCHOR BLOCK,ICR,WORLEY,DOCUMENT
COMMON,001,CI,RPT-0401413-GG-001-14-17-001,0,"TECHNICAL BID EVALUATION REPORT FOR TOPO, UG DETECTION AND GEOTECH SURVEY",IFT,WORLEY,DOCUMENT
COMMON,001,CI,RPT-0401413-GG-001-17-14-001 ,0,CIVIL AND STRUCTURAL DESIGN BASIS ,IFD,WORLEY,DOCUMENT
COMMON,001,CI,RPT-0401413-GG-001-17-14-003,0,DRAINAGE DESIGN PHILOSOPHY,IFD,WORLEY,DOCUMENT
COMMON,001,CI,SOW-0401413-GG-001-17-15-001,1,SCOPE OF WORKS - TOPOGRAPHIC AND UNDERGROUND SERVICES DETECTION SURVEY - HABSHAN 5 (UNIT 515) & HABSHAN 4 (UNIT 190),IFD,WORLEY,DOCUMENT
COMMON,001,CI,SOW-0401413-GG-001-17-15-002,0,SCOPE OF WORKS - GEOTECHNICAL INVESTIGATION,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1140-001,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - EMERGENCY GENERATOR,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-004,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - INTEGRATED PROTECTION AND CONTROL SYSTEM (IPCS),IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-013,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - ELECTRICAL ITEMS ON PACKAGED EQUIPMENT,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-015,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - ELECTRICAL HEAT TRACING,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-021,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - POWER TRANSFORMER,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-022,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION HIGH VOLTAGE SWITCHGEAR & CONTROL GEAR,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-023,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION LOW VOLTAGE SWITCHGEAR & CONTROL GEAR,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-024,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - L.V. BUS BAR TRUNKING,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-025,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - DC UPS SYSTEMS,IFD,WORLEY,DOCUMENT
COMMON,001,EL,0401413-ADD-1630-026,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - STATIC AC UPS SYSTEM,IFD,WORLEY,DOCUMENT
