,,,,,,,,,,,,,,,,,ATTACHMENT -1,,,,,
,,,,,,,Project : ……………………………………………..,,,,,,,,,,Sheet 4 of 4,,,,,
,Pre-commissioning Progress Register (By System/Sub System),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Electrical/ Inst & Control/ Telecom Systems,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sl. No.,Unit / Area,System / Subsystem,System/ Subsystem No.,Wt. %,P,System Checks,,System Checks (Control Room),,Walk-in & Prepare Punch Lists,"Clear Punch List
(Cat-""A"")",MC,,,Progress %,Remarks / Status,,,,,
,,,,,,F,Outdoor Devices,Indoor Devices,,SAT,,,Submit to Company,Review/ Approval by Company,Final Issue,,,,,,,
,,,,,,,0.15,0.3,0.5,0.6,0.8,0.9,0.95,-,1,,,,,,,
,,,,,,A,1,2,3,4,5,6,7,8,9,10,11,,,,,
,,,,,,P,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,
,,,,,,P,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,
,,,,,,P,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,
,,,,,,P,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,
,,,,,,P,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,
,,,,,,P,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,
,,,Overall,,1,,,,,,,,,,Overall (Plan%),,,,,,,
,,,,,,,,,,,,,,,Overall (Actual%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Note:,,1.  Weightages for each System / Subsystem shall be based on the estimated man-hours for the same.,,,,,,,,,,,,,,,,,,,
,,,2.  Plan dates shall be consistent with the respective activity schedules as per the latest revision of Pre-commissioning and Commissioning Schedules,,,,,,,,,,,,,,,,,,,
,,,"3.  Contractor shall submit applicable system /sub-system details alongwith proposed changes, if any, for Company review / approval. ",,,,,,,,,,,,,,,,,,,
,,,"4.  If any of the Control Points mentioned above are not applicable for any Particular System / Subsystem, progress will be claimed only after
    achivement of its subsequent Control Point.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Legend:,,"P/F/A : Plan / Forecast / Actual, MCC: Mechanical Completion Certificate",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
