,,,,,,,,,,,,,,,,,,ATTACHMENT -1,,,
,,,,,,,,Project : ……………………………………………..,,,,,,,,,,Sheet 2 of 4,,,
,Pre-commissioning Progress Register (By System/Sub System),,,,,,,,,,,,,,,,,,,,
,Piping Systems,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Sl,Unit / Area,System / Subsystem,System / Subsystem No.,Wt. %,P,,,,,,,,,MCC,,,Progress %,Remarks / Status,,
,,,,,,F,Flushing & Blowing,"Instal PSVs, Orifice Plates & Other In-line Instruments",Reinstatement,"Drying
(Air/Steam)",Leak Soap Testing,Inertization / Box-up,Walk in & Prepare Punch Lists,"Clear Punch Items              (Cat-""A"")",Submit to COMPANY,Review / Approval by COMPANY,Final Issue,,,,
,,,,,,,0.1,0.2,0.3,0.4,0.5,0.6,0.8,0.9,0.95,-,1,,,,
,,,,,,A,1,2,3,4,5,6,7,8,9,10,11,12,13,,
,1,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,2,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,3,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,4,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,5,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,6,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,7,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,,,Overall,,1,,,,,,,,,,,,Total Plan %,,,,
,,,,,,,,,,,,,,,,,Total Act. %,,,,
,,,,,,,,,,,,,,,,,,,,,
,Note:,,1. Weightages for each System / Subsystem shall be based on the estimated man-hours for the same.,,,,,,,,,,,,,,,,,,
,,,2. Plan dates shall be consistent with the respective activity schedules as per the latest revision of Pre-commissioning & Commissioning Schedules,,,,,,,,,,,,,,,,,,
,,,"3. Contractor shall submit applicable system /sub-system details alongwith proposed changes, if any, for Company review / approval. ",,,,,,,,,,,,,,,,,,
,,,4.  Piping Tie-in works for instrumentation are considered as part of piping construction work.,,,,,,,,,,,,,,,,,,
,,,"5.  If any of the Control Points mentioned above are not applicable for any particualr system/ subsystem, Progress will be claimed only after achievement of its subsequent Control Point.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Legend:,,"P/F/A : Plan / Forecast / Actual, MCC: Mechanical Completion Certificate",,,,,,,,,,,,,,,,,,
