,,,,,,,,,,,,,,,,,,ATTACHMENT -1,,,
,,,,,,,,Project : ………………………………………………,,,,,,,,,,Sheet 3 of 4,,,
,Pre-commissioning Progress Register (By System/Sub System),,,,,,,,,,,,,,,,,,,,
,Equipment Systems,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Sl,Unit / Area,System / Subsystem,System / Subsystem No.,Wt. %,P,,,,,,,,,MCC,,,Progress %,Remarks / Status,,
,,,,,,F,"Flushing, Blowing & Reinstatement",Internals Installation,Drying,Leak / Soap Testing,Inspection & Box-up,Inertization,Walk in & Prepare Punch Lists,"Clear Punch Items              (Cat-""A"")",Submit to COMPANY,Review / Approval by COMPANY,Final Issue,,,,
,,,,,,,0.1,0.2,0.3,0.5,0.7,0.8,0.85,0.9,0.95,-,1,,,,
,,,,,,A,1,2,3,4,5,6,7,8,9,10,11,12,13,,
,1,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,2,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,3,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,4,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,5,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,6,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,7,,,,,P,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,
,,,Overall,,1,,,,,,,,,,,,Total Plan %,,,,
,,,,,,,,,,,,,,,,,Total Act. %,,,,
,,,,,,,,,,,,,,,,,,,,,
,Note:,,1.  Weightages for each System / Subsystem shall be based on the estimated man-hours for the same.,,,,,,,,,,,,,,,,,,
,,,2.  Plan dates shall be consistent with the respective activity schedules as per the latest revision of Pre-commissioning and Commissioning Schedules,,,,,,,,,,,,,,,,,,
,,,"3.  Contractor shall submit applicable system /sub-system details alongwith proposed changes, if any, for Company review / approval. ",,,,,,,,,,,,,,,,,,
,,,"4.  If any of the Control Points mentioned above are not applicable for any particualr system/ subsystem, progress will be claimed only after achievement of its subsequent Control Point.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Legend:,,"P/F/A : Plan / Forecast / Actual, MCC: Mechanical Completion Certificate",,,,,,,,,,,,,,,,,,
