,,,,,,,,,,,,,,ATTACHMENT -2,,,,,,,,,
,,,,,,Project : …………………………………………,,,,,,,,Sheet 1 of 3,,,,,,,,,
,Commissioning Progress Register (By System/Sub System),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Pipeline Systems,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sl. No.,Unit / Area,System / Subsystem,System No.,Wt. %,P,Gas-in,"Compelte CIPS
(CP System)","Clear Punch List
(Cat-""B"")",CC,,,Progress %,Remarks / Status,,,,,,,,,
,,,,,,F,,,,Submit to Company,Review/ Approval by Company,Final Issue,,,,,,,,,,,
,,,,,,,0.4,0.5,0.8,0.9,-,1,,,,,,,,,,,
,,,,,,A,1,2,3,4,5,6,7,8,,,,,,,,,
,1,,,,,P,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,2,,,,,P,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,3,,,,,P,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,4,,,,,P,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,5,,,,,P,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,,,,,,P,,,,,,,,,,,,,,,,,
,6,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,7,,,,,P,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,
,,,,,,A,,,,,,,,,,,,,,,,,
,,,Overall,,1,,,,,,,Overall (Plan%),,,,,,,,,,,
,,,,,,,,,,,,Overall (Actual%),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Note:,,1. Weightages for each System / Subsystem shall be based on the estimated man-hours for the same.,,,,,,,,,,,,,,,,,,,,
,,,2. Plan dates shall be consistent with the respective activity schedules as per the latest revision of Pre-commissioning and Commissioning Schedules,,,,,,,,,,,,,,,,,,,,
,,,"3. Contractor shall submit applicable system /sub-system details alongwith proposed changes, if any, for Company review / approval. ",,,,,,,,,,,,,,,,,,,,
,,,"4.  If any of the Control Points mentioned above are not applicable for any particualr system/ subsystem, Progress will be claimed only after achievement of its subsequent Control Point.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Legend:,,"P/F/A : Plan / Forecast / Actual, CC: Commissioning Certificate",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
