,,,,Project : …………………………………………………………………,,,,,,,,
Summary Status of Pre-Commissioning & Commissioning Works,,,,,,,,,,,,
,,,,,,,,,,,,
Progress for Week Ending :,,,,,,,,,,,,
,,,,,,,,,,,,
"Sl
No.",System Description,Pre-Commissioning,,,,,,Commissioning,,,,Remarks
,,"Total
(Nos.)","Punchlisting Completed
(Nos.)","M C Submitted to Company
(Nos.)","M C Approved by Company
(Nos.)","Final M C Issued
(Nos.)",,"Total
(Nos.)","C C Submitted to Company
(Nos.)","C C Approved by Company
(Nos.)","Final C C Issued
(Nos.)",
1,Pipeline Systems,,,,,,,,,,,
2,Piping Systems,,,,,,,,,,,
3,Equipment Systems,,,,,,,,,,,
4,"Electrical, Instr. & Control and Telecom Systems",,,,,,,,,,,
Overall (Nos.),,,,,,,,,,,,
Overall (%),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,                           Legend:,a)    MCC :,Mechanical Completion Certificate,,,,,,,,,
,,b)   CC      :,Commissioning Certificate,,,,,,,,,
