,,,,,,,,,,ATTACHMENT - 1
,,,,,,,,,,Page 4 of 4
MILESTONES CALENDER (Sample Format),,,,,,,,,,
,,,,,,,,,,
JAN 10 (M1),,,FEB 10 (M2),,,MAR 10 (M3),,,APR 10 (M4),
,,,,,,,,,,
,,,B.02 -,Award Subcontracts for Topographic/ Soil Investigation Studies,,A.01 -,"Issue overall Project Execution Plan, Coordination Procedure, Engineering / Procurement Procedures, Project HSE/Quality Plans and Procedures - Final Issue",,B.03 -,Complete Topographic/Soil Investigation Surveys and Submit Final Reports 
,,,,,,,,,,
,,,B.14 -,Issue MRs for all Mechanical Equipment and Packages - Final,,A.02 -,"Issue Project Control Procedures, Progress Measurement/ Progress Reporting System, and Planning Dossier covering Baseline Schedule, Histograms, S-Curves, etc. - Final Issue",,B.28 -,"Issue SLD, Hazardous Area Classification Details for All Areas - IFC"
,,,,,,,,,,
,,,B.16 -,Issue I MTO and MRs for Line Pipes and Pipeline Ball Valves,,B.17 -,Issue Final MTO and MRs for Line Pipes and Pipeline Ball Valves,,,
,,,,,,,,,,
,,,,,,,,,,
MAY 10 (M5),,,JUN 10 (M6),,,JUL 10 (M7),,,AUG 10 (M8),
,,,,,,,,,,
B.01 -,Prepare Design Basis for all Engg. Discp.  and Issue to COMPANY - Final issue,,B.22 -,Issue I MTO and MRs for All E&I Bulk Materials,,B.06 -,Complete HAZOP/ SIL Review and Submit Report after incorporating Company comments (Final Issue).,,C.02 -,Issue Purchase Orders for All E&I Equipment / Packages
,,,,,,,,,,
B.04 -,Obtain Final Route Approval from Authorities,,C.04 -,Issue Purchase Orders for Line Pipes and Pipeline Ball Valves – Final MTO,,B.13 -,"Complete HSEIA, QRA, and Gas Dispersion Studies after review / approval by Company and Submit Final Reports",,C.09 -,Issue Purchase Place Orders for All E&I Bulk Materials & Tagged Instruments – I MTO
,,,,,,,,,,
B.05 -,"Issue PFDs, P&IDs, Plot Plans, Equipment Layouts, Data Sheets, Equipment List, Line List, etc. for All Pipeline Facilities - For HAZOP",,C.05 -,"Issue Purchase Orders for All Balance Pipeline Materials (Hot Bends, Isolation Joints, Anchor Flanges etc.) – I MTO.",,,,,,
,,,,,,,,,,
B.15 -,Issue MRs for All E&I Equipment and Packages - Final,,,,,B.27 -,Issue IFC pipeline route alignment drawings for all pipe line sections,,C.11 -,Issue Purchase Place Orders for All Major Civil/ Structural Bulk Materials – I MTO.
,,,,,,,,,,
B.19 -,Issue Final MTO and MRs for All Balance Pipeline Materials,,,,,C.06 -,"Issue Purchase Orders for All Balance Pipeline Materials (Hot Bends, Isolation Joints, Anchor Flanges etc.) – Final MTO.",,,
,,,,,,,,,,
,,,,,,,,,,
SEP 10 (M9),,,OCT 10 (M10),,,NOV 10 (M11),,,DEC 10 (M12),
,,,,,,,,,,
B.07 -,"Issue PFDs, P&IDs, Plot Plans, Equipment Layouts, Data Sheets, Equipment List, Line List, Instrument Index, etc. for Scraper Launcher Station at THAMMAMA-C after Incorporating HAZOP Comments - IFC",,B.09 -,"Issue Plot Plans, Equipment Layouts, etc. for Block Valve Stations - IFC",,C.10 -,Issue Purchase Place Orders for All E&I Bulk Materials & Tagged Instruments – Final MTO,,A.03 -,"Issue Construction Execution Plan/ Procedures/ Method Statements along with Tie-In/ Shutdown Philosophy, etc. (excluding Hydrotesting, Drying, Purging, Precommissioning and Commissioning Procedures) - Final Issue"
,,,,,,,,,,
,,,B.23 -,Issue Final MTO and MRs for All E&I Bulk Materials,,D.06 -,Receive All Balance Pipeline Materials at Site – I MTO,,,
,,,,,,,,,,
B.08 -,"Issue PFDs, P&IDs, Plot Plans, Equipment Layouts, Data Sheets, Equipment List, Line List, Instrument Index, etc. for Scraper Receiver Station at ASAB-I after Incorporating HAZOP Comments - IFC",,B.29 -,"Issue Electrical and Instrument Cable Schedules, Cable Layouts, Earthing Layouts, Trench Details, etc. for All Areas - IFC",,D.08 -,Receive All Piping Bulk Materials at Site– I MTO.,,C.13 -,Submit G-SPIRs to COMPANY and Place Orders for Operational Spares for All Items after Obtaining COMPANY Approvals.
,,,,,,,,,,
B.10 -,"Issue PFDs, P&IDs, Data Sheets, etc. for Pipeline after Incorporating HAZOP Comments - IFC",,B.30 -,Complete SMC/ Telecom System Design and Issue All Drawings - IFC,,,,,,
,,,,,,,,,,
B.11 -,"Issue PFDs, P&IDs, Plot Plans, Equipment Layouts, Data Sheets, Equipment List, Line List, Instrument Index, etc. for Scraper Launcher Station at ASAB LGCS after Incorporating HAZOP Comments - IFC",,C.08 -,Issue Purchase Orders for All Piping Bulk Materials – Final MTO,,,,,E.02 -,"Complete Lowering, Welding and Hydrotesting of Pipeline between Scraper Launcher at Thammama-C and BVS-01"
