,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACHMENT - 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONSTRUCTION PLANT / EQUIPMENT DEPLOYMENT SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S. No.,"Name of Plant / 
Equipment","Model 
No.",Capacity,Peak Nos,,,Monthwise Quantity to be deployed,,,,,,,,,,,,,,,,,,,,,,,,,Remarks
,,,,,Own,Hire,Total,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,
,,,,,,,,44519.0,44549.0,44580.0,44611.0,44639.0,44670.0,44700.0,44731.0,44761.0,44792.0,44823.0,44853.0,44884.0,44914.0,44945.0,44976.0,45004.0,45035.0,45065.0,45096.0,45126.0,45157.0,45188.0,45218.0,45249.0,
,1.0,Excavators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Rock Breakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,Graders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,Dozers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,Front  End Loaders / Shovels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,Trench Compacters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,Rollers / Compactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,Internal / external clamps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0,Diesel Welding Machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.0,Automatic Welding Machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,Cranes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.0,Compressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.0,Generators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.0,Water Tankers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.0,Dumpers / Dump Turcks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.0,Fuel Trucks / Diesel Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.0,Tractor / Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.0,Pipe Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.0,NDT Equipments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0,Hydrotesting Equipments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.0,De-watering Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.0,Concrete mixers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.0,Sand Blasting & Painting Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.0,Holiday Detectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.0,Calibration Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26.0,Survey Equipments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.0,Others (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
