,,,,,,,,,,,,,,,,,,,,ATTACHMENT - 9
,,,,,,,,,,,,,,,,,,,,
,ENGINEERING DOCUMENT DELIVERABLE REGISTER,,,,,,,,,,,,,,,,,,,
,CLASS - 1 DOCUMENTS,,,,,,,,,,,,,,,,,,,
,Discipline / Area / Phase :,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Sr.,Drawing/,Activity ID (Baseline Plan),Drawing/,Drg/,Est.,P,Started,IFR,Submission / Review Status,,,,,,Issue (IFC),,Earned Man-hours,,Remarks
,No.,Document,,Document,Doc,Man-,F,,,Issue-1 (ICR),,Issue-2 (IFD/ICR),Issue-3 (IFA),,,,,,,
,,Title,,Number,Class,Hours/,A,,,Submitted,Receive Comments,Incorporate Commetns & Issue for Specialist Review ,Complete Specialist Reviews,Incorporate Comments & Resubmit for Approval,Receive Company Approval (final),1st Issue,Final Issue,,,
,,,,,,wt %,,(5%),(35%),(45%),-,(60%),(80%),85%,(90%),(95%),(100%),Plan,Actual,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,,,,P,,,,,,,,,,,,,
,,,,,,,F,,,,,,,,,,,,-,
,,,,,,,A,,,,,,,,,,,,,
,,,,TOTAL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Note: ,"(1) In case of documents which are required to be submitted ""For Approval"", after Specialist / Independent Review, Progress may be claimed as per details mentioned above.",,,,,,,,,,,,,,,,,,
,,"(2) Please retain minimum 5% man-hours as a contingency against each discipline towards "" Miscellaneous"" to ensure flexibility of adjustment on account of possible",,,,,,,,,,,,,,,,,,
,,      additions / deletions in the list of documents.,,,,,,,,,,,,,,,,,,
,,"(3) If any of the Control Points mentioned abvoe are not applicable, progress will be claimed only after achievement of the next applicable Control Point.",,,,,,,,,,,,,,,,,,
,LEGEND :  P : Plan Date    F : Forecast Date   A : Actual Date,,,,,,,,,,,,,,,,,,,
