Progress Measurement System,,,,,,,,,,,
RUWAIS SULPHUR GRANULATION PLANT(RSGP) DEVELOPMENT AT RSHT-2 FOR HAIL & GHASHA,,,,,,,,,,,
,,,,,,,,,,,
Activity Description,,,,,,Weightage Level,,,,,Basis of Measurement for Individual Discipline/ Activity
,,,,,,Level-1,Level-2,Level-3,Level-4,Level-5,
,A),Home Office Services,,,,0.08,,,,,
,,a),Detail Engineering,,,,0.7,,,,
,,,-,Common,,,,By Contractor,,,Man-hours
,,,-,Process,,,,By Contractor,,,Man-hours
,,,-,Piping,,,,By Contractor,,,Man-hours
,,,-,Mechanical - Transfer Towers,,,,,,,
,,,-,Mechanical - Static,,,,By Contractor,,,Man-hours
,,,-,Mechanical - Rotating,,,,By Contractor,,,Man-hours
,,,-,Mechanical - Material Handling,,,,By Contractor,,,Man-hours
,,,-,Mechanical - HVAC,,,,By Contractor,,,Man-hours
,,,-,Material & Corrosion,,,,By Contractor,,,Man-hours
,,,-,Electrical,,,,By Contractor,,,Man-hours
,,,-,Instrumentation & Control,,,,By Contractor,,,Man-hours
,,,-,Telecom,,,,By Contractor,,,Man-hours
,,,-,Civil / Structural / Archtectural,,,,By Contractor,,,Man-hours
,,,-,HSE,,,,By Contractor,,,Man-hours
,,,-,Others (if any),,,,By Contractor,,,Man-hours
,,b),Procurement Services,,,,0.25,,,,
,,,,Equipment & Packages,,,,0.65,,,
,,,,- Granulators,,,,,By Contractor,,Man-hours
,,,,- Belt Conveyor,,,,,By Contractor,,Man-hours
,,,,- Stacker / Reclaimer (New),,,,,By Contractor,,Man-hours
,,,,- Stacker / Reclaimer (Refurbishment),,,,,By Contractor,,Man-hours
,,,,- Liquid Sulphur Transfer Pump,,,,,By Contractor,,Man-hours
,,,,- Sulphur Remelter,,,,,By Contractor,,Man-hours
,,,,- Dust Collection Package,,,,,By Contractor,,Man-hours
,,,,- Dust Suppression System,,,,,By Contractor,,Man-hours
,,,,- Granulator Feeding Pump,,,,,By Contractor,,Man-hours
,,,,- Granulator Feeding Pump,,,,,By Contractor,,Man-hours
,,,,- Inline Sulphur Filter,,,,,By Contractor,,Man-hours
,,,,- Liquid Sulphur day Vessel,,,,,By Contractor,,Man-hours
,,,,- Liquid Sulphur Filter,,,,,By Contractor,,Man-hours
,,,,- New granulation Area Floor Sump Pump,,,,,By Contractor,,Man-hours
,,,,- Process Water Discharge Filters,,,,,By Contractor,,Man-hours
,,,,- Process Water Pump,,,,,By Contractor,,Man-hours
,,,,- Process Water tank,,,,,By Contractor,,Man-hours
,,,,- Wet Scrubber,,,,,By Contractor,,Man-hours
,,,,- Wet Scrubber Recycle Pump,,,,,By Contractor,,Man-hours
,,,,- Condensate Return Pump,,,,,By Contractor,,Man-hours
