,,,,,,,,,,,
"Progress Statistics
Overall Project Progress summary (Level- 1)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Progress for Week Ending : _____________
,,,,,,,,,,,
"Sl
No.",Activity Description,Weight Factors,,Cumulative  Progress (%),,,"Progress during Reporting 
Period (%)",,Completion Date,,
,,Level-1,Level-2,"Contr. Plan
(Early)","Base Plan
(Early)",Actual,"Base Plan
(Early)",Actual,Early Plan,Forecast,Actual
1. Home Office Services,,,,,,,,,,,
a),Detail Engineering,5.6,70.0,,,,,,,,
b),Procurement ,2.0,25.0,,,,,,,,
c),Subcontracting Services,0.4,5.0,,,,,,,,
Sub-Total (Home Office Services),,8.0,100.0,,,,,,,,
2. Manufacturing & Delivery,,,,,,,,,,,
a),Equipment & Packages,33.6,80.0,,,,,,,,
b),Bulk Material,8.4,20.0,,,,,,,,
Sub-Total (Manufacturing & Delivery),,42.0,100.0,,,,,,,,
3. Construction and Pre-Commissioning,,,,,,,,,,,
a),Construction,30.0,75.0,,,,,,,,
b),Pre-commissioning,10.0,25.0,,,,,,,,
Sub-Total (Construction & Pre Commissioning),,40.0,100.0,,,,,,,,
4. Commissioning ,,,,,,,,,,,
a),Commissioning,10.0,100.0,,,,,,,,
Sub-Total (Commissioning),,10.0,100.0,,,,,,,,
Overall Progress % ,,100.0,--,,,,,,,,
,,,,,,,,,,,
Note:,"1.  Progress details ( Plan & Actual ) for Detail Engineering, Procurement , Subcontracting services and Manufacturing & Delivery",,,,,,,,,,
,     activities shall be obtained from the respective Planning Registers.,,,,,,,,,,
,"2.  Progress details for Construction & Commissioning activities shall be obtained by rolling the details from ""Construction Quantity Based Progress Report"".",,,,,,,,,,
,"3.  Above details shall be consistent with the agreed WBS, Progress Measurement and Progress reporting system.",,,,,,,,,,
