,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ATTACHMENT - 10
,SUMMARY PO STATUS REPORT,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,SR. NO.,TYPE OF EQUIPMENT / MATERIAL,TOTAL NO. & PO (NOS.),MFG. COMPLETED,,FINAL INSPECTION COMPLETED,,DELIVERY COMPLETED EX-WORKS,,RECEIVED AT PORT,,RECEIVED AT SITE,,REMARKS
,,,,P,A,P,A,P,A,P,A,P,A,
,1.0,Equipment & Packages,,,,,,,,,,,,
,a),LP Compressor,,,,,,,,,,,,
,b),HP Compressor,,,,,,,,,,,,
,c),Coolers,,,,,,,,,,,,
,d),Scrubber,,,,,,,,,,,,
,e),TEG Dehydration Package,,,,,,,,,,,,
,f),Others (Please Specify),,,,,,,,,,,,
,"Sub-Total
(Equipment & Packages)",,,,,,,,,,,,,
,2.0,Bulk Materials,,,,,,,,,,,,
,a),Valves,,,,,,,,,,,,
,b),Pilot Burner,,,,,,,,,,,,
,c),Pipe & Fittings,,,,,,,,,,,,
,d),Cables,,,,,,,,,,,,
,e),Others (Please Specify),,,,,,,,,,,,
,"Sub-total
(Bulk Materials)",,,,,,,,,,,,,
,Project Overall,,,,,,,,,,,,,
