,,,,,,,,,,,,,ATTACHMENT - 11,,,
,,,,,,,,,,,,,(SHEET 2/5),,,
,Weekly Construction Quantity Based Progress Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Discipline / Area: ,,,,,,,,,,,,Week ending: ,,,
,"S. 
No.",Activity Description,,Act. ID,Unit,Estimated Qty.,,Cumulative,,Progress,,Cumulative,,,Plan Next Week,
,,,,,,,,Progress,,,,Progress,,,,
,,,,,,,,(Till last week),,(This Week),,(This Week),,,,
,,,,,,Qty.,Wt. %,Qty.,Wt. %,Qty.,Wt. %,Qty.,"%
Progress",Wt. %,Qty.,Wt. %
,1.0,Site grading & Levelling (2%),,,,,,,,,,,,,,
,,a),Filling & Grading (60%),,M3,2000.0,1.2,,,,,,,,,
,,b),Levelling (40%),,M2,8681.0,0.8,,,,,,,,,
,2.0,Control Building & Inergen System (50%),,,,,,,,,,,,,,
,2.1,Civil Works (72%),,,,,,,,,,,,,,
,,a),Footing (10%),,,,,,,,,,,,,
,,,I)   Excavation (10%),,Ls,195.0,0.36,,,,,,,,,
,,,ii)  Blinding (10%),,Ls,13.0,0.36,,,,,,,,,
,,,iii) Concreting (80%),,M3,33.0,2.88,,,,,,,,,
,,b),Column Neck & Tie-Beam (8%),,M3,50.0,2.88,,,,,,,,,
,,c),Back Filling (4%),,M3,130.0,1.44,,,,,,,,,
,,d),Ground Floor Slab-RCC (10%),,M3,26.5,,,,,,,,,,
,,,I)   Formwork Fabrication (20%),,M2,175.0,0.72,,,,,,,,,
,,,ii)  Fixing Febar (35%),,MT,3.15,1.26,,,,,,,,,
,,,iii) Conrete (25%),,M3,35.0,0.9,,,,,,,,,
,,,iv)  Formwork Removal (20%),,M2,175.0,0.72,,,,,,,,,
,,e),Column & Tie-Beam up to Roof Slab (12%),,,,,,,,,,,,,
,,,I)   Formwork Fabrication (20%),,M2,125.0,0.86,,,,,,,,,
,,,ii)  Fixing Febar (35%),,MT,2.25,1.51,,,,,,,,,
,,,iii) Concrete (25%),,M3,25.0,1.08,,,,,,,,,
,,,,,,,100.0,,,,,,,,,
,,,,,,,,,,,,,,,,
,Note: 1.  All activities shall be arranged disciplinewise separetely for each System / Area of work as per agred WBS.,,,,,,,,,,,,,,,
