,,,,,,,,,,,,,,,ATTACHMENT - 16
"SUMMARY STATUS OF "" ENGINEERING DOCUMENT DELIVERABLE REGISTER""",,,,,,,,,,,,,,,
Unit / Area : _________________,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Month ending: ________________,,
Discipline,Document,"Estimated
Quantity
(Nos.)",Issued for COMPANY Rev/Appr.,,,,COMPANY Rev./Appr. Received,,,,Issued for Construction (IFC),,,,Remarks
,,,This Month (Nos.),,Cumulative (Nos),,This Month (Nos.),,Cumulative (Nos),,This Month (Nos.),,Cumulative (Nos),,
,,,Plan,Actual,Plan,Actual,Plan,Actual,Plan,Actual,Plan,Actual,Plan,Actual,
Process,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
Civil/Struc/Arch.,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
Mechanical / Rotating Equpt,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
Piping,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
Electrical / HVAC / CP,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
Instrumentation,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
Total,Standards/Specifications,,,,,,,,,,,,,,
,Data Sheets,,,,,,,,,,,,,,
,Drawings,,,,,,,,,,,,,,
GRAND TOTAL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Disciplines listed here are only indicative.  Contractor will modify the list as per the Project scope and requirements.,,,,,,,,,,,,,,,
