,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ATTACHMENT - 9
,SUMMARY MR STATUS REPORT,,,,,,,,,,,,,,,,,,,,
,Status as on ---,,,,,,,,,,,,,,,,,,,,
,SR. NO.,TYPE OF EQUIPMENT / MATERIAL,TOTAL EST. MRs (NOS.),MRs RELEASED,,TOTAL EST.RFQs (Nos.),RFQ ISSUED,,BIDS RECEIVED,,TOTAL EST.TBEs (Nos.),TBE SUBMITTED,,TBE APPROVED,,LOA ISSUED,,TOTAL EST. POs (Nos.),PO ISSUED,,REMARKS
,,,,P,A,,P,A,P,A,,P,A,P,A,P,A,,P,A,
,A. ,MRs Requiring TBE Approval,,,,,,,,,,,,,,,,,,,
,A.1,Equipment & Packages,,,,,,,,,,,,,,,,,,,
,a),Equipment (Mechanical),,,,,,,,,,,,,,,,,,,
,b),Equipment (Electrical),,,,,,,,,,,,,,,,,,,
,c),Equipment (Instrument),,,,,,,,,,,,,,,,,,,
,"Sub-Total 
(Equipment & Packages)",,,,,,,,,,,,,,,,,,,,
,B. ,Not Requiring TBE Approval,,,,,,,,,,,,,,,,,,,
,B.1,Bulk Materials,,,,,,,,,,,,,,,,,,,
,a),Piping Materials,,,,,,,,,,,,,,,,,,,
,b),Electrical,,,,,,,,,,,,,,,,,,,
,c),Instrumentation,,,,,,,,,,,,,,,,,,,
,d),Civil / Structural,,,,,,,,,,,,,,,,,,,
,"Sub-total
(Bulk Materials)",,,,,,,,,,,,,,,,,,,,
,Overall (A+B),,,,,,,,,,,,,,,,,,,,
