"Progress Statistics
Procurement Services Status Progress Summary (Level-3)",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Progress for Week Ending : _____________
,,,,,,,,,,,
"Sl
No.",Activity Description,Weight Factors,,Cumulative  Progress (%),,,"Progress during Reporting 
Period (%)",,Completion Date,,
,,Level-3,Level-4,"Contr. Plan
(Early)","Base Plan
(Early)",Actual,"Base Plan
(Early)",Actual,Early Plan,Forecast,Actual
1. Equipment & Packages,,,,,,,,,,,
1.0,Granulators,TBA,TBA,,,,,,,,
2.0,Transfer Towers,TBA,TBA,,,,,,,,
3.0,Belt Conveyor,TBA,TBA,,,,,,,,
4.0,Stacker / reclaimer - Refurbuishment Material,TBA,TBA,,,,,,,,
5.0,Liquid Sulphur Transfer Pump,TBA,TBA,,,,,,,,
6.0,Sulfur Remelter,TBA,TBA,,,,,,,,
7.0,Dust Collection Package,TBA,TBA,,,,,,,,
8.0,Dust Supression System,TBA,TBA,,,,,,,,
9.0,Granulator Feeding Pump,TBA,TBA,,,,,,,,
10.0,Inline Sulphur Filter,TBA,TBA,,,,,,,,
11.0,Liquid Sulphur Day Vessel,TBA,TBA,,,,,,,,
12.0,Liquid sulphur Filter,TBA,TBA,,,,,,,,
13.0,New Granulation Area Fllor Sump Pump,TBA,TBA,,,,,,,,
14.0,Process water Discharge Filters,TBA,TBA,,,,,,,,
15.0,Process Water Supply Filters,TBA,TBA,,,,,,,,
16.0,Process Water pump,TBA,TBA,,,,,,,,
17.0,Process Water Tank,TBA,TBA,,,,,,,,
18.0,Wet Scrubber,TBA,TBA,,,,,,,,
19.0,Wet Scrubber Recycle Pump,TBA,TBA,,,,,,,,
20.0,Condensate return Pump,TBA,TBA,,,,,,,,
21.0,Process Water Pump,TBA,TBA,,,,,,,,
22.0,Waste Water Pump,TBA,TBA,,,,,,,,
23.0,Liquid Sulphur Storage Tank,TBA,TBA,,,,,,,,
24.0,11kV Switchgear,TBA,TBA,,,,,,,,
25.0,11 / 0.433kV 2.5MVA Transformer,TBA,TBA,,,,,,,,
26.0,"Control Valve, On-Off Value & Shutdown Valve",TBA,TBA,,,,,,,,
Sub-Total ,,65.0,100.0,,,,,,,,
2. Bulk Materials,,,,,,,,,,,
1.0,Piping,TBA,TBA,,,,,,,,
2.0,Electrical,TBA,TBA,,,,,,,,
3.0,Instrumentation & Control,TBA,TBA,,,,,,,,
4.0,Telecom,TBA,TBA,,,,,,,,
5.0,Civil & Structural,TBA,TBA,,,,,,,,
6.0,HSE,TBA,TBA,,,,,,,,
7.0,Others (if any),TBA,TBA,,,,,,,,
Sub-Total,,35.0,100.0,,,,,,,,
Overall (Procurement Services),,100.0,,,,,,,,,
,,,,,,,,,,,
Note :,"1.  Above details shall be consistent with the agreed WBS, Progress Measurement and Progress Reporting Systems.",,,,,,,,,,
,"2.  Weight % details wherever not specified, shall be developed by Contractor during EPC execution and submitted to COMPANY for review / approval.",,,,,,,,,,
