"Progress Statistics
Construction Progress Summary (Level- 4)",,,,,,,,,,,
,,,,,,,,,,,Progress for Week Ending : _____________
"Sl
No.",Activity Description,Weight Factors,,Cumulative  Progress (%),,,"Progress during Reporting 
Period (%)",,Completion Date,,
,,Level-3,Level-4,"Contr. Plan
(Early)","Base Plan
(Early)",Actual,"Base Plan
(Early)",Actual,Early Plan,Forecast,Actual
Unit 100 - Common & Utilities,,,,,,,,,,,
1.0,Common Works,2.5,10.0,,,,,,,,
2.0,Stacker Reclaimer,7.0,28.0,,,,,,,,
3.0,Linear Storage Building,10.0,40.0,,,,,,,,
4.0,Operating Building,3.75,15.0,,,,,,,,
5.0,Operator Shelter,1.75,7.0,,,,,,,,
Sub Total,,25.0,100.0,,,,,,,,
Unit10 - Solid Sulphur Material Handling,,,,,,,,,,,
1.0,Piperack,6.25,25.0,,,,,,,,
2.0,Conveyors,10.0,40.0,,,,,,,,
3.0,Transfer Towers,8.75,35.0,,,,,,,,
Sub Total,,25.0,100.0,,,,,,,,
"Unit 30 - Sulphur Granulation, Transfer Storage and Substation 5",,,,,,,,,,,
1.0,Granulators GX-1 Thru GX-10,13.5,45.0,,,,,,,,
2.0,Substation,7.5,25.0,,,,,,,,
3.0,Interface of New Area with Existing Area,9.0,30.0,,,,,,,,
Sub Total,,30.0,100.0,,,,,,,,
Unit 40 - Liquid Sulphur Handling,,,,,,,,,,,
1.0,Grading & Fencing,3.0,15.0,,,,,,,,
2.0,New Liquid sulphur Tank,9.0,45.0,,,,,,,,
3.0,New Liquid Sulphur Pumps,3.0,15.0,,,,,,,,
4.0,Sulphur Unloading Pipeline Up to Tk-4002,5.0,25.0,,,,,,,,
Sub Total,,20.0,100.0,,,,,,,,
Overall (Construction)   ,,100.0,100.0,,,,,,,,
Note :,"1.  Above details shall be consistent with the agreed WBS, Progress Measurement and Progress Reporting Systems.",,,,,,,,,,
,"2.  Detailed Unitwise / Disciplinewise weightages for the above shall be developed by Contractor after award of Contract and submitted
      to Company for approval.",,,,,,,,,,
