,,,,,ATTACHMENT- 8
,,,,,
,,,,,
3D MODEL PROGRESS SUMMARY (OVERALL AREA),,,,,
,,,,,
Areas,,,,Progress as on:,
,,,,,
Area,W.T(%),Monthly Progress%,,Cumm. Progress %,
,,Plan,Act.,Plan,Act.
Area 1,,,,,
Piping,,,,,
Civil,,,,,
Electrical,,,,,
Instrumentation,,,,,
Sub -Total (Area-1),,,,,
Area 2,,,,,
Piping,,,,,
Civil,,,,,
Electrical,,,,,
Instrumentation,,,,,
Sub -Total (Area-2),,,,,
Area 3,,,,,
Piping,,,,,
Civil,,,,,
Electrical,,,,,
Instrumentation,,,,,
Sub -Total (Area-3),,,,,
Total,1.0,,,,
,,,,,
Note : Contractor shall prepare separate sheet for each discipline.,,,,,
