,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SETUP,,,,,30% MODELING STAGE (80%),,,,,,,,,,30% MODELING STAGE (Internal Check 20%),,,,,,,60% MODELING STAGE,,,,,,,,,,,,,,60% MODELING STAGE (Internal Check 10%),,,,,,,,,,,,90% MODELING STAGE,,,,,,,,,90% MODELING STAGE (Internal Check 10%),,,,,,,,,FINAL MODELING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0
,,,WEEK,40467.0,40474.0,40481.0,40488.0,40495.0,40502.0,40509.0,40516.0,40523.0,40530.0,40537.0,40544.0,40551.0,40558.0,40565.0,40572.0,40579.0,40586.0,40593.0,40600.0,40607.0,40614.0,40621.0,40628.0,40635.0,40642.0,40649.0,40656.0,40663.0,40670.0,40677.0,40684.0,40691.0,40698.0,40705.0,40712.0,40719.0,40726.0,40733.0,40740.0,40747.0,40754.0,40761.0,40768.0,40775.0,40782.0,40789.0,40796.0,40803.0,40810.0,40817.0,40824.0,40831.0,40838.0,40845.0,40852.0,40859.0,40866.0,40873.0,40880.0,40887.0,40894.0,40901.0,40908.0,40915.0,40922.0,40929.0,40936.0,40943.0,40950.0,40957.0,40964.0,40971.0,40978.0,40985.0,40992.0,,MONTH,40053.0,40081.0,40116.0,40144.0,40172.0,40207.0,40235.0,40263.0,40298.0,40326.0,40354.0,40389.0,40417.0,40445.0,40480.0,40508.0,40543.0,40571.0,40599.0,40627.0,40662.0,40690.0,40718.0,40753.0,40781.0,40816.0,40844.0,40872.0,40907.0,40935.0,40963.0,40998.0,41026.0,41054.0,41082.0,41117.0,41152.0,41180.0,41208.0,41243.0,41271.0,41299.0,41327.0,41362.0,41390.0,41418.0,41453.0,41481.0,41516.0,41544.0,41572.0,41607.0,41635.0
Area 1,Steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30% Modeling Stage,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial Set Up,0.02,,,0.004,0.004,0.004,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foundations (Initial),0.08,,,,,,,,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.004,0.004,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steel Stuctures (Initial),0.1,,,,,,,,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.005000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roads (Initial),0.03,,,,,,,,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0024000000000000002,0.0015,0.0015,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paving (Initial),0.02,,,,,,,,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
