# Source: Appendix D 1 BOQ For MEI-Package i-1 Rev. D.xlsx
# Sheet: A-Summary
"# Rows: 36, Cols: 4"

,,,
,,,
,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-2,,,"REV. D, DATE: 05/Mar/2026"
0.SUBCONTRACT PRICE SUMMARY,,,
,,,
SN.,DESCRIPTION ,Manhours,SUBTOTAL COST
I.DIRECT COST,,,0
1,Steel Structural（Green）,0,0
2,Steel Structural (Brown),0,0
3,Package Equipment,0,0
4,Static Equipment（Green）,0,0
5,Rotary Equipment（Green）,0,0
6,Rotary Equipment (Brown),0,0
7,UG PIP （Green）,0,0
8,UG PIP （Brown）,0,0
9,Piping（Green）,0,0
10,Miscellaneous(Green) ,0,
11,Miscellaneous(Brown) ,0,
12,Fire Fighting（Green）,0,0
13,Fire Fighting (Brown),0,0
14,NDT(Green) ,0,0
15,NDT(Brown),0,0
16,Electrical（Green）,0,0
17,Electrical (Brown),0,0
18,Instrumentation（Green）,0,0
19,Instrumentation (Brown),0,0
20,Telecom（Green）,0,0
21,Telecom (Brown),0,0
22,HVAC (Brown),0,0
II.INDIRECT LS COST,,,0
,,,
III.V.A.T,,,0
,TOTA SUBCONTRACT PRICE EXCLUDING VAT,,0
,TOTA SUBCONTRACT PRICE INCLUDING VAT,,0
