# Source: Appendix D 1 BOQ For MEI-Package i-1 Rev. D.xlsx
# Sheet: Package-002
"# Rows: 59, Cols: 24"

,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-2,,,,,,,,,,,,,,,,,,,,,,,"REV. D, DATE: 05/Mar/2026"
NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,UNIT 30,UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
Package Units are generally installed in a unique location, although some loose items or auxiliary systems may be installed in isolated or dedicated foundations / supporting steel structures.",,,,,,,,,,,,,,,,,,,,,,,Refer to Vendor Document as attached
PK-0002,3033-GR-0101~1001,Granulator Package,"Process Water Tank （Tag No.3033-TK-0101~1001)
Size(Ф*H mm): Ф1355*1360
Capacity: 1.13m3
Design: 3.43 Bar g @ 87 ℃",316L,Contractor,Package,10,10,See notes,See notes,,0,,0,,0,,0,,0,0,0,Process water skid weight is 1.4 ton each one.
,,,"Process Water Pump （Tag No.3033-P-0101~1001 A/S)
Capacity: 2.52 m3/h
Head: 193 m
Motor Power Rating: 4.6 kw @ 54 ℃",316,Contractor,EA,20,20,See notes,See notes,,0,,0,,0,,0,,0,0,0,Including in Process water skid.
,,,"Process Water Supply Filter （Tag No.3033-F-0102~1002 A/S)
Dimension(L*W mm): 710*270
Capacity: 2.52 m3/h
Design: 11.7 Bar g @ 87 ℃",316L,Contractor,EA,20,20,See notes,See notes,,0,,0,,0,,0,,0,0,0,Including in Process water skid.
,,,"Process Water Discharge Filter （Tag No.3033-F-0103~1003 A/S)
Dimension(L*W mm): 710*270
Capacity: 2.52 m3/h
Design: 25 Bar g @ 87 ℃",316L,Contractor,EA,20,20,See notes,See notes,,0,,0,,0,,0,,0,0,0,Including in Process water skid.
,,,"Inline Sulphur Filter （Tag No.3033-F-0101~1001)
Dimension(Ф*L mm): Ф194*1500
Capacity: 32.3 m3/h
Design: 25.59 Bar g @ 170 ℃",SHELL SA-106B / 316L,Contractor,EA,10,10,0.1,1,,0,,0,,0,,0,,0,0,0,
,,,"Granulator Drum （Tag No.3033-GD-0101~1001)
Size(Ф*H mm): Ф2310*8560
Capacity: 1276 TPD
Design: 0 Bar g @ 99 ℃
Drum Drive Motor Rating with VFD: 39 kw @54 ℃",AL 6061-T6,Contractor,EA,10,10,18.15,181.5,,0,,0,,0,,0,,0,0,0,
,,,"Drum Discharge Conveyor（Tag No.3033-CV-0101~1001)
Size(W*H mm): 762*20310
Capacity: 1672 TPD
Motor Rating: 4.8 kw @54 ℃
Belt Speed: 0.53 m/s",Aluminum/ Neoprene/ UC152x152x30/ PFC150x90x24,Contractor,EA,10,10,26,260,,0,,0,,0,,0,,0,0,0,
