# Source: Appendix D 1 BOQ For MEI-Package i-1 Rev. D.xlsx
# Sheet: Rotary Equipment (Brown)
"# Rows: 27, Cols: 25"

,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-2,,,,,,,,,,,,,,,,,,,,,,,"REV. D, DATE: 05/Mar/2026",
NO.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,"UNIT 50 
RSHT 2",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
RE-01,,,Compressor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
RE-02,,,Pump,,,,,,,0,,,,,,,,,,,,,,
RE-02-0001,1046-P-0002A/S,Conveyor Wash Down Pumps(RSHT-2 North),"Centrifugal Pump (VS4 type)
Rated Capacity(m3/h):13.2
Rated Suction Pressure:0.04Bar(G)
Rated Discharge Pressure:1.98Bar(G)
Diff. Head(m): 18.9
Motor Power (kW): 5.5
Material: 316L",316L,Contractor,ea,2,2,2,4,,0,,0,,0,,0,,0,0,0,,
RE-02-0002,1046-P-0003A/S,Conveyor Wash Down Pumps(RSHT-2 South),"Centrifugal Pump (VS4 type)
Rated Capacity(m3/h):13.2
Rated Suction Pressure:0.04Bar(G)
Rated Discharge Pressure:1.73Bar(G)
Diff. Head(m): 16.5
Motor Power (kW): 5.5
Material: 316L",316L,Contractor,ea,2,2,2,4,,0,,0,,0,,0,,0,0,0,,
RE-03,,,Lifts/Hoists/Elevators/Bridge Crane,,,,,,,,,,,,,,,,,,,,,
RE-03-0001,1046-HO-0001,"Hoist For Conveyor Wash
Down Pumps(RSHT-2
North)","Type: Electric Driven
Capacity (t): 2
Lifting Height:5m;travel diatance:5m
Motor Power(kW): 5
Electric Area Classification: Safe",CS,Contractor,SET,1,1,0.5,0.5,,0,,0,,0,,0,,0,0,0,,
RE-03-0002,1046-HO-0002,"Hoist For Conveyor Wash
Down Pumps(RSHT-2
South)","Type: Electric Driven
Capacity (t): 2
Lifting Height:5m;travel diatance:5m
Motor Power(kW): 5
Electric Area Classification: Safe",CS,Contractor,SET,1,1,0.5,0.5,,0,,0,,0,,0,,0,0,0,,
RE-04,,,Other,,,,,,,,,,,,,,,,,,,0,,
RE-04-0001,,Lube Oil,ISO VG32 or VG46,,Contractor,L,,,,0,,0,,0,,0,,0,,0,0,0,,
,,,Rotary Equipment (Brown) TOTAL,,,,,,,,,0,,0,,0,,0,,0,,0,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,
1,,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,,,,,
1.1,,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,,,,,
1.2,,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,,,,,
1.3,,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,,,,,
2,,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,,,,,
3,,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,,,,,
