# Source: Appendix D 1 BOQ For MEI-Package i-3 Rev. D.xlsx
# Sheet: A-Summary
"# Rows: 20, Cols: 4"

,,,
,,,
,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-1,,,"REV. D, DATE: 05/Mar/2026"
0.SUBCONTRACT PRICE SUMMARY,,,
,,,
SN.,DESCRIPTION ,Manhours,SUBTOTAL COST
I.DIRECT COST,,,0
1,Steel Structural（Green）,0,0
2,Package Equipment,0,0
3,Piping（Green）,0,0
4,Miscellaneous(Green) ,0,
5,Fire Fighting（Green）,0,0
6,NDT(Green) ,0,0
II.INDIRECT LS COST,,,0
,,,
III.V.A.T,,,0
,TOTA SUBCONTRACT PRICE EXCLUDING VAT,,0
,TOTA SUBCONTRACT PRICE INCLUDING VAT,,0
