# Source: Appendix D 1 BOQ For MEI-Package i-3 Rev. D.xlsx
# Sheet: A.1-INDIRECTS BREAKDOWN
"# Rows: 58, Cols: 4"

,,,
,,,
,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-1,,,"REV. D, DATE: 05/Mar/2026"
,"LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR MECHANICAL ELECTRICAL AND INSTALLATION WORKS",,
SN,DESCRIPTION,Unit,TOTAL COST
,,,
I,INDIRECT COST:,,
,,,
A,FINANCIAL COST,,
A01,Performance and Guarantee Bonds costs and Finance costs (in accordance to contractual conditions).,Lump Sum,
A02,Insurances costs.,Lump Sum,
A03,"Licenses, taxes and official permits.",Lump Sum,
,TOTAL FINANCIAL COST,,0
,,,
B,MOBILIZATION AND DEMOBILIZATION COST,,
B01,"Mobilization and settlement of all needed means, construction equipment,  transport to WORKSITE, preparation for use of means and equipment.",Lump Sum,
B02,"Demobilization after the completion of the WORK and with the previous approval of the CONTRACTOR, dismantle and transport to their original location all his means, construction equipment.",Lump Sum,
B03,Cleaning and clearance to restore Subcontractor area/s to its original state.,Lump Sum,
,TOTAL MOBILIZATION AND DEMOBILIZATION COST,,0
,,,
C,TEMPORARY CONSTRUCTION FACILITIES COST,,
C01,"SUBCONTRACTOR TEMPORARY WORKSITE FACILITIES.
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Temporary Facilities on SITE, including (but not limited to) offices, first aid facilities, workshops, warehouses, dressing rooms, prayer rooms, toilets, canteen, resting shelters, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, drinking water, renting, insurances, etc.",Lump Sum,
C02,"SUBCONTRACTOR CAMP
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Site Temporary Camp including (but not limited to) dormitories, common buildings, sport facilities, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, renting, insurances, medical service, catering,etc.",Lump Sum,
C03,"FIRST AID SERVICE
Medical services (doctor, nurse, ambulance, driver, first aiders, medical consumables, etc.)
Include mobilization, demobilization, travels, transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,
,TOTAL TEMPORARY CONSTRUCTION FACILITIES COST,,0
,,,
D,RUNNING COST,,
D01,Security expenses,Lump Sum,
D02,Cleaning cost (including dumping fees of domestic wastes),Lump Sum,
D03,"Cranes, forklifts, trucks, and in general any mean, resource and equipment neccesary to manage workshop and lay down area, if any.",Lump Sum,
D04,"Any other required services (e.g. pest control, etc.)",Lump Sum,
,TOTAL RUNNING COST,,0
,,,
E,INDIRECT PERSONNEL COST,,
E01,"SITE MANAGEMENT AND INDIRECT LABOUR
Management, administration personnel, construction supervisors,HSE personnel, QA/QC personnel, inspectors, material management, clerks, drivers, etc., that SUBCONTRACTOR might need to perform and complete the WORK and fulfil all SUBCONTRACTOR obligations under the SUBCONTRACT.
Include mobilization, demobilization, travels, block visas,transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,
,TOTAL INDIRECT PERSONNEL COST,,0
,,,
F,OTHER INDIRECT COST,,
F01,Other Indirect Cost Item – This shall cover any additional indirect costs not specifically itemized elsewhere,Lump Sum,
,TOTAL OTHER INDIRECT COST,,0
,,,
,SUBTOTAL INDIRECT COST,,0
,,,
II,OVERHEAD AND PROFIT COST:,,
,,,
G,HEAD OFFICE SUPPORT,,
G01,"- Head Office works to support the Project.
- Administration expenses (incl. permits, block visas, etc.).
- General Expenses related to the perform of the WORK that might be necessary to the correct perform of the WORK and the fulfillment of the SUBCONTRACTOR responsibilities included in the SUBCONTRACT.",Lump Sum,
,TOTAL HEAD OFFICE SUPPORT,,0
,,,
H,PROFIT,,
H01,- Profit,Lump Sum,
,TOTAL PROFIT,,0
,,,
,SUBTOTAL OVERHEAD AND PROFIT COST,,0
,,,
,"TOTAL - LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR SUBCONTRACT WORKS",,0
