# Source: Appendix D 1 BOQ For MEI-Package i-3 Rev. D.xlsx
# Sheet: NDT(Green) 
"# Rows: 36, Cols: 19"

,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-1,,,,,,,,,,,,,,,,"REV. D, DATE: 05/Mar/2026",,
Item,Description,Unit,"Qty.
","MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,,
No.,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,Q,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
A,NDT WORKS,,,,,,,,,,,,,,,,,
1.1,Radiographic Test: measured by film sheet regardless radiation source,sheet,10240,,0,,0,,0,,0,,0,0,0,,,
1.2,UT,Dia-In,320,,0,,0,,0,,0,,0,0,0,,,
1.3,PT,Dia-In,1000,,0,,0,,0,,0,,0,0,0,,,
1.4,MT,Dia-In,880,,0,,0,,0,,0,,0,0,0,,,
1.5,PMI,Point,140,,0,,0,,0,,0,,0,0,0,,,
B,"Pressure testing, flushing, drying and packaging of Valves",,,,,,,,,,,,,,,,,
2.1,NPS up to 2-1/2'',ea,11,,0,,0,,0,,0,,0,0,0,,,
2.2,NPS from 3'' to 4'',ea,7,,0,,0,,0,,0,,0,0,0,,,
2.3,NPS from 5'' to 9'',ea,13,,0,,0,,0,,0,,0,0,0,,,
2.4,NPS from 10'' to 12'',ea,9,,0,,0,,0,,0,,0,0,0,,,
2.5,NPS from 14'' to 18'',ea,6,,0,,0,,0,,0,,0,0,0,,,
2.6,NPS from 20'' to 28'',ea,2,,0,,0,,0,,0,,0,0,0,,,
C,Testing and calibriation of Pressure Safety Valve,,,,,,,,,,,,,,,,,
3.1,NPS up to 2-1/2'',ea,6,,0,,0,,0,,0,,0,0,0,,,
3.2,NPS from 3'' to 4'',ea,9,,0,,0,,0,,0,,0,0,0,,,
3.3,NPS from 5'' to 9'',ea,10,,0,,0,,0,,0,,0,0,0,,,
3.4,NPS from 10'' to 12'',ea,8,,0,,0,,0,,0,,0,0,0,,,
3.5,NPS from 14'' to 18'',ea,4,,0,,0,,0,,0,,0,0,0,,,
3.6,NPS from 20'' to 28'',ea,1,,0,,0,,0,,0,,0,0,0,,,
,SUBTOTAL-NDT WORKS,,,,0,,0,,0,,0,,0,,0,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
