# Source: Appendix D 1 BOQ For MEI-Package i-3 Rev. D.xlsx
# Sheet: Package-003
"# Rows: 190, Cols: 24"

,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package I-1,,,,,,,,,,,,,,,,,,,,,,"REV. D, DATE: 05/Mar/2026",
NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,Material Supplied By,UNIT,Qty.,WBS,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,"UNIT 40 
SSB",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
Package Units are generally installed in a unique location, although some loose items or auxiliary systems may be installed in isolated or dedicated foundations / supporting steel structures.",,,,,,,,,,,,,,,,,,,,,,,
PK-0003,4043-SR-0001AB,Portal Stacker Reclaimer,,,Packages,2,2,,,,,,,,,,,,,,,Refer to Vendor Document as attached,
,4043-SR-0001A,,,,,,,,,,0,,0,,0,,0,,0,0,0,,
,,1,"Portal, components",,,,,,,,0,,0,,0,,0,,0,0,0,,
,,,Part 1,Contractor,ea,1,1,136,136,,0,,0,,0,,0,,0,0,0,,
,,,Part 2,Contractor,ea,1,1,53,53,,0,,0,,0,,0,,0,0,0,,
,,,Fixed side,Contractor,ea,1,1,20,20,,0,,0,,0,,0,,0,0,0,,
,,,Pendulum side,Contractor,ea,1,1,15,15,,0,,0,,0,,0,,0,0,0,,
,,,Fixed side beam,Contractor,ea,1,1,34,34,,0,,0,,0,,0,,0,0,0,,
,,,Smaller parts,Contractor,ea,1,1,80.266,80.266,,0,,0,,0,,0,,0,0,0,,
,,,Portal Secondary Structure,Contractor,ea,1,1,79.434,79.434,,0,,0,,0,,0,,0,0,0,,
,,,Scraper Boom Hoists Rope System,Contractor,ea,1,1,49.97,49.97,,0,,0,,0,,0,,0,0,0,,
,,,Anti-grab Device,Contractor,ea,1,1,0.112,0.112,,0,,0,,0,,0,,0,0,0,,
,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,
,,,,,,,,,,,0,,0,,0,,0,,0,0,0,,
,,2,"Main Boom (north/south), weights only for one boom",,,,,,,,0,,0,,0,,0,,0,0,0,,
,,,Drive unit,Contractor,ea,1,1,10.58,10.58,,0,,0,,0,,0,,0,0,0,,
,,,"Chain
t=215,9 x 91758",Contractor,ea,2,2,8.891,17.782,,0,,0,,0,,0,,0,0,0,,
,,,Take-up Device Arrangement,Contractor,ea,1,1,1.6565,1.6565,,0,,0,,0,,0,,0,0,0,,
,,,Drive shaft Arrangement,Contractor,ea,1,1,9.195,9.195,,0,,0,,0,,0,,0,0,0,,
,,,Bearing Portal side,Contractor,ea,1,1,1.982,1.982,,0,,0,,0,,0,,0,0,0,,
,,,Steel structure ,Contractor,ea,1,1,45.129,45.129,,0,,0,,0,,0,,0,0,0,,
