,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CODE:24108-25100-,,,,,,,,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,REV.B DATE:2025/12/2,,,,,,,,,
0.SUBCONTRACT PRICE SUMMARY,,,,,,,,,,,,
,,,,,,,,,,,,
SN.,DESCRIPTION ,MANHOURS,SUBTOTAL COST,,,,,,,,,
I.DIRECT COST,,,117355823.838052,,,,,增加,,,减少,
1,PLOT PLAN（Green）,6079030.97410706,42588171.0364858,,,,,最终直接费,13500000,,最终直接费,7500000
2,PLOT PLAN (Brown),174355.966971574,529914.247252534,,,,,原直接费,10000000,,原直接费,10000000
,,,,,,,,初始间接费,2000000,,初始间接费,2000000
3,CIVIL（Green）,15178055.5546529,52445839.0791974,,,,,X,1.35,,X,0.75
4,CIVIL（Brown),2518211.90925926,7180436.54143519,,,,,Y,1.1125,,Y,0.9485
5,UG PIP （Green）,944016.282916667,3137751.88106481,,,,,Z,2225000,,Z,1897000
6,UG PIP（Brown),273001.894425926,537410.992361111,,,,,,,,,
7,CMS (Green),79750,86130,,,,,,,,,
8,Provisional Sum,1432449.15334014,10850170.0602548,,,,,,,,,
II.INDIRECT LS COST,,,32476214.8109756,,,,,,,,,
,,,,,,,,,,,,
,TOTA SUBCONTRACT PRICE,,149832038.649027,,,,,,,,,
