,,,
,,,
,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,REV.B DATE:2025/12/2
,"LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR CIVIL AND BLDG WORKS PACKAGE II",,
SN,DESCRIPTION,Unit,TOTAL COST
,,,
I,INDIRECT COST:,,
,,,
A,FINANCIAL COST,,
A01,Performance and Guarantee Bonds costs and Finance costs (in accordance to contractual conditions).,Lump Sum,1526000
A02,Insurances costs.,Lump Sum,800000
A03,"Licenses, taxes and official permits.",Lump Sum,200000
,TOTAL FINANCIAL COST,,2526000
,,,
B,MOBILIZATION AND DEMOBILIZATION COST,,
B01,"Mobilization and settlement of all needed means, construction equipment,  transport to WORKSITE, preparation for use of means and equipment.",Lump Sum,164000
B02,"Demobilization after the completion of the WORK and with the previous approval of the CONTRACTOR, dismantle and transport to their original location all his means, construction equipment.",Lump Sum,298967.76
B03,Cleaning and clearance to restore Subcontractor area/s to its original state.,Lump Sum,395941.1239
,TOTAL MOBILIZATION AND DEMOBILIZATION COST,,858908.8839
,,,
C,TEMPORARY CONSTRUCTION FACILITIES COST,,
C01,"SUBCONTRACTOR TEMPORARY WORKSITE FACILITIES.
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Temporary Facilities on SITE, including (but not limited to) offices, first aid facilities, workshops, warehouses, dressing rooms, prayer rooms, toilets, canteen, resting shelters, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, drinking water, renting, insurances, etc.",Lump Sum,3321864
C02,"SUBCONTRACTOR TEMPORARY CAMP
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Site Temporary Camp including (but not limited to) dormitories, common buildings, sport facilities, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, renting, insurances, medical service, catering,etc.",Lump Sum,9416800
C03,"FIRST AID SERVICE
Medical services (doctor, nurse, ambulance, driver, first aiders, medical consumables, etc.)
Include mobilization, demobilization, travels, transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,546001.06
,TOTAL TEMPORARY CONSTRUCTION FACILITIES COST,,13284665.06
,,,
D,RUNNING COST,,
D01,Security expenses,Lump Sum,97200
D02,Cleaning cost (including dumping fees of domestic wastes),Lump Sum,338400
D03,"Cranes, forklifts, trucks, and in general any mean, resource and equipment neccesary to manage workshop and lay down area, if any.",Lump Sum,837564.67434
D04,"Any other required services (e.g. pest control, etc.)",Lump Sum,139594.11239
,TOTAL RUNNING COST,,1412758.78673
,,,
E,INDIRECT PERSONNEL COST,,
E01,"SITE MANAGEMENT AND INDIRECT LABOUR
Management, administration personnel, construction supervisors,HSE personnel, QA/QC personnel, inspectors, material management, clerks, drivers, etc., that SUBCONTRACTOR might need to perform and complete the WORK and fulfil all SUBCONTRACTOR obligations under the SUBCONTRACT.
Include mobilization, demobilization, travels, block visas,transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,11364483.2253026
,TOTAL INDIRECT PERSONNEL COST,,11364483.2253026
,,,
F,OTHER INDIRECT COST,,
F01,Other Indirect Cost Item – This shall cover any additional indirect costs not specifically itemized elsewhere,Lump Sum,1422980
,TOTAL OTHER INDIRECT COST,,1422980
,,,
,SUBTOTAL INDIRECT COST,,30869795.9559326
,,,
II,OVERHEAD AND PROFIT COST:,,
,,,
G,HEAD OFFICE SUPPORT,,
G01,"- Head Office works to support the Project.
- Administration expenses (incl. permits, block visas, etc.).
- General Expenses related to the perform of the WORK that might be necessary to the correct perform of the WORK and the fulfillment of the SUBCONTRACTOR responsibilities included in the SUBCONTRACT.",Lump Sum,1606418.85504297
,TOTAL HEAD OFFICE SUPPORT,,1606418.85504297
,,,
H,PROFIT,,
H01,- Profit,Lump Sum,
,TOTAL PROFIT,,0
,,,
,SUBTOTAL OVERHEAD AND PROFIT COST,,1606418.85504297
,,,
,"TOTAL - LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR SUBCONTRACT WORKS",,32476214.8109756
