,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
NO.1,,Piling,,,,,,,,,,,,,,,,,,
1.1,Pile Cuting and Treatment,"Pile Cuting for Pile fourndation as per AGES-SP-01-001/008, Φ600mm",EA,0,,,,0,,0,,0,,0,,0,,0,,
1.2,Pile Cuting and Treatment,"Pile Cuting for Pile fourndation as per AGES-SP-01-001/008, Φ800mm",EA,0,,,,0,,0,,0,,0,,0,,0,,
NO.2,,Demolition,,,,,,,,,,,,,,,,,,
2.1,Demolition,"Demolition of reinforced concrete for foundations, slabs, footings, channels, culberts, well points, manholes and/or equipment supports",M3,0,,,,0,,0,,0,,0,,0,,0,,
2.2,Demolition,Demolition and/or Disassembly of existing Catch Basins or Manholes,EA,0,,,,0,,0,,0,,0,,0,,0,,
2.3,Demolition,Demolition of pile (L=1.5m),EA,0,,,,0,,0,,0,,0,,0,,0,,
2.4,Demolition,"Demolition and/or Disassembly of Existing Buildings, incluided demolition of foundations and all underground installaltion inside of its battery limits",M3,200,,200,943.457638888889,188691.527777778,1018.93425,203786.85,1.88736111111111,377.472222222222,0.150988888888889,30.1977777777778,0,0,1020.97319444444,204194.638888889,,
2.5,Demolition,"Openings execution, by chipping hammer or pneumatic hammer means, any size, properly finished.",M3,0,,,,0,,0,,0,,0,,0,,0,,
2.6,Demolition,"Openings execution, by drilling machine means, any depth, properly finished.",EA,0,,,,0,,0,,0,,0,,0,,0,,
2.7,Demolition,Demolition and/or Disassembly of elements of Heavy Steel Structures (above 90 kg/m),T,0,,,,0,,0,,0,,0,,0,,0,,
2.8,Demolition,"Demolition and/or Disassembly of elements of Steel Structures (above 25 kg/m, up to 90 Kg/m)",T,0,,,,0,,0,,0,,0,,0,,0,,
2.9,Demolition,Demolition and/or Disassembly of elements of Light Steel Structures (up to 25 kg/m),T,0,,,,0,,0,,0,,0,,0,,0,,
2.1,Demolition,"Demolition and/or Disassembly of  Ancillary Steel Structures elements, such as Gratings, Chequered Plates, Handrails, Ladders…",T,0,,,,0,,0,,0,,0,,0,,0,,
2.11,Modification & Protection,"Existing Trench 1m wide
Construction to take additional meatures to protect the existing trench and restored to original conditions as needed if damaged.",M,0,,,,0,,0,,0,,0,,0,,0,,
2.12,Modification & Revamp,Cable Trench 1m wide,M,0,,,,0,,0,,0,,0,,0,,0,,
2.13,Modification & Revamp,Existing Cable Trench (3m wide) at proposed road access way shall be replaced to culvert for cable crossings during EPC phase.,M,0,,,,0,,0,,0,,0,,0,,0,,
2.14,Modification & Revamp,Hilti Post M20 Anchor or Equal for Existing Foundation and Misc. Support Modification,EA,120,,120,15.8815740740741,1905.78888888889,17.1521,2058.252,17.437037037037,2092.44444444444,1.39496296296296,167.395555555556,0,0,35.9837037037037,4318.04444444444,,
NO.3,,Earth Work,,,,,,,,,,,,,,,,,,
3.1,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,4320,,4320,3.05148148148148,13182.4,3.2956,14236.992,30.2225462962963,130561.4,2.4178037037037,10444.912,27.61135,119281.032,63.5510648148148,274540.6,,
3.2,Earth Work,EXCAVATION BY EQUIPMENT 2m to 4m,M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.3,Earth Work,"EXCAVATION BY EQUIPMENT more than 4m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,100,,100,4.63666666666667,463.666666666667,5.0076,500.76,32.1891666666667,3218.91666666667,2.57513333333333,257.513333333333,46.94625,4694.625,86.7145833333333,8671.45833333333,,
3.4,Earth Work,"EXCAVATION BY HAND(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,2500,,2500,471.741203703704,1179353.00925926,509.4805,1273701.25,0,0,0,0,0,0,509.478518518519,1273696.2962963,,
3.5,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m
(WITHOUT SHORING AS NEEDED)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.6,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.7,Earth Work,"Shoring by Sheet Plies, 6m",M2,1,,,377.427638888889,377.427638888889,407.62185,407.62185,414.104861111111,414.104861111111,33.1283888888889,33.1283888888889,15.5471,15.5471,870.400416666667,870.400416666667,,
3.8,Earth Work,"Extension use for over one month of Sheet Plies, 6m",M2·day,1,,,12.5824074074074,12.5824074074074,13.589,13.589,13.8010185185185,13.8010185185185,1.10408148148148,1.10408148148148,0.51895,0.51895,29.0138425925926,29.0138425925926,,
3.9,Earth Work,"Shoring by Sheet Plies, 12m",M2,1,,,432.324583333333,432.324583333333,466.91055,466.91055,474.336944444444,474.336944444444,37.9469555555556,37.9469555555556,17.81015,17.81015,997.007175925926,997.007175925926,,
3.10,Earth Work,"Extension use for over one month of Sheet Plies, 12m",M2·day,1,,,14.4103240740741,14.4103240740741,15.56315,15.56315,15.8122222222222,15.8122222222222,1.26497777777778,1.26497777777778,0.59385,0.59385,33.2343981481481,33.2343981481481,,
3.11,Earth Work,Dewatering-Main Pipe,M,1,,,62.2135648148148,62.2135648148148,67.19065,67.19065,50.42375,50.42375,4.0339,4.0339,0.0321,0.0321,121.677824074074,121.677824074074,,
3.12,Earth Work,Dewatering-Pump (1Shift=24hours),Shift,1,,,5.94444444444444,5.94444444444444,6.42,6.42,44.3901388888889,44.3901388888889,3.55121111111111,3.55121111111111,144.0648,144.0648,198.425555555556,198.425555555556,,
3.13,Earth Work,Unclassified Excavation of Sludge ,M3,1,,,6.88564814814815,6.88564814814815,7.4365,7.4365,40.6005555555556,40.6005555555556,3.24804444444444,3.24804444444444,38.46115,38.46115,89.74625,89.74625,,
3.14,Earth Work,Unclassified Excavation of Quicksand,M3,1,,,6.88564814814815,6.88564814814815,7.4365,7.4365,40.6005555555556,40.6005555555556,3.24804444444444,3.24804444444444,38.46115,38.46115,89.74625,89.74625,,
3.15,Earth Work,Unclassified Excavation of Rock,M3,1,,,601.751157407407,601.751157407407,649.89125,649.89125,40.7590740740741,40.7590740740741,3.26072592592593,3.26072592592593,33.9939,33.9939,727.90712962963,727.90712962963,,
3.16,Earth Work,"BACKFILL - GENERAL BACKFILL 
As per AGES-SP-01-005
(only structure foundation scope, not all overall)",M3,1368,,1368,20.8550925925926,28529.7666666667,22.5235,30812.148,44.7071759259259,61159.4166666667,3.57657407407407,4892.75333333333,4.5047,6162.4296,75.3111574074074,103025.663333333,,
3.17,Earth Work,"BACKFILL - STRUCTURAL BACKFILL
(only structure foundation scope, not all overall)",M3,5454,,5454,20.8550925925926,113743.675,22.5235,122843.169,112.275694444444,612351.6375,8.98205555555556,48988.131,4.5047,24568.6338,148.284166666667,808741.845,,
3.18,Earth Work,"Mass fill  with EXCAVATION soil As per AGES-SP-01-005
 Qty refer to Planplot",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.19,Earth Work,BACKFILL - CLEAN SAND,M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
3.2,Earth Work,BACKFILL - CRUSHED STONE,M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
