,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
NO.1,,Piling,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Pile Cuting and Treatment,"Pile Cuting and treatment for Pile fourndation as per AGES-SP-01-001/008, Φ600mm",ea,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
1.1,Pile Cuting and Treatment,"Pile Cuting and treatment for Pile fourndation as per AGES-SP-01-001/008, Φ800mm",ea,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
NO.2,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,Demolition and Modification,"Demolition of reinforced concrete for foundations, slabs, footings, channels, culberts, well points, manholes and/or equipment supports",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.2,Demolition and Modification,Demolition and/or Disassembly of existing Catch Basins or Manholes,EA,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.3,Demolition and Modification,Demolition of pile (L=1.5m),EA,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.4,Demolition and Modification,"Demolition and/or Disassembly of Existing Buildings, incluided demolition of foundations and all underground installaltion inside of its battery limits",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.5,Demolition and Modification,"Openings execution, by chipping hammer or pneumatic hammer means, any size, properly finished.",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.6,Demolition and Modification,"Openings execution, by drilling machine means, any depth, properly finished.",ea,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.7,Demolition and Modification,Demolition and/or Disassembly of elements of Heavy Steel Structures (above 90 kg/m),T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.8,Demolition and Modification,"Demolition and/or Disassembly of elements of Steel Structures (above 25 kg/m, up to 90 Kg/m)",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.9,Demolition and Modification,Demolition and/or Disassembly of elements of Light Steel Structures (up to 25 kg/m),T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.1,Demolition and Modification,"Demolition and/or Disassembly of  Ancillary Steel Structures elements, such as Gratings, Chequered Plates, Handrails, Ladders…",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.11,Modification & Protection,"Existing Trench 1m wide
Construction to take additional meatures to protect the existing trench and restored to original conditions as needed if damaged.",M,20,10,,,,,10,,,,28.8553240740741,577.106481481482,31.16375,623.275,32.5161111111111,650.322222222222,2.60128888888889,52.0257777777778,40.232,804.64,106.509583333333,2130.19166666667,,,
2.12,Modification & Revamp,Cable Trench 1m wide,M,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.13,Modification & Revamp,Existing Cable Trench (3m wide) at proposed road access way shall be replaced to culvert for cable crossings during EPC phase.,M,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
2.14,Modification & Revamp,Hilti Post M20 Anchor or Equal for Existing Foundation and Misc. Support Modification,EA,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
NO.3,,Earth Work,,,,,,,,,,,,,,,,,,,,,,,,,,
