,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,,
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,,
,,,,,,"UNIT 50
B4",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,,
,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,
0.1,Demolition and Modification,"Demolition of reinforced concrete for foundations, slabs, footings, channels, culberts, well points,pit,culvert, manholes and/or equipment supports(includeing: off-site removal of materials)",,M3,10,10,943.457638888889,9434.57638888889,1018.93425,10189.3425,1.88736111111111,18.8736111111111,0.150988888888889,1.50988888888889,0,0,1020.97319444444,10209.7319444444,,,,
0.2,Demolition and Modification,"Demolition of non-reinforced concrete for foundations, slabs, footings, channels, culberts, well points,pit,culvert, manholes and/or equipment supports(includeing: off-site removal of materials)",,M3,10,10,943.457638888889,9434.57638888889,1018.93425,10189.3425,1.88736111111111,18.8736111111111,0.150988888888889,1.50988888888889,0,0,1020.97319444444,10209.7319444444,,,,
0.3,Demolition and Modification,Demolition and/or Disassembly of existing Catch Basins or Manholes,,EA,0,,,0,,0,,0,,0,,0,,0,,,,
0.4,Demolition and Modification,Demolition of pile (L=1.5m),,EA,0,,,0,,0,,0,,0,,0,,0,,,,
0.5,Demolition and Modification,"Demolition and/or Disassembly of Existing Buildings, incluided demolition of foundations and all underground installaltion inside of its battery limits",,M3,0,,,0,,0,,0,,0,,0,,0,,,,
0.6,Demolition and Modification,"Openings execution, by chipping hammer or pneumatic hammer means, any size, properly finished.",,M3,0,,,0,,0,,0,,0,,0,,0,,,,
0.7,Demolition and Modification,"Openings execution, by drilling machine means, any depth, properly finished.",,ea,0,,,0,,0,,0,,0,,0,,0,,,,
0.8,Demolition and Modification,Demolition and/or Disassembly of elements of Heavy Steel Structures (above 90 kg/m),,T,0,,,0,,0,,0,,0,,0,,0,,,,
0.9,Demolition and Modification,"Demolition and/or Disassembly of elements of Steel Structures (above 25 kg/m, up to 90 Kg/m)",,T,0,,,0,,0,,0,,0,,0,,0,,,,
0.10,Demolition and Modification,Demolition and/or Disassembly of elements of Light Steel Structures (up to 25 kg/m),,T,0,,,0,,0,,0,,0,,0,,0,,,,
0.11,Demolition and Modification,"Demolition and/or Disassembly of  Ancillary Steel Structures elements, such as Gratings, Chequered Plates, Handrails, Ladders…",,T,0,,,0,,0,,0,,0,,0,,0,,,,
