# Source: Att 01_BOQ - Civil - BLDG Pkg II.xlsx
# Sheet: PLOT_PLAN（Green）
# Rows: ~219 data rows

,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,,
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,,
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,,
NO.1,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Demolition and Modification,"Demolition of reinforced concrete for foundations, slabs, footings, channels, culberts, well points,pit,culvert, manholes and/or equipment supports(includeing: off-site removal of materials)",,M3,10,10,,,,,,,564.945138888889,5649.45138888889,610.14075,6101.4075,1.88736111111111,18.8736111111111,0.150988888888889,1.50988888888889,0,0,612.178703703704,6121.78703703704,,,,
1.2,Demolition and Modification,"Demolition of non-reinforced concrete for foundations, slabs, footings, channels, culberts, well points,pit,culvert, manholes and/or equipment supports(includeing: off-site removal of materials)",,M3,15,15,,,,,,,564.945138888889,8474.17708333333,610.14075,9152.11125,1.88736111111111,28.3104166666667,0.150988888888889,2.26483333333333,0,0,612.178703703704,9182.68055555555,,,,
1.3,Demolition and Modification,Demolition and/or Disassembly of existing Catch Basins or Manholes,,EA,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1.4,Demolition and Modification,Demolition of pile (L=1.5m),,EA,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1.5,Demolition and Modification,"Demolition and/or Disassembly of Existing Buildings, incluided demolition of foundations and all underground installaltion inside of its battery limits",,M3,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1.6,Demolition and Modification,"Openings execution, by chipping hammer or pneumatic hammer means, any size, properly finished.",,M3,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1.7,Demolition and Modification,"Openings execution, by drilling machine means, any depth, properly finished.",,ea,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
