,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",TANK,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
NO.3,,Earth Work,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,6863.4,,,,,,6863.4,,,,1.82791666666667,12545.72325,1.97415,13549.38111,7.08726,48642.700284,1.72705925925926,11853.49852,19.7201,135346.93434,30.5085692592593,209392.514254,,,
3.2,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.3,Earth Work,"EXCAVATION BY EQUIPMENT more than 4m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.4,Earth Work,"EXCAVATION BY HAND(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)",M3,2172.6,,,,,,2172.6,,,,282.48,613716.048,305.0784,662813.33184,,0,,0,,0,305.0784,662813.33184,,,
3.5,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m
(WITHOUT SHORING AS NEEDED)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
3.6,Earth Work,"Shoring by Sheet Plies, 6m",M2,,,,,,,,,,,283.069490740741,283.069490740741,305.71505,305.71505,410.453981481481,410.453981481481,32.8363185185185,32.8363185185185,11.12265,11.12265,760.121064814815,,unit price only,,
3.7,Earth Work,"Extension use for over one month of Sheet Plies, 6m",M2·day,,,,,,,,,,,9.43680555555556,9.43680555555556,10.19175,10.19175,13.6821296296296,13.6821296296296,1.09457037037037,1.09457037037037,0.36915,0.36915,25.3381944444444,,unit price only,,
3.8,Earth Work,"Shoring by Sheet Plies, 12m",M2,,,,,,,,,,,324.244675925926,324.244675925926,350.18425,350.18425,470.156018518519,470.156018518519,37.6124814814815,37.6124814814815,12.73835,12.73835,870.687731481481,,unit price only,,
3.9,Earth Work,"Extension use for over one month of Sheet Plies, 12m",M2·day,,,,,,,,,,,10.8089814814815,10.8089814814815,11.6737,11.6737,15.6735185185185,15.6735185185185,1.25388148148148,1.25388148148148,0.42265,0.42265,29.02375,,unit price only,,
3.1,Earth Work,Dewatering-Main Pipe,M,,,,,,,,,,,37.2568055555556,37.2568055555556,40.23735,40.23735,50.4187962962963,50.4187962962963,4.0335037037037,4.0335037037037,0.0214,0.0214,94.7148148148148,,unit price only,,
3.11,Earth Work,Dewatering-Pump (1Shift=24hours),Shift,,,,,,,,,,,4.9537037037037,4.9537037037037,5.35,5.35,34.1458796296296,34.1458796296296,2.73167037037037,2.73167037037037,110.8199,110.8199,153.04962962963,,unit price only,,
3.12,Earth Work,Unclassified Excavation of Sludge ,M3,,,,,,,,,,,4.12148148148148,4.12148148148148,4.4512,4.4512,28.9989814814815,28.9989814814815,2.31991851851852,2.31991851851852,27.47225,27.47225,63.2488888888889,,unit price only,,
3.13,Earth Work,Unclassified Excavation of Quicksand,M3,,,,,,,,,,,4.12148148148148,4.12148148148148,4.4512,4.4512,28.9989814814815,28.9989814814815,2.31991851851852,2.31991851851852,27.47225,27.47225,63.2488888888889,,unit price only,,
3.14,Earth Work,Unclassified Excavation of Rock,M3,,,,,,,,,,,360.327453703704,360.327453703704,389.15365,389.15365,31.9414814814815,31.9414814814815,2.55531851851852,2.55531851851852,24.28365,24.28365,447.933703703704,,unit price only,,
3.15,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
