,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2
Item,Category,Description,size,MATERIAL,Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,"UNIT 10 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Civil Part,,,,,,,,,,,,,,,,,,
1.1,Sleeve(end seal with bands),"8"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,50,50,35.0474537037037,1752.37268518518,37.85125,1892.5625,514.456990740741,25722.849537037,41.1565592592593,2057.82796296296,3.0816,154.08,596.549768518519,29827.4884259259,
1.2,Sleeve(end seal with bands),"10"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,50,50,35.0474537037037,1752.37268518518,37.85125,1892.5625,741.138472222222,37056.9236111111,59.2910777777778,2964.55388888889,3.0816,154.08,841.361805555556,42068.0902777778,
1.3,Sleeve(end seal with bands),"12"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,50,50,35.0474537037037,1752.37268518518,37.85125,1892.5625,1137.83106481481,56891.5532407407,91.0264851851852,4551.32425925926,3.0816,154.08,1269.79277777778,63489.6388888889,
1.4,Sleeve(end seal with bands),"14"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,60,60,35.0474537037037,2102.84722222222,37.85125,2271.075,1704.53476851852,102272.086111111,136.362781481481,8181.76688888889,3.0816,184.896,1881.83277777778,112909.966666667,
1.5,Sleeve(end seal with bands),"20"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,40,40,40.2191203703704,1608.76481481481,43.43665,1737.466,3981.81675925926,159272.67037037,318.545340740741,12741.8136296296,6.59655,263.862,4350.39212962963,174015.685185185,
1.6,MANHOLE,"1200x1000x2000 manhole, 30mm THK. HEAVY DUTY STEEL GRATING ，see AGES-STD-01-005",,,EA,4,4,2302.52111111111,9210.08444444444,2486.7228,9946.8912,3537.85097222222,14151.4038888889,283.028077777778,1132.11231111111,140.14325,560.573,6447.74074074074,25790.962962963,
1.7,MANHOLE,"1200x1000x3000 manhole, 30mm THK. HEAVY DUTY STEEL GRATING ,see AGES-STD-01-005",,,EA,3,3,4144.53601851852,12433.6080555556,4476.0989,13428.2967,6368.12976851852,19104.3893055556,509.450381481481,1528.35114444444,252.2525,756.7575,11605.9333333333,34817.8,
