,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,
Item,Category,Description,size,MATERIAL,Unit,"Qty.
",WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,,,
,,,,,,,UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,,,
,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,,,
NO.1,,Sleeve,,,,,,,,,,,,,,,,,,,,,,
1.1,Sleeve,"8"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent","8""",CS,M,0,,,0,,0,,0,,0,,0,,0,,,,,
1.2,Sleeve,"10"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent","10""",CS,M,0,,,0,,0,,0,,0,,0,,0,,,,,
1.3,Sleeve,"12"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent","12""",CS,M,0,,,0,,0,,0,,0,,0,,0,,,,,
1.4,Sleeve,"14"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent including casing pipe, end seal, cathode protection, casing spacer","14""",CS,M,5,5,47.0601851851852,235.300925925926,50.825,254.125,1705.14902777778,8525.74513888889,136.411922222222,682.059611111111,4.00715,20.03575,1896.39171296296,9481.95856481481,,,,,
1.5,Sleeve,"16"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent including casing pipe, end seal, cathode protection, casing spacer","16""",CS,M,1,1,52.0138888888889,52.0138888888889,56.175,56.175,2849.04837962963,2849.04837962963,227.92387037037,227.92387037037,6.99245,6.99245,3140.14287037037,3140.14287037037,,,,,
1.6,Sleeve,"20"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent","20""",CS,M,0,,,0,,0,,0,,0,,0,,0,,,,,
NO.2,,Civil Part,,,,0,,,,,,,,,,,,,,,,,,
2.1,VALVE PIT,"2100x2100x2000 concrete valve pit, see AGES-STD-01-011",,,EA,2,2,8461.76805555556,16923.5361111111,9138.7095,18277.419,13001.5997222222,26003.1994444444,1040.12797777778,2080.25595555556,515.0231,1030.0462,23695.4472222222,47390.8944444444,,,,,
2.2,concrete sump,3400x3400x3000 concrete sump,,,EA,2,2,8913.1,17826.2,9626.148,19252.296,11130.1598148148,22260.3196296296,890.412785185185,1780.82557037037,6.6875,13.375,21653.4166203704,43306.8332407407,,,,,
2.3,concrete sump,3000x1500x3000 concrete sump,,,EA,3,3,3481.68092592593,10445.0427777778,3760.2154,11280.6462,4347.71712962963,13043.1513888889,347.81737037037,1043.45211111111,2.6108,7.8324,8458.36486111111,25375.0945833333,,,,,
2.4,Excavation,Excavation by mechanical equipment (in any type of GROUND and any depth) & trimming & compaction of cut area to 95% proctor density or as per project requirements,,,M3,847.6,847.6,16.9812962962963,14393.3467407407,18.3398,15544.81448,54.7087037037037,46371.0972592593,4.3766962962963,3709.68778074074,56.9989,48312.26764,134.428657407407,113941.730018519,,,,,
2.5,Excavation,Excavation by hand (in any type of GROUND and any depth) & trimming & compaction of cut area to 95% proctor density or as per project requirements ,,,M3,423.8,423.8,471.741203703704,199923.92212963,509.4805,215917.8359,0,0,0,0,0,0,509.478518518519,215916.996148148,,,,,
2.7,Clean sand filling,Clean sand filling using washed clean sand including compaction of each layer,,,M3,30,30,24.9022685185185,747.068055555555,26.89445,806.8335,89.5233333333333,2685.7,7.16186666666667,214.856,1.20375,36.1125,124.783796296296,3743.51388888889,,,,,
2.8,Backfilling,Backfilling using selected materials from excavated soil including compaction of each layer. to 95% proctor density or as per project requirements and specifications.,,,M3,754,754,16.2630092592593,12262.3089814815,17.56405,13243.2937,19.175787037037,14458.5434259259,1.53406296296296,1156.68347407407,4.25325,3206.9505,42.5225925925926,32062.0348148148,,,,,
2.9,Disposal,"DISPOSAL OF SOIL 
(OUTSIDE OF CICPA) ",,,M3,487.4,487.4,0.396296296296296,193.154814814815,0.428,208.6072,79.497037037037,38746.8558518519,6.35976296296296,3099.74846814815,2.0437,996.09938,88.3294907407407,43051.793787037,,,,,
,,SUBTOTAL-UG PIPING WORKS (Brown),,,,,,,273001.894425926,,294842.04598,,174943.660518519,,13995.4928414815,,53629.71182,,537410.992361111,,,,,
