# Source: Appendix D.1 BOQ For Firefighting Pipe Prefabrication Rev.A.xlsx
# Sheet: Labor Rates
"# Rows: 99, Cols: 6"

,,,PART II EXHIBIT D SUBCONTRACT PRICE,,
,,,APPENDIX D-3 ALL INCLUSIVE LABOR RATES,,
,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,CONTRACT NO. :XXXXXX,,
SUBCONTRACT: Fire-fighting Piping (3-inch and above) Prefabrication Works on FOB Basis,,,,,
0.SUBCONTRACT PRICE SUMMARY,,,,,
CLASS,Classification of Labour,"RATE
 (USD/HR)","OVERTIME RATE
 (USD/HR)",,
A,WELDING,,,,
1,Foreman/Supt/Trade Foreman,,,,
2,Welder API,,,,
3,Welder,,,,
4,Fabricator,,,,
5,Welder's Assistant,,,,
,,,,,
B,ELECTRICAL,,,,
1,CS Galvanizing and Painting,,,,
2,Electrician,,,,
3,Electrician's Assistant,,,,
4,Electrical Fitter,,,,
,,,,,
C,INSTRUMENTATION,,,,
1,Foreman/Supt/Trade Foreman,,,,
2,Fitter,,,,
3,Fitter's Assistant,,,,
4,Instrumentation Fitter,,,,
,,,,,
D,CONCRETING,,,,
1,Foreman/Supt/Trade Foreman,,,,
2,Concretors (Operating Tools),,,,
3,Concreting Labourers,,,,
,,,,,
E,CARPENTRY/FORMWORK,,,,
1,Foreman/Supt/Trade Foreman,,,,
2,Carpenter,,,,
3,Carpenter's Assistant,,,,
,,,,,
F,STEEL FIXING,,,,
1,Foreman/Supt/Trade Foreman,,,,
2,Steel Fixer,,,,
3,Bending Machine/Cutting Machine Operator,,,,
4,Steel Fixer's Assistant,,,,
,,,,,
G,BRICKWORK/MASONRY,,,,
1,Foreman/Supt/Trade Foreman,,,,
2,Mason,,,,
3,Mason's Assistant,,,,
,,,,,
H,MECHANICAL/PIPING,,,,
1,Foreman,,,,
2,Millwright,,,,
3,Pipe Layer/Fitter/Fabricator,,,,
4,Pipe Layer/Fitter's Assistant,,,,
,,,,,
I,STEEL WORK (STRUCTURAL),,,,
1,Foreman,,,,
2,Steel Erector,,,,
3,Fabricator,,,,
4,Structural Welder,,,,
5,Rigger,,,,
6,Erector/Fabricator's Assistant,,,,
,,,,,
J,PAINTING,,,,
1,Foreman,,,,
2,Painter (incl. Spray Painter),,,,
3,Painter's Assistant,,,,
4,Sand Blaster,,,,
,,,,,
K,PLUMBING/GLAZING,,,,
1,Foreman,,,,
2,Plumber/Glazier,,,,
3,Plumber's/Glazier's Assistant,,,,
,,,,,
L,HVAC,,,,
1,Foreman,,,,
2,Fitter,,,,
3,Fitter's Assistant,,,,
,,,,,
M,EXCAVATION,,,,
1,Ganger,,,,
2,Timberman,,,,
3,Timberman's Assistant,,,,
,,,,,
N,GENERAL,,,,
1,Inspector,,,,
2,Scaffolder,,,,
3,Insulator,,,,
4,Laboratory Technician,,,,
5,General Labourer,,,,
6,JP/PA,,,,
,,,,,
O,OTHERS (BIDDER to specify),,,,
,,,,,
Special Notes:,,,,,
"
1.The labor rales included herein are based on the straight time hours based on sixty (60) hours per week, consisting of ten (10) hours/day, Saturday through Monday, but are also applicable to any additional and/or nighttime hours worked.


",,,,,
"2.The labor rates are ""all-in"" rales and include wages, insurance, benefits, taxes, social burdens, board and lodging, transportation costs, recruitment costs, payroll burdens, vacation pay, holiday pay, sick pay, overheads and profits, hand tools (such as grinder, cutter, drill, chain block, and the like),consumables, general and administrative expenses(including indirect manpower such as managers, supervisors, engineers, inspectors etc.)  as per Wison/ADNOC's policy, mobilization and demobilization to and from the Site/office, idle time, stand by time and shall apply regardless of the working location of category of manpower. ",,,,,
"3.For Subcontractor's and its low tier subcontractor's personnel, the labor rates above shall be deemed to include all wages, payroll burdens, benefits, applicable home office and field overheads (including computers, communications and reprographics, elc.mobilizalion and demobilization, site accommodation, meals, travel & transporlalion and related expenses, whether direct or indirect.",,,,,
"4.In case Wison requires Subcontractor to supply material as requested,a markup percentage of 5% (five percent) will be added to the net cost (delivered to site) of the materials supplied by the Subcontractor.",,,,,
"5. VAT will be excluded in the proposal and submit together with the inovice, which is required to be approved by Wison.",,,,,
,,,,,
