# Source: Appendix D.1 BOQ For Firefighting Pipe Prefabrication.xlsx
# Sheet: A-Summary
"# Rows: 16, Cols: 4"

,,,
,,,
,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,
SUBCONTRACT: Fire-fighting Piping (3-inch and above) Prefabrication Works on FOB Basis,,,"REV. A, DATE: 30/Jun/2026"
0.SUBCONTRACT PRICE SUMMARY,,,
,,,
SN.,DESCRIPTION ,,"SUBTOTAL COST
USD"
,,,
1,Fire-fighting Piping (3-inch and above) Prefabrication Works on FOB Basis,,0
,,,
,TOTA SUBCONTRACT PRICE EXCLUDING VAT,,0
,,,
,,,
,,,
,CS Galvanizing and Painting,,
