# Source: Appendix D.1 BOQ For Firefighting Pipe Prefabrication.xlsx
# Sheet: FF Piping Prefab Works
"# Rows: 29, Cols: 11"

,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.SUBCONTRACT PRICE SUMMARY,,,,,,,,,,
SUBCONTRACT: Fire-fighting Piping (3-inch and above) Prefabrication Works on FOB Basis,,,,,,,,,"REV. A, DATE: 30/Jun/2026",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by",UNIT,Qty.,"All-inclusive Price
USD",,REMARK,
,,,,,,,Unit Rate,Amout,,
,,,,,,,A,=Q*A,,
AP-01,,"Welding Joint, NDT & Shop Hydrotesting included.",,,,,,,,
AP-01-1,CARBON STEEL,"CS, Wall thickess 10mm and below",CS,Contractor,Dia-Inch,32000,,0,,
AP-01-2,CARBON STEEL,"CS, 10mm<Wall thickess ≤12mm",CS,Contractor,Dia-Inch,4000,,0,,
AP-01-3,CARBON STEEL,"CS, 12mm<Wall thickess ≤14mm",CS,Contractor,Dia-Inch,4000,,0,,
AP-02,,Galvanizing and Painting,,,,,,,,
AP-02-0001,CS Galvanizing and Painting,"Surface preparation, galvanizing and painting as per AGES-SP-07-004 and AGES-SP-07-009",,Subcontractor,t,202.8,,0,,
AP-03,,FBE,,,,,,,,
AP-03-0001,FBE and Painting,"Surface preparation, FBE and painting as per AGE-AGES-SP-07-004",,Subcontractor,m2,1000,,0,,
AP-04,,"PACKING, MARKING & DELIVERY (FOB China Port)",,,,,,,,
AP-04-0001,"PACKING, MARKING & DELIVERY (FOB China Port)","1. Packing and Marking
The Goods shall be properly packed, protected, and marked in strict accordance with the Project Specifications, Contract requirements, and applicable international standards to ensure safe handling, transportation, storage, and delivery without damage.
2. Delivery Term
The delivery term shall be FOB China Port (Incoterms® 2020). The Supplier shall be responsible for all costs and risks associated with the Goods until they are delivered on board the vessel nominated by the Buyer at the designated port of shipment, including export packing, marking, inland transportation, export customs clearance, and all export duties, taxes, and charges, in accordance with Incoterms® 2020.",,Subcontractor,Lot,1,,0,,
,,Piping (Prefabrication）TOTAL,,,,,,0,,
NOTES:,,,,,,,,,,
1,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,
1.1,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,
1.2,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,
1.3,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,
2,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,
3,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,
4,,"C/S includes C/S, C/S Sour, LTCS etc.
S/S includes 304, 304L, 316, 316L.",,,,,,,,
