# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,"UNIT 50 
RSHT 2","UNIT 50
General
PP5","UNIT 40 
General",Day Vessel,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,Q,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
EL-01,,,Transformer
EL-01-0001,,33kV/6.3kV Oil immersed Power transformer,"TR-000-001A&B
- 33kV/6kV, 3 phase, 50Hz
- 16MVA, ONAN
- NLTC, Dyn11
- Impedance: 10%",,set,,,,,,,,,,,,,,,,0
EL-02,,,MV Switchgear,,,,,,,,,,,,,,,,,,0
EL-02-0001,,MV Switchgear,"11kV MV Switchgear modification (PP5 Substation):
- 11kV, 3PH, 1250A, 31.5kA, 1s, 50Hz
- CT/PT
- Protection relay
- VCB and so on",Contractor,set,,,,,,,,,,,,,,,,0,,Cancel
EL-03,,,LV Switchgear,,,,,,,,,,,,,,,,,,0
EL-04,,,Emergency Diesel Generator,,,,,,,,,,,,,,,,,,0
EL-05,,,IPCS,,,,,,,,,,,,,,,,,,0
EL-05-0001,,Intergrated Protection and Control System,"IPCS modification (PP5 Substation)
 - existing IPCS configuration and updating for the extention 11kV switchgear.
",Contractor,set,,,,,,,,,,,,,,,,0,,Cancel
EL-06,,,Marshalling Panel,,,,,,,,,,,,,,,,,,0
EL-07,,,Main Lighting Panel,,,,,,,,,,,,,,,,,,0
EL-08,,,UPS,,,,,,,,,,,,,,,,,,0
EL-09,,,Capacitor Bank,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,0
EL-01,,,LIGHTING POLE,,,,,,,,,,,,,,,,,,0
