# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES

,,,,CONTRACT NO. :XXXXX

All Inclusive Equipment Rates
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
1,"Flat Truck, 8T",17640,966,483
,"Flat Truck, 11 T",19740,1092,546
2,"Flat Truck, 17 T",23100,1344,672
,"Flat Truck, 24 T",30240,1680,840
3,"Flat Truck, 40 T",44100,2436,1218
,"Dump Truck, 18 T, 6x4",24360,1344,672
4,"Dump Truck, 25 T, Semitrailer",30240,1806,903
,"Dump Truck, 25-30 T, Articulated",36288,2016,1008
5,"Dump Truck, 35-40 T, Articulated",52920,2940,1470
,"Jeep, 4x4",10500,588,294
6,"Pick Up, 4x4",9660,546,273
,"Bus, 8 Seats",13440,756,378
7,"Bus, 12 Seats",14700,840,420
,"Bus, 16 Seats, 4x4",15960,924,462
8,"Bus, 25 Seats",18900,1050,525
,"Bus, 50 Seats",30660,1722,861
9,"Bus, 30-40 Seats, 6x6",25200,1386,693
,Lowbed Trailer 120 - 135 T + P.Mover,88200,4914,2457
10,"Lowbed Trailer, 60 T + P. Mover",38640,2142,1071
,"Lowbed Trailer, 50 T + P Mover",32760,1806,903
11,"Lowbed Trailer, 40 T + P Mover",28140,1554,777
,"Lowbed Trailer, 30 T  + P Mover",24780,1386,693
12,"Lowbed Trailer, 20 T  + P Mover",21840,1218,609
,"Pipe Trailer, 8,5 T + P Mover",26460,1470,735
13,"Pipe Trailer, 30 T + P Mover",35700,1974,987
,"Flat Trailer, 24 T, 12 m + P Mover",27720,1554,777
14,"Flat Trailer, 32T, 12 m + P Mover ",33600,1848,924
,"Tank Trailer, 20 M3 + P Mover",29400,1638,819
15,"Tank Trailer, 25 M3",35280,1974,987
,"Tank Truck, 10 M3",21840,1218,609
16,"Workshop Truck, large",23940,1344,672
,"Workshop Truck, small",13860,756,378
17,"Truck, 100 kw, 4 T crane",26460,1470,735
,"Truck, 90 kw, 4 T crane",24780,1386,693
18,"Tank Truck, 4 M3",15960,798,399
,"Tank Truck, 3 M3",14700,882,441
19,"Farm Tractor, 50 kw",13020,714,357
,Grease Truck,18060,1008,504
20,Desert Truck,24780,1386,693
,Desert Truck+Trailer,30660,1722,861
21,"Excavator, Mini, 50 kw",15540,882,441
,"Excavator, Cat 215 / Cat 320 B",37800,2100,1050
22,"Excavator, Cat 225 / Cat 240 C",46200,2562,1281
,Excavator Cat 235,40740,2268,1134
23,Excavator Komatsu PC 400,52500,2898,1449
,Excavator Cat 245,49980,2772,1386
24,Dozer Cat D5,34860,1932,966
,Dozer Cat D6 / Komatsu D 65,42840,2394,1197
25,Dozer Cat D7 / Komatsu D 85,52080,2898,1449
,Dozer Cat D8 / Komatsu D 155,63000,3486,1743
26,Dozer Cat D9 / Komatsu D 355,78540,4368,2184
,Ripper Dozer D 8 K,63840,3528,1764
27,Wheelloader Cat 920,23520,1302,651
,Wheelloader Cat 930,27720,1554,777
28,Wheelloader Cat 936 / Cat 950,38640,2142,1071
,Wheelloader Cat 966,45360,2520,1260
29,Wheelloader Furukawa FL 330 II,32760,1806,903
,Wheeltractor Cat 814 B,26040,1428,714
30,Wheeltractor Cat 824 B,32340,1806,903
,Wheeltractor Cat 834 B,40740,2268,1134
31,Backhoe Loader Cat 416 / ICB 3C,29400,1638,819
,Grader Cat 120 G,37800,2100,1050
32,Grader Cat 14 G,45780,2562,1281
,Grader Cat 16 G,55860,3108,1554
33,"Vibratory Roller, 13 T",34860,1932,966
,"Vibratory Roller, 8 - 10 T",24360,1344,672
34,"Vibratory Roller, 1,5 T",10500,588,294
,"Vibration Roller, 0,5 T",7560,420,210
35,Plate Compactor,4200,252,126
,"Compressor, 5 M3 / Min, 7 bar",13020,714,357
36,"Compressor, 7 M3 / Min, 7 bar",15960,882,441
,"Compressor, 10 M3 / Min, 7 bar",21840,1218,609
37,"Compressor, 125 cfm",10500,588,294
,"Compressor, 250 cfm",16380,924,462
38,"Compressor, 600 cfm",34860,1932,966
,"Compressor, 750 cfm",42000,2352,1176
39,"Compressor, 900 cfm",50400,50400,25200
,"Trencher 1660 HD, 750 HP",102900,5712,2856
40,"Trencher 1460 HD, 500 HP",79800,4452,2226
,"Pipelayer, Cat 589 / 594",149100,8274,4137
