# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Fire Fighting (Brown)
"# Rows: 104, Cols: 166"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,"UNIT 40 
Conveyor",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

FF-01,,Connection Joints
FF-01-01
FF-01-01-0001,CARBON STEEL,,CS,,1,S-40,Butt Weld,Dia-Inch,1681.5,,,,,,,,,,,,213.333333333333
FF-01-01-0002,CARBON STEEL,,CS,,3,S-80,Butt Weld,Dia-Inch,30,,,,,,,,,,,,234.285714285714
FF-01-01-0003,CARBON STEEL,,CS,,3,CL800,Thread,Dia-Inch,192,,,,,,,,,,,,257.142857142857
FF-01-01-0004,CARBON STEEL,,CS,,6,S-40,Butt Weld,Dia-Inch,2138,,,,,,,,,,,,213.333333333333
FF-01-01-0005,CARBON STEEL,,CS,,8,S-20,Butt Weld,Dia-Inch,5762.66666666666,,,,,,,,,,,,213.333333333333
FF-01-01-0006,CARBON STEEL,,CS,,10,S-20,Butt Weld,Dia-Inch,1360,,,,,,,,,,,,213.333333333333
FF-01-01-0007,CARBON STEEL,,Cs+Galv,,1,S-20,Butt Weld,Dia-Inch,799.666666666667,,,,,,,,,,,,255.238095238095
FF-01-01-0008,CARBON STEEL,,Cs+Galv,,1,S-160,Butt Weld,Dia-Inch,8926,,,,,,,,,,,,308.571428571429
FF-01-01-0009,CARBON STEEL,,Cs+Galv,,1,CL3000,Thread,Dia-Inch,4463,,,,,,,,,,,,331.428571428571
FF-01-01-0010,CARBON STEEL,,Cs+Galv,,1,CL3000,Butt Weld,Dia-Inch,560.5,,,,,,,,,,,,331.428571428571
FF-01-01-0011,CARBON STEEL,,Cs+Galv,,3,S-80,Butt Weld,Dia-Inch,9.5,,,,,,,,,,,,281.904761904762
FF-01-01-0012,CARBON STEEL,,Cs+Galv,,3,CL150,Thread,Dia-Inch,60,,,,,,,,,,,,255.238095238095
FF-01-01-0013,CARBON STEEL,,Cs+Galv,Contractor,3,CL3000,Thread,Dia-Inch,222,,,,,,,,,,,,331.428571428571
FF-01-01-0014,CARBON STEEL,,Cs+Galv,Contractor,3,CL3000,Butt Weld,Dia-Inch,69,,,,,,,,,,,,331.428571428571
FF-01-01-0015,CARBON STEEL,,Cs+Galv,Contractor,6,S-80,Butt Weld,Dia-Inch,962,,,,,,,,,,,,281.904761904762
FF-01-01-0016,CARBON STEEL,,Cs+Galv,Contractor,6,CL3000,Thread,Dia-Inch,831,,,,,,,,,,,,331.428571428571
FF-01-01-0017,CARBON STEEL,,Cs+Galv,Contractor,8,S-80,Butt Weld,Dia-Inch,3154.66666666667,,,,,,,,,,,,281.904761904762
FF-01-01-0018,CARBON STEEL,,Cs+Galv,Contractor,8,CL3000,Thread,Dia-Inch,3496,,,,,,,,,,,,331.428571428571
FF-01-01-0019,CARBON STEEL,,Cs+Galv,Contractor,10,S-80,Butt Weld,Dia-Inch,840,,,,,,,,,,,,281.904761904762
FF-01-01-0020,CARBON STEEL,,Cs+Galv,Contractor,10,CL3000,Thread,Dia-Inch,80,,,,,,,,,,,,331.428571428571
FF-01-01-0021,CARBON STEEL,,Cs+FBE,Contractor,3,S-40,Butt Weld,Dia-Inch,33,,,,,,,,,,,,255.238095238095
FF-01-01-0022,CARBON STEEL,,Cs+FBE,Contractor,6,S-40,Butt Weld,Dia-Inch,307,,,,,,,,,,,,255.238095238095
FF-01-01-0023,CARBON STEEL,,Cs+FBE,Contractor,8,S-20,Butt Weld,Dia-Inch,536,,,,,,,,,,,,255.238095238095
FF-01-01-0024,CARBON STEEL,,Cs+FBE,Contractor,10,S-20,Butt Weld,Dia-Inch,801.666666666667,,,,,,,,,,,,255.238095238095
