# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Instrumentation(Green）
"# Rows: 231, Cols: 27"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,UNIT 30,"UNIT 40 
SSB","UNIT 40 
General",Day Vessel,Other to specify,Other to specify,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
IN-01,,,Control system
IN-01-01,,DCS," I/O quantity:  AI:396,  AI (IS):401,AIr:5, AIr (IS):421,AI（E）:24,AOr : 431,AOr (IS):36, DI(IS):2302, DI(E):112, DOR:506, DO:661 (20% spare included) 
Hardware,software,configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,,,,2118,,,,,,,,,,,,,,132.275132275132
IN-01-01-0001,,,Power Distribution Panel，800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0002,,DCS,DCS system cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0003,,DCS,DCS safety barrier 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0004,,DCS,DCS relay cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0005,,DCS,DCS Terminal cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0006,,,LAN & SCS Cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0007,,,Network Cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0008,,DCS,DCS operation station,,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0009,,DCS,DCS engineering station,,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-01-0010,,DCS,"DCS console furniture, 1000Wx1200(800)Dx750H",,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-02,,ESD," I/O quantity:  AIR:35, AIr (IS):46,AOR (IS):25,DIR:484,DI(E):265,DOR:109 (20% spare included) 
Hardware, software, configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,,,,386,,,,,,,,,,,,,,132.275132275132
IN-01-02-0001,,ESD,ESD Cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-02-0002,,ESD,"ESD engineering station, ",,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-02-0003,,ESD,"ESD console furniture, 1000Wx1200(800)Dx750H",,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-02-0004,,ESD,ESD auxilliary panel,,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-03,,FGS," IO quantity:  AIR:460,DIR:370,DOR:460 (20% spare included) 
Hardware, software, configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,,,,620,,,,,,,,,,,,,,132.275132275132
IN-01-03-0001,,FGS,FGS Cabinet 800Wx800Dx2100H(mm),,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-03-0002,,FGS,"FGS engineering station, ",,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-03-0003,,FGS,"FGS console furniture, 1000Wx1200(800)Dx750H",,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-03-0004,,FGS,FGS auxilliary panel,,,pcs,,,,,,,,,,,,,,,,,,0
IN-01-04,,TGS," IO quantity:  AIR:40 (20% spare included) 
Hardware ,software,configuration, logic programming, associated information management system  etc. to be included.",,Contractor,Point,,,,16,,,,,,,,,,,,,,132.275132275132
,,,,,,,,,,,,,,,,,,,,,,,,0
IN-02,,,Instrumentation,,,,,,,,,,,,,,,,,,,,,0
IN-02-01,,,Analyzers House,,,,,,,,,,,,,,,,,,,,,0
IN-02-02-0001,,Gas Detector,"Detector (SO2) :
- Operating Principle:  Be solid state/ electrochemical cell type with electrodes.
- Measuring Range:  0-20 ppm
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol, with SIL II certification;
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,Contractor,ea,,60,0,10,34,,,,,,,,,,,,,92.5925925925926
IN-02-02-0002,,Horn & Beacon,"Local sound and light alarm, ExdIIBT4, IP65, 24VDC, ≥110dB, IEC Certificate, 2"" standpipe mounting.",,Contractor,ea,,10,0,5,4,,,,,,,,,,,,,39.6825396825397
IN-02-02-0003,,Gas Detector,"Infra Red Absorption Method:
- Operating Principle:Infra Red Absorption Method
- Measuring Range:  TBD
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0004,,Gas Detector,"Detector (H2S) :
- Operating Principle: Solid state/ electrochemical cell type with electrodes
- Measuring Range:   0-50 ppm
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol, with SIL II certification;
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,Contractor,ea,,10,0,0,6,,,,,,,,,,,,,92.5925925925926
IN-02-02-0005,,Analyzers,"pH Analyzer, PG 13.5 thread,  Shaft material: Glass, Range: 2~12 pH, Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0006,,Analyzers,"CL Analyzer, PG 13.5 thread,  Shaft material: Glass, Range: TBD, Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02-0007,,Analyzers,"COND , Accuracy: No error using ISM sensor, Type: Remote, Power Supply: 24VDC/Loop-powered, Output Signal: 4-20mA+HART/Digitial Outputx2, IP66,  Ex ib [ia Ga] IIC T4 Gb, with Vendor special cable 3m, Mounted in aluminium die cast enclosure",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-02,,,Analyzers,,,,,,,,,,,,,,,,,,,,,0
IN-02-02-0001,,Analyzers," Moisture Monitors, wall mounting type, 5 streams, 1 sensor each stream with sample system, with indicating amplifier unit with front panel display, programming keyboard, and multi-channel capability, Exd, 4~20mA
(122-AE-008A ,122-AE-008B,123-AE-001,123-AE-002,123-AE-006)",,,ea,,,,,,,,,,,,,,,,,,0
