# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Labor Rates
"# Rows: 99, Cols: 6"

,,,PART II EXHIBIT D CONTRACT PRICE
,,,APPENDIX D-3 ALL INCLUSIVE LABOR RATES

,,,CONTRACT NO. :XXXXXX

All Inclusive Labor Rates
CLASS,Classification of Labour,"RATE
 (AED/HR)","OVERTIME RATE
 (AED/HR)"
A,WELDING
1,Foreman/Supt/Trade Foreman,102,153.6
2,Welder API,90,135.6
3,Welder,72,108
4,Fabricator,67.2,100.8
5,Welder's Assistant,51.6,78

B,ELECTRICAL
1,Foreman/Supt/Trade Foreman,103.2,154.8
2,Electrician,81.6,122.4
3,Electrician's Assistant,72,108
4,Electrical Fitter,50.4,75.6

C,INSTRUMENTATION
1,Foreman/Supt/Trade Foreman,106.8,159.6
2,Fitter,86.4,129.6
3,Fitter's Assistant,78,117
4,Instrumentation Fitter,52.8,79.2

D,CONCRETING
1,Foreman/Supt/Trade Foreman,104.4,156
2,Concretors (Operating Tools),75.6,114
3,Concreting Labourers,46.8,69.6

E,CARPENTRY/FORMWORK
1,Foreman/Supt/Trade Foreman,102,152.4
2,Carpenter,74.4,111.6
3,Carpenter's Assistant,49.2,74.4

F,STEEL FIXING
1,Foreman/Supt/Trade Foreman,103.2,154.8
2,Steel Fixer,75.6,114
3,Bending Machine/Cutting Machine Operator,72,108
4,Steel Fixer's Assistant,50.4,75.6

G,BRICKWORK/MASONRY
1,Foreman/Supt/Trade Foreman,100.8,151.2
2,Mason,73.2,110.4
3,Mason's Assistant,48,72

H,MECHANICAL/PIPING
1,Foreman,108,162
2,Millwright,90,134.4
3,Pipe Layer/Fitter/Fabricator,86.4,129.6
4,Pipe Layer/Fitter's Assistant,54,80.4

I,STEEL WORK (STRUCTURAL)
1,Foreman,106.8,159.6
2,Steel Erector,87.6,130.8
3,Fabricator,81.6,122.4
4,Structural Welder,93.6,140.4
5,Rigger,90,134.4
6,Erector/Fabricator's Assistant,55.2,82.8

J,PAINTING
1,Foreman,102,152.4
2,Painter (incl. Spray Painter),74.4,111.6
3,Painter's Assistant,72,108
4,Sand Blaster,50.4,75.6

K,PLUMBING/GLAZING
1,Foreman,99.6,148.8
2,Plumber/Glazier,74.4,111.6
3,Plumber's/Glazier's Assistant,49.2,74.4

L,HVAC
1,Foreman,104.4,156
2,Fitter,78,117.6
3,Fitter's Assistant,51.6,78

M,EXCAVATION
1,Ganger,98.4,147.6
2,Timberman,72,108
3,Timberman's Assistant,46.8,70.8

N,GENERAL
1,Inspector
2,Scaffolder,79.2,118.8
3,Insulator,75.6,114
4,Laboratory Technician,93.6,140.4
5,General Labourer,42,57.6
6,JP/PA,57.6,86.4

O,OTHERS (BIDDER to specify)

Special Notes:
"
1.The labor rales included herein are based on the straight time hours based on sixty (60) hours per week, consisting of ten (10) hours/day, Saturday through Monday, but are also applicable to any additional and/or nighttime hours worked.


"
"2.The labor rates are ""all-in"" rales and include wages, insurance, benefits, taxes, social burdens, board and lodging, transportation costs, recruitment costs, payroll burdens, vacation pay, holiday pay, sick pay, overheads and profits, hand tools (such as grinder, cutter, drill, chain block, and the like),consumables, general and administrative expenses(including indirect manpower such as managers, supervisors, engineers, inspectors etc.)  as per Wison/ADNOC's policy, mobilization and demobilization to and from the Site/office, idle time, stand by time and shall apply regardless of the working location of category of manpower. "
"3.For Subcontractor's and its low tier subcontractor's personnel, the labor rates above shall be deemed to include all wages, payroll burdens, benefits, applicable home office and field overheads (including computers, communications and reprographics, elc.mobilizalion and demobilization, site accommodation, meals, travel & transporlalion and related expenses, whether direct or indirect."
"4.In case Wison requires Subcontractor to supply material as requested,a markup percentage of 5% (five percent) will be added to the net cost (delivered to site) of the materials supplied by the Subcontractor."
"5. VAT will be excluded in the proposal and submit together with the inovice, which is required to be approved by Wison."

