# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Piping (Green）
"# Rows: 251, Cols: 26"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

AP-01,,Connection Joints
AP-01-1,CARBON STEEL,,CS,Contractor,0.5,S-XXS,Butt Weld,Dia-Inch,128.21,,,,,,,,,,,195.238095238095
AP-01-2,CARBON STEEL,,CS,Contractor,0.75,S-80,Butt Weld,Dia-Inch,202.48,,,,,,,,,,,195.238095238095,,Jacket quantity deducted
AP-01-3,CARBON STEEL,,CS,Contractor,0.75,S-160,Butt Weld,Dia-Inch,298.5,,,,,,,,,,,214.285714285714
AP-01-4,CARBON STEEL,,CS,Contractor,0.75,S-80,Fillet Weld,Dia-Inch,1.5,,,,,,,,,,,195.238095238095
AP-01-5,CARBON STEEL,,CS,Contractor,0.75,S-160,Fillet Weld,Dia-Inch,1.5,,,,,,,,,,,214.285714285714
AP-01-6,CARBON STEEL,,CS,Contractor,0.75,CL800,Fillet Weld,Dia-Inch,3,,,,,,,,,,,214.285714285714
AP-01-7,CARBON STEEL,,CS,Contractor,0.75,CL 3000,Fillet Weld,Dia-Inch,81,,,,,,,,,,,230.15873015873
AP-01-8,CARBON STEEL,,CS,Contractor,0.75,/,Fillet Weld,Dia-Inch,3,,,,,,,,,,,177.777777777778
AP-01-9,CARBON STEEL,,CS,Contractor,1,S-80,Butt Weld,Dia-Inch,652.51,,,,,,,,,,,195.238095238095
AP-01-10,CARBON STEEL,,CS,Contractor,1,S-160,Butt Weld,Dia-Inch,256.41,,,,,,,,,,,214.285714285714
AP-01-11,CARBON STEEL,,CS,Contractor,1,S-80,Fillet Weld,Dia-Inch,2,,,,,,,,,,,195.238095238095
AP-01-12,CARBON STEEL,,CS,Contractor,1,CL 3000,Fillet Weld,Dia-Inch,175.5,,,,,,,,,,,230.15873015873
AP-01-13,CARBON STEEL,,CS,Contractor,1,CL800,Fillet Weld,Dia-Inch,22,,,,,,,,,,,214.285714285714
AP-01-14,CARBON STEEL,,CS,Contractor,1,S-120,Fillet Weld,Dia-Inch,4,,,,,,,,,,,214.285714285714
AP-01-15,CARBON STEEL,,CS,Contractor,1.5,S-80,Butt Weld,Dia-Inch,31.71,,,,,,,,,,,195.238095238095,,Jacket quantity deducted
AP-01-16,CARBON STEEL,,CS,Contractor,1.5,S-160,Butt Weld,Dia-Inch,1.5,,,,,,,,,,,214.285714285714
AP-01-17,CARBON STEEL,,CS,Contractor,1.5,CL800,Fillet Weld,Dia-Inch,24,,,,,,,,,,,214.285714285714
AP-01-18,CARBON STEEL,,CS,Contractor,1.5,CL 3000,Fillet Weld,Dia-Inch,156,,,,,,,,,,,230.15873015873
AP-01-19,CARBON STEEL,,CS,Contractor,2,S-80,Butt Weld,Dia-Inch,1162.93,,,,,,,,,,,195.238095238095,,Jacket quantity deducted
AP-01-20,CARBON STEEL,,CS,Contractor,2,S-160,Butt Weld,Dia-Inch,864.67,,,,,,,,,,,214.285714285714,,Jacket quantity deducted
AP-01-21,CARBON STEEL,,CS,Contractor,2,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,214.285714285714,,Jacket quantity deducted
AP-01-22,CARBON STEEL,,CS,Contractor,2,CL300,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-23,CARBON STEEL,,CS,Contractor,3,S-40,Butt Weld,Dia-Inch,2663.31,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-24,CARBON STEEL,,CS,Contractor,3,S-80,Butt Weld,Dia-Inch,232.23,,,,,,,,,,,195.238095238095,,Jacket quantity deducted
AP-01-25,CARBON STEEL,,CS,Contractor,3,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-26,CARBON STEEL,,CS,Contractor,3,CL300,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-27,CARBON STEEL,,CS,Contractor,4,S-40,Butt Weld,Dia-Inch,696.82,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-28,CARBON STEEL,,CS,Contractor,4,S-80,Butt Weld,Dia-Inch,2477.13,,,,,,,,,,,195.238095238095,,Jacket quantity deducted
AP-01-29,CARBON STEEL,,CS,Contractor,4,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-30,CARBON STEEL,,CS,Contractor,4,CL300,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-31,CARBON STEEL,,CS,Contractor,6,S-40,Butt Weld,Dia-Inch,1859.93,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-32,CARBON STEEL,,CS,Contractor,6,S-80,Butt Weld,Dia-Inch,78,,,,,,,,,,,195.238095238095
AP-01-33,CARBON STEEL,,CS,Contractor,6,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-34,CARBON STEEL,,CS,Contractor,6,CL300,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-35,CARBON STEEL,,CS,Contractor,8,S-20,Butt Weld,Dia-Inch,83.9,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-36,CARBON STEEL,,CS,Contractor,8,S-30,Butt Weld,Dia-Inch,1879.53,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-37,CARBON STEEL,,CS,Contractor,8,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-38,CARBON STEEL,,CS,Contractor,10,S-20,Butt Weld,Dia-Inch,883.94,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-39,CARBON STEEL,,CS,Contractor,10,S-30,Butt Weld,Dia-Inch,256.67,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-40,CARBON STEEL,,CS,Contractor,10,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-41,CARBON STEEL,,CS,Contractor,12,S-20,Butt Weld,Dia-Inch,228.94,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-42,CARBON STEEL,,CS,Contractor,12,S-30,Butt Weld,Dia-Inch,38.46,,,,,,,,,,,177.777777777778
AP-01-43,CARBON STEEL,,CS,Contractor,12,S-STD,Butt Weld,Dia-Inch,12,,,,,,,,,,,177.777777777778
AP-01-44,CARBON STEEL,,CS,Contractor,12,S-80,Butt Weld,Dia-Inch,12,,,,,,,,,,,195.238095238095
AP-01-45,CARBON STEEL,,CS,Contractor,12,CL150,Fillet Weld,Dia-Inch,,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-46,CARBON STEEL,,CS,Contractor,14,S-20,Butt Weld,Dia-Inch,126,,,,,,,,,,,177.777777777778,,Jacket quantity deducted
AP-01-47,CARBON STEEL,,CS,Contractor,14,S-30,Butt Weld,Dia-Inch,14,,,,,,,,,,,177.777777777778
