# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Rotary Equipment（Green）
"# Rows: 44, Cols: 26"






NO.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,UNIT 30,"UNIT 40 
SSB","Day 
Vessel",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
RE-01,,,Chemical Injection Package
RE-01-0001,1027-ME-0001,Sodium Hypochlorite Injection Package,"This package include one tank with agitator, two diaphragm pumps and piping, vavles, fittings, mounting plates with anchor bolts with the skid.  
Pump capacity:4L/h, 
discharge pressure:0.027MPag
Tank capacity:1.5m3
Matrrial:GRP",GRP,Contractor,ea,,,,,2,2,,,,,,,,,,,0
RE-01-0002,1047-ME-0002,Caustic Injection Package,"This package include one tank with agitator, three diaphragm pumps and piping, vavles, fittings, mounting plates with anchor bolts with the skid.  
Pump capacity:100L/h, 
discharge pressure:0.02MPag
Tank capacity:1.0m3
Matrrial:316L",316L,Contractor,ea,,,,,2,2,,,,,,,,,,,0
RE-02,,,Pump,,,,,,,,,,,,,,,,,,,,0
RE-02-0001,1023-P-0002A/S,PROCESS WATER PUMPS,"Centrifugal Pump (OH1 type)
Rated Capacity(m3/h): 84
Rated Suction Pressure:0Bar(G)
Rated Discharge Pressure:7.2Bar(G)
Diff. Head(m): 63.8
Motor Power (kW): 30
Material: 316L
Anchor bolt material:CS
Baseplate material:CS",316L,Contractor,ea,,,,,1,2,,,,,,,,,,,0
RE-02-0002,1027-P-0001A/B/S,POTABLE WATER PUMPS,"Centrifugal Pump (OH1 type)
Rated Capacity(m3/h): 28
Rated Suction Pressure:0.1Bar(G)
Rated Discharge Pressure:8.4Bar(G)
Diff. Head(m): 76.1
Motor Power (kW): 15
Material: 316L
Anchor bolt material:CS
Baseplate material:CS",316L,Contractor,ea,,,,,1,3,,,,,,,,,,,0
RE-02-0003,1032-P-0001A/S,CONDENSATE RECOVERY PUMPS,"Centrifugal Pump (OH2 type)
Rated Capacity(m3/h): 15
Rated Suction Pressure:0.468Bar(G)
Rated Discharge Pressure:7.2Bar(G)
Diff. Head(m): 71.5
Motor Power (kW): 11
Material: CS
Anchor bolt material:CS
Baseplate material:CS",CS,Contractor,ea,,,,,1,2,,,,,,,,,,,0
RE-02-0004,1046-P-0001A/S,SANITARY SEWER LIFTING PUMPS,"Centrifugal Pump (Sumbersible type)
Rated Capacity(m3/h): 8.6
Diff. Head(m): 35.3
Motor Power (kW): 5.5
Material: CS",CS,Contractor,ea,,,,,0.5,1,,,,,,,,,,,0
RE-02-0005,1047-P-0001A/S,CIRCULATION AND TRANSFER PUMPS,"Centrifugal Pump (VS4 type)
Rated Capacity(m3/h): 33
Rated Suction Pressure:0.031Bar(G)
Rated Discharge Pressure:2.09Bar(G)
Diff. Head(m): 18.2
Motor Power (kW): 7.5
Material: 316L",316L,Contractor,ea,,,,,2,4,,,,,,,,,,,0
RE-02-0006,1047-P-0002A/S,WASH DOWN RECYCLE PUMPS,"Centrifugal Pump (VS4 type)
Rated Capacity(m3/h): 33
Rated Suction Pressure:0.031Bar(G)
Rated Discharge Pressure:2.09Bar(G)
Diff. Head(m): 87.4
Motor Power (kW): 22
Material: 316L",316L,Contractor,ea,,,,,2,4,,,,,,,,,,,0
