# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: UG PIP （Green）
"# Rows: 68, Cols: 25"







Item,Category,Description,size,MATERIAL,"MATERIAL
Supply by",Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,,"UNIT 10 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
NO.1,,GRE Pipe
1.1,GRE Pipe,"3"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,111,,,,,,,,,,,52.3809523809524
1.1,GRE Pipe,"4"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,264.6,,,,,,,,,,,87.3015873015873
1.2,GRE Pipe,"6"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,81.6,,,,,,,,,,,125.396825396825
1.3,GRE Pipe,"8"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,732.6,,,,,,,,,,,166.666666666667
1.4,GRE Pipe,"10"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,251.4,,,,,,,,,,,244.444444444444
1.5,GRE Pipe,"12"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,1234.2,,,,,,,,,,,287.301587301587
1.6,GRE Pipe,"14"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,336.6,,,,,,,,,,,314.285714285714
1.7,GRE Pipe,"16"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,538.05,,,,,,,,,,,349.206349206349
