# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: UG PIP（Brown)
"# Rows: 47, Cols: 22"







Item,Category,Description,size,MATERIAL,"MATERIAL
Supply by",Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,,UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
NO.1,,GRE Pipe
1.1,GRE Pipe,"4"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,,,,,,,,,,,,0
1.2,GRE Pipe,"6"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,,,,,,,,,,,,0
1.3,GRE Pipe,"8"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,226,,,,,,,,,,,200
1.4,GRE Pipe,"10"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,,,,,,,,,,,,0
1.5,GRE Pipe,"12"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,,,,,,,,,,,,344.761904761905
1.6,GRE Pipe,"14"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,734.5,,,,,,,,,,,377.142857142857
1.7,GRE Pipe,"16"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,146.9,,,,,,,,,,,419.047619047619
1.8,GRE Pipe,"18"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,282.5,,,,,,,,,,,472.380952380952
1.9,GRE Pipe,"20"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End",,GRE,Contractor,LM,,,,,,,,,,,,,0
NO.2,,Sleeve,,,,,,,,,,,,,,,,,0
2.1,Sleeve,"8"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,CS,Contractor,M,,,,,,,,,,,,,0
2.2,Sleeve,"10"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,CS,Contractor,M,,,,,,,,,,,,,0
2.3,Sleeve,"12"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,CS,Contractor,M,,,,,,,,,,,,,0
2.4,Sleeve,"14"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,8,,,,,,,,,,,495.238095238095
2.5,Sleeve,"16"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent including casing pipe, end seal, cathode protection, casing spacer",,CS,Contractor,M,,4,,,,,,,,,,,533.333333333333
2.6,Sleeve,"20"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,CS,Contractor,M,,,,,,,,,,,,,0
2.7,Sleeve,REINFORCED CONCRETE PIPE,12,CONCRETE ,Contractor,M,,30,,,,,,,,,,,489.52380952381
2.8,Sleeve,REINFORCED CONCRETE PIPE,16,CONCRETE ,Contractor,M,,20,,,,,,,,,,,676.190476190476
2.9,Sleeve,REINFORCED CONCRETE PIPE,20,CONCRETE ,Contractor,M,,5,,,,,,,,,,,942.857142857143
2.10,Sleeve,REINFORCED CONCRETE PIPE,24,CONCRETE ,Contractor,M,,10,,,,,,,,,,,1361.90476190476
NO.3,,Plumbing,,,,,,,,,,,,,,,,,0
3.1,"Hot and cold water
supply and building
service water supply
piping systems","3"" Polypropylene (Class PP-R PN 20)","3""",PPR,Subcontractor,LM,,10,,,,,68.7830687830688,,,,,,116.402116402116
3.2,Sanitary drain piping,"4"" UPVC conforming to BS EN1401","4"" ",UPVC,Subcontractor,LM,,10,,,,,21.1640211640212,,,,,,78.3068783068783
NO.4,,PIV Located in VALVE PIT,,,,,,,,,,,,,,,,,0
4.1,PIV,"8"",POST INDICATOR VALVE,FLANGE CONNECTION","8""",METAL,Contractor,EA,,8,,,,,,,,,,,1142.85714285714
4.2,PIV,"10"",POST INDICATOR VALVE,FLANGE CONNECTION",10,METAL,Contractor,EA,,2,,,,,,,,,,,1714.28571428571
4.3,PIV,"12"",POST INDICATOR VALVE,FLANGE CONNECTION",12,METAL,Contractor,EA,,4,,,,,,,,,,,2095.2380952381
4.4,PIV,"14"",POST INDICATOR VALVE,FLANGE CONNECTION","14""",METAL,Contractor,EA,,2,,,,,,,,,,,2380.95238095238
4.5,PIV,"18"",POST INDICATOR VALVE,FLANGE CONNECTION","18""",METAL,Contractor,EA,,2,,,,,,,,,,,3333.33333333333
NO.5,,TIE-IN ,,,,,,,,,,,,,,,,,0
5.1,TIE-IN PACKAGE,"Including TIE-IN connection method and material; Excavation,Backfilling;
recover, demolish, protection facility for existing facilities;
test.","12""x14""",,Contractor,EA,,1,,,,,,,,,,,1714.28571428571
5.2,TIE-IN PACKAGE,"Including TIE-IN connection method and material; Excavation,Backfilling;
recover, demolish, protection facility for existing facilities;
test.","16""x14""",,Contractor,EA,,3,,,,,,,,,,,1866.66666666667
5.3,TIE-IN PACKAGE,"Including TIE-IN connection method and material; Excavation,Backfilling;
recover, demolish, protection facility for existing facilities;
test.","16""x12""",,Contractor,EA,,3,,,,,,,,,,,1866.66666666667
5.4,TIE-IN PACKAGE,"Including TIE-IN connection method and material; Excavation,Backfilling;
recover, demolish, protection facility for existing facilities;
test.","16""x18""",,Contractor,EA,,2,,,,,,,,,,,2476.19047619048
5.5,TIE-IN PACKAGE,"Including TIE-IN connection method and material; Excavation,Backfilling;
recover, demolish, protection facility for existing facilities;
test.","16""x10""",,Contractor,EA,,1,,,,,,,,,,,1866.66666666667
5.6,TIE-IN PACKAGE,"Including TIE-IN connection method and material; Excavation,Backfilling;
recover, demolish, protection facility for existing facilities;
test.","16""x16""",,Contractor,EA,,1,,,,,,,,,,,2476.19047619048
,,SUBTOTAL-UG PIPING WORKS (Brown)
