# Source: Appendix D BOQ For MEI Pkg I-3.xlsx
# Sheet: Pkg I-3-003
"# Rows: 190, Cols: 24"






NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,Material Supplied By,UNIT,Qty.,WBS,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,"UNIT 40 
SSB",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
Package Units are generally installed in a unique location, although some loose items or auxiliary systems may be installed in isolated or dedicated foundations / supporting steel structures."
PK-0003,4043-SR-0001AB,Portal Stacker Reclaimer,,,Packages,2,2,,,,,,,,,,,,,,,Refer to Vendor Document as attached
,4043-SR-0001A
,,1,"Portal, components"
,,,Part 1,Contractor,ea,1,1,136,,,,,,,,,,,,557671.957671958
,,,Part 2,Contractor,ea,1,1,53,,,,,,,,,,,,217328.042328042
,,,Fixed side,Contractor,ea,1,1,20,,,,,,,,,,,,82010.582010582
,,,Pendulum side,Contractor,ea,1,1,15,,,,,,,,,,,,61507.9365079365
,,,Fixed side beam,Contractor,ea,1,1,34,,,,,,,,,,,,139417.989417989
,,,Smaller parts,Contractor,ea,1,1,80.266,,,,,,,,,,,,329133.068783069
,,,Portal Secondary Structure,Contractor,ea,1,1,79.434,,,,,,,,,,,,325721.428571429
,,,Scraper Boom Hoists Rope System,Contractor,ea,1,1,49.97,,,,,,,,,,,,204903.439153439
,,,Anti-grab Device,Contractor,ea,1,1,0.112,,,,,,,,,,,,3174.60317460317
,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,0
,,2,"Main Boom (north/south), weights only for one boom",,,,,,,,,,,,,,,,,0
,,,Drive unit,Contractor,ea,1,1,10.58,,,,,,,,,,,,43383.5978835979
,,,"Chain
t=215,9 x 91758",Contractor,ea,2,2,8.891,,,,,,,,,,,,36457.8042328042
,,,Take-up Device Arrangement,Contractor,ea,1,1,1.6565,,,,,,,,,,,,6792.52645502646
,,,Drive shaft Arrangement,Contractor,ea,1,1,9.195,,,,,,,,,,,,37704.3650793651
,,,Bearing Portal side,Contractor,ea,1,1,1.982,,,,,,,,,,,,8127.24867724868
,,,Steel structure ,Contractor,ea,1,1,45.129,,,,,,,,,,,,185052.777777778
,,,"Blade 2600 x 650
",Contractor,ea,85,85,0.2423,,,,,,,,,,,,3174.60317460317
,,,,,,,,,,,,,,,,,,,,0
,,3,"Auxiliary Boom (north/south), weights only for one boom",,,,,,,,,,,,,,,,,0
,,,Drive unit,Contractor,ea,2,2,2.072,,,,,,,,,,,,8496.2962962963
,,,"Chain
t=202,8 x 38532",Contractor,ea,2,2,2.984,,,,,,,,,,,,12235.9788359788
,,,Tension Station,Contractor,ea,1,1,0.8619,,,,,,,,,,,,3534.24603174603
,,,Drive shaft Arrangement,Contractor,ea,1,1,2.385,,,,,,,,,,,,9779.7619047619
,,,Steel structure ,Contractor,ea,1,1,18.4,,,,,,,,,,,,75449.7354497355
,,,"Blade 1800 x 430
",Contractor,ea,38,38,0.122,,,,,,,,,,,,3174.60317460317
,,,,,,,,,,,,,,,,,,,,0
