# Source: Appendix D BOQ For MEI Pkg I-3.xlsx
# Sheet: Pkg I-3-005
"# Rows: 84, Cols: 25"






NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,MATERIAL,Material Supplied By,UNIT,Qty.,,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 40 
General",UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
Package Units are generally installed in a unique location, although some loose items or auxiliary systems may be installed in isolated or dedicated foundations / supporting steel structures.",,,,,,,,,,,,,,,,,,,,,,,Refer to Vendor Document as attached
PK-0005-Green,4015-CV-0001A,Belt Conveyor,"DTⅡBelt Conveyor
B=1000mm  V=2.54m/s  Q=600t/h 
L=214960mm
Power:75kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,160,160,,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 3 (TBC) skids with size L13000*W6360*H2200 and weight 4t each"
PK-0005-Green,4015-CV-0001B,Belt Conveyor,"DTⅡBelt Conveyor
B=1000mm  V=2.54m/s  Q=600t/h 
L=218460mm
Power:75kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,160,160,,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 3 (TBC) skids with size L13000*W6360*H2200 and weight 4t each"
PK-0005-Green,4015-CV-0002A,Belt Conveyor,"DTⅡBelt Conveyor
B=1000mm  V=2.54m/s  Q=600t/h 
Total Length=132630mm
Power:75kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,140,140,,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 7 (TBC) skids with size L13000*W6880*H2200 and weight 4t each"
PK-0005-Green,4015-CV-0002B,Belt Conveyor,"DTⅡBelt Conveyor
B=1000mm  V=2.54m/s  Q=600t/h 
Total Length=135010mm
Power:75kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,140,140,,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 7 (TBC) skids with size L13000*W6880*H2200 and weight 4t each"
PK-0005-Green,4015-CV-0003A,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=476500mm
Power:450kw","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,760,760,,,,,,,,,,,2814814.81481481,,"Bridege structure and belt conveyor structure shall be skid mounted, total 4 (TBC) skids with size L13000*W6800*H2800 and weight 5t each"
PK-0005-Green,4015-CV-0003B,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=477004mm
Power:450kw","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,760,760,,,,,,,,,,,2814814.81481481,,"Bridege structure and belt conveyor structure shall be skid mounted, total 4 (TBC) skids with size L13000*W6800*H2800 and weight 5t each"
PK-0005-Green,4015-CV-0004A,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=333500mm
Length (Green)= 132000mm
Power:450kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,"weight within green area: 87t
(total wight of CV-0004A: 220t)
","weight within green area: 87t
(total wight of CV-0004A: 220t)
",,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 7 (TBC) skids with size L13000*W7400*H2800 and weight 5t each"
PK-0005-Green,4015-CV-0004B,Belt Conveyor,"DTⅡBelt Conveyor
B=2200mm  V=2.54m/s  Q=4000t/h  
Total Length=332150mm
Length (Green)= 132000mm
Power:450kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,"weight within green area: 87t
(total wight of CV-0004B: 220t)
","weight within green area: 87t
(total wight of CV-0004B: 220t)
",,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 7(TBC) skids with size L13000*W7400*H2800 and weight 5t each"
PK-0005-Green,4015-CV-0006,Belt Conveyor,"DTⅡBelt Conveyor
B=1000mm  V=2.54m/s  Q=600t/h 
Total Length=328400mm
Length (Green)=69000mm
Power:75kw ","structure: Q355
wetted parts: SS316L",Contractor,EA,1,1,"weight within green area: 34t
(total wight of CV-0006: 160t)","weight within green area: 34t
(total wight of CV-0006: 160t)",,,,,,,,,,,,,"Bridege structure and belt conveyor structure shall be skid mounted, total 4(TBC) skids with size L13000*W3980*H2200 and weight 4t each"
