# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Electrical (Green）
"# Rows: 321, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 10 
SUB 
Station","UNIT 10 
Operations
Sehlter","UNIT 10 
NCR","UNIT 10 
General",UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
EL-01,,,Transformer,,,,,,,,,,,,,,,,,,,,,,
EL-01-0001,,33kV/6.3kV Oil immersed Power transformer,"TR-000-001A&B
- 33kV/6kV, 3 phase, 50Hz
- 16MVA, ONAN
- NLTC, Dyn11
- Impedance: 10%",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-01-0002,,11kV/0.433kV Oil immersed Power transformer,"- 11/0.433kV, 3 phase, 50Hz
- 2500kVA, ONAN
- DETC, Dyn11
- Impedance: 6%",,Contractor,set,4,4,,,,,413.264,1653.056,18200.14656,72800.58624,0,0,2111.82715011765,8447.3086004706,6538.32088235294,26153.2835294118,26850.2945924706,107401.178369882,
EL-01-0002,,11kV/0.433kV Oil immersed Power transformer,"- 11/0.433kV, 3 phase, 50Hz
- 1600kVA, ONAN
- DETC, Dyn11
- Impedance: 6%",,Contractor,set,4,4,,,,,340.86,1363.44,15011.4744,60045.8976,0,0,1708.35132235294,6833.40528941176,4977.57242647059,19910.2897058824,21697.3981488235,86789.5925952941,
EL-01-0003,,Dry Type Power Transformer,"400V/400V, 3 phase, 50Hz
- 100kVA, NLTC
- Impedance: 6.25%",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-01-0004,,Dry Type Power Transformer,"0.4kV/0.4kV Dry Transformer:
- 400V/400V, 3 phase, 50Hz
- 200kVA
- Impedance: 5%",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-01-0005,,LV Bus Duct,"0.415kV LV Bus Duct
- 415V, 4000A, 65kA
- Compact type/Air insulated",,Contractor,lm,90,90,,,,,41.492,3734.28,1827.30768,164457.6912,0,0,318.326473882353,28649.3826494118,621.538786764706,55938.4908088235,2767.17294064706,249045.564658235,
EL-01-0006,,LV Bus Duct,"0.415kV LV Bus Duct
- 415V, 2500A, 50kA
- Compact type/Air insulated",,Contractor,lm,90,90,,,,,39.4174,3547.566,1735.942296,156234.80664,0,0,302.410150188235,27216.9135169411,590.461847426471,53141.5662683824,2628.81429361471,236593.286425324,
EL-01-0007,,Neutral Eqrthing Resistor,"6.3kV Neutral Eqrthing Resistor
GER-000-001A&B
- 6.3kV, 100A in 10sec
- Enclosure IP55",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-02,,,MV Switchgear,,,,,,,,,,,,,,,,,,,,,,
EL-02-0001,,MV Switchgear,"11kV MV Switchgear:

- 11kV, 3PH, 1250A, 31.5kA, 1s, 50Hz
- CT/PT, ATS
- Protection relay
- VCB and so on",,Contractor,set,34,34,,,,,144.256,4904.704,6353.03424,216003.16416,0,0,765.458894588235,26025.602416,1025.765,34876.01,8144.25813458824,276904.776576,
EL-02-0002,,"MV Switchgear
(blank cabinet)","11kV MV Switchgear:

- 11kV, 3PH, 1250A, 31.5kA, 1s, 50Hz",,Contractor,set,6,6,,,,,144.256,865.536,6353.03424,38118.20544,0,0,765.458894588235,4592.75336752941,1025.765,6154.59,8144.25813458824,48865.5488075294,
EL-02-0003,,MV VSD Panel,"11kV MV VSD:

- 11kV, 3PH, 630A, 31.5kA, 1s, 50Hz
- 450kW
- With Protection devices and so on",,Contractor,set,6,6,,,,,144.256,865.536,6353.03424,38118.20544,0,0,765.458894588235,4592.75336752941,1025.765,6154.59,8144.25813458824,48865.5488075294,
EL-03,,,LV Switchgear,,,,,,,,,,,,,,,,,,,,,,
EL-03-0001,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 4000A, 65kA, 1s, 50Hz
- CT/PT, 
- Protection relay
- ACB",,Contractor,set,5,5,,,,,139.932,699.66,6162.60528,30813.0264,0,0,719.085292705882,3595.42646352941,702.494669117647,3512.47334558824,7584.18524182353,37920.9262091176,
EL-03-0002,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 4000A, 65kA, 1s, 50Hz
- CT/PT, ATS
- Protection relay
- ACB",,Contractor,set,3,3,,,,,139.932,419.796,6162.60528,18487.81584,0,0,719.085292705882,2157.25587811765,702.494669117647,2107.48400735294,7584.18524182353,22752.5557254706,
EL-03-0003,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 4000A, 65kA, 1s, 50Hz
- CT/PT
- Protection relay
- MCCB",,Contractor,set,66,66,,,,,139.932,9235.512,6162.60528,406731.94848,0,0,719.085292705882,47459.6293185882,702.494669117647,46364.6481617647,7584.18524182353,500556.225960353,
EL-03-0004,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 2500A, 50kA, 1s, 50Hz
- CT/PT
- Protection relay
- ACB",,Contractor,set,4,4,,,,,139.932,559.728,6162.60528,24650.42112,0,0,719.085292705882,2876.34117082353,702.494669117647,2809.97867647059,7584.18524182353,30336.7409672941,
EL-03-0005,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 2500A, 50kA, 1s, 50Hz
- CT/PT, ATS
- Protection relay
- ACB",,Contractor,set,2,2,,,,,139.932,279.864,6162.60528,12325.21056,0,0,719.085292705882,1438.17058541176,702.494669117647,1404.98933823529,7584.18524182353,15168.3704836471,
EL-03-0006,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 2500A, 50kA, 1s, 50Hz
- CT/PT, ATS
- Protection relay
- ACB",,Contractor,set,30,30,,,,,139.932,4197.96,6162.60528,184878.1584,0,0,719.085292705882,21572.5587811765,702.494669117647,21074.8400735294,7584.18524182353,227525.557254706,
EL-03-0007,,LV Switchgear,"0.415kV LV Switchgear:

- 415V, 3PH, 400A, 50kA, 1s, 50Hz
- CT/PT
- Protection relay
- MCCB",,Contractor,set,30,30,,,,,139.932,4197.96,6162.60528,184878.1584,0,0,719.085292705882,21572.5587811765,702.494669117647,21074.8400735294,7584.18524182353,227525.557254706,
EL-03-0008,,LV VSD Panel,"0.415kV LV VSD Panel:

- 415V, 3PH, 200A, 50kA, 1s, 50Hz
- 75kW / 90kW
- - With Protection devices and so on",,Contractor,set,5,5,,,,,139.932,699.66,6162.60528,30813.0264,0,0,719.085292705882,3595.42646352941,702.494669117647,3512.47334558824,7584.18524182353,37920.9262091176,
EL-03-0009,,"LV VSD Panel
(vendor scope)","0.415kV LV VSD Panel:

- 415V, 3PH, 315A, 50kA, 1s, 50Hz
- 15kW / 75kW
- - With Protection devices and so on",,Contractor,set,40,40,,,,,139.932,5597.28,6162.60528,246504.2112,0,0,719.085292705882,28763.4117082353,702.494669117647,28099.7867647059,7584.18524182353,303367.409672941,
EL-04,,,Emergency Diesel Generator,,,,,,,,,,,,,,,,,,,,,,
EL-04-0001,,Emergency Diesel Generator,"EDG,  2000kVA, 415V, 3Ph+N, 50Hz, with incoming cabinet, control panel, fuel system, diesel fuel tank for 8h, with all cables in package.
Shall include IG541 gas extinguishing system.",,Contractor,set,1,1,,,,,831.9284,831.9284,36638.126736,36638.126736,0,0,3739.26355595294,3739.26355595294,16909.2011764706,16909.2011764706,57286.5914684235,57286.5914684235,
EL-05,,,PDCS,,,,,,,,,,,,,,,,,,,,,,
EL-05-0001,,Intergrated Protection and Control System,"with power model, data concentrtor panel, and workstation and desk 2ea, and software.
IPCS shall be hot - hot redundant.
IPCS shall have dual HMI screens.
The new IPCS shall be integrated with existing RSHT-2 facility IPCS in order to utilize the existing facilities of RSHT-2, and the new HMI graphics shall provide the information of both new facilities and the existing facilities. 
IPCS include temperature monitoring.",,Contractor,set,1,1,,,,,300.38,300.38,13228.7352,13228.7352,0,0,1441.88946117647,1441.88946117647,3104.01044117647,3104.01044117647,17774.6351023529,17774.6351023529,
EL-06,,,Marshalling Panel,,,,,,,,,,,,,,,,,,,,,,
EL-06-0001,,Interposing relay panel,"with two redundant DC 24V power unit;
with DC24V interposing relay 60ea;
with DC24V safety interposing relay 100ea;
wither terminal 840ea;
with terminal with 1A fuse 160ea.",,Contractor,ea,5,5,,,,,235.336,1176.68,10364.19744,51820.9872,0,0,1177.36933223529,5886.84666117645,3778.66977941176,18893.3488970588,15320.236551647,76601.1827582352,
EL-07,,,Main Lighting Panel,,,,,,,,,,,,,,,,,,,,,,
EL-07-0001,,Main Lighting / Power Panel,"0.415kV Main Lighting / Power Panel
- 415V, 630A, 65kA/1s
- CT/PT
- MCCB and so on",,Contractor,ea,6,6,,,,,136.62,819.72,6016.7448,36100.4688,0,0,694.762950588235,4168.57770352941,655.270404411765,3931.62242647059,7366.778155,44200.66893,
EL-07-0001,,Emergency Main Lighting Panel,"0.415kV Emergency Main Lighting Panel
- 415V, 630A, 65kA/1s
- CT/PT, ATS
- MCCB and so on",,Contractor,ea,3,3,,,,,136.62,409.86,6016.7448,18050.2344,0,0,694.762950588235,2084.2888517647,655.270404411765,1965.81121323529,7366.778155,22100.334465,
EL-07-0001,,Main HVAC Power Distribution Panel,"HVAC power panel
- 415V, 2000A, 65kA/1s
- CT/PT, ATS
- ACB, MCCB and so on",,Contractor,ea,7,7,,,,,136.62,956.34,6016.7448,42117.2136,0,0,694.762950588235,4863.34065411764,655.270404411765,4586.89283088235,7366.778155,51567.447085,
EL-07-0001,,Main HVAC Power Distribution Panel,"HVAC power panel
- 415V, 400A, 65kA/1s
- CT/PT, ATS
- MCCB and so on",,Contractor,ea,4,,1,3,,,136.62,546.48,6016.7448,24066.9792,0,0,694.762950588235,2779.05180235294,655.270404411765,2621.08161764706,7366.778155,29467.11262,
EL-08,,,UPS,,,,,,,,,,,,,,,,,,,,,,
EL-08-0001,,UPS,"AC UPS:

- Input 415V 3ph
- Output 415V, 100kVA, 65kA, 1s
- 30minutes battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch
",,Contractor,set,1,1,,,,,392.38,392.38,17280.4152,17280.4152,0,0,2074.07934352941,2074.07934352941,3242.62040441176,3242.62040441176,22597.1149479412,22597.1149479412,
EL-08-0001,,UPS,"AC UPS:

- Input 415V 3ph
- Output 415V, 60kVA, 65kA, 1s
- 8Hrs battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch
",,Contractor,set,1,1,,,,,353.142,353.142,15552.37368,15552.37368,0,0,1866.67140917647,1866.67140917647,2918.35836397059,2918.35836397059,20337.4034531471,20337.4034531471,
EL-08-0001,,UPS,"AC UPS:

- Input 415V 3ph
- Output 240V, 45kVA, 65kA, 1s
- 8Hrs battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch
",,Contractor,set,1,,,1,,,317.8278,317.8278,13997.136312,13997.136312,0,0,1680.00426825882,1680.00426825882,2626.52252757353,2626.52252757353,18303.6631078323,18303.6631078323,
EL-08-0002,,UPS,"DC UPS:

- Input 415V 3ph
- Output 110V DC, 15kVA, 65kA
- 8Hrs battery back up time
- 2ea 50% battery bank
-  redundant configuration, with battery rack and battery isolator switch

",,Contractor,set,1,1,,,,,286.04502,286.04502,12597.4226808,12597.4226808,0,0,1512.00384143294,1512.00384143294,2363.87027481618,2363.87027481618,16473.2967970491,16473.2967970491,
EL-09,,,Capacitor Bank,,,,,,,,,,,,,,,,,,,,,,
EL-09-0001,,Capacitor Panel,"11kV Capacitor panel:

- 11kV, 630A, 65kA, 31.5kA/1s
- 800kVAR
- 3 steps ",,Contractor,set,2,2,,,,,360.64,721.28,15882.5856,31765.1712,0,0,1913.64723647059,3827.29447294118,2564.4125,5128.825,20360.6453364706,40721.2906729412,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-01,,,LIGHTING POLE,,,,,,,,,,,,,,,,,,,,,,
EL-01-0001,,LIGHTING POLE,"2.4 METER POLE ( for LED Lighting Fixture, Stanchion Mounting Type )
HOT DIPPED GALVANIZED STEEL POLE, MIN 2.5 mm THICKNESS WITH A
PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX STANCHION
MOUNTING TYPE TO HAND RAIL WITH ALL NECESSARY MOUNTING
ACCESSORIES",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,,"FOR LED LIGHT, 70W",,Contractor,set,45,,,,,45,5.7316,257.922,252.419664,11358.88488,0,0,32.4200546352941,1458.90245858823,20.1040441176471,904.68198529412,304.943762752941,13722.4693238824,
,,,"FOR FLUORESCENT LIGHT, 2 x 18W",,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
