# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
1,"Flat Truck, 8T",18203.2,910.16,728.128
2,"Flat Truck, 11 T",20552,1027.6,822.08
2,"Flat Truck, 17 T",27304.8,1365.24,1092.192
3,"Flat Truck, 24 T",34057.6,1702.88,1362.304
3,"Flat Truck, 40 T",45214.4,2260.72,1808.576
4,"Dump Truck, 18 T, 6x4",40810.4,2040.52,1632.416
4,"Dump Truck, 25 T, Semitrailer",45214.4,2260.72,1808.576
5,"Dump Truck, 25-30 T, Articulated",54316,2715.8,2172.64
5,"Dump Truck, 35-40 T, Articulated",67528,3376.4,2701.12
6,"Jeep, 4x4",9395.2,469.76,375.808
6,"Pick Up, 4x4",9395.2,469.76,375.808
7,"Bus, 8 Seats",13799.2,689.96,551.968
7,"Bus, 12 Seats",18203.2,910.16,728.128
8,"Bus, 16 Seats, 4x4",27304.8,1365.24,1092.192
8,"Bus, 25 Seats",30534.4,1526.72,1221.376
9,"Bus, 50 Seats",40810.4,2040.52,1632.416
9,"Bus, 30-40 Seats, 6x6",45214.4,2260.72,1808.576
10,Lowbed Trailer 120 - 135 T + P.Mover,NA,NA,NA
10,"Lowbed Trailer, 60 T + P. Mover",NA,NA,NA
11,"Lowbed Trailer, 50 T + P Mover",NA,NA,NA
11,"Lowbed Trailer, 40 T + P Mover",NA,NA,NA
12,"Lowbed Trailer, 30 T  + P Mover",NA,NA,NA
12,"Lowbed Trailer, 20 T  + P Mover",NA,NA,NA
13,"Pipe Trailer, 8,5 T + P Mover",NA,NA,NA
13,"Pipe Trailer, 30 T + P Mover",NA,NA,NA
14,"Flat Trailer, 24 T, 12 m + P Mover",NA,NA,NA
14,"Flat Trailer, 32T, 12 m + P Mover ",NA,NA,NA
15,"Tank Trailer, 20 M3 + P Mover",NA,NA,NA
15,"Tank Trailer, 25 M3",40810.4,2040.52,1632.416
16,"Tank Truck, 10 M3",27304.8,1365.24,1092.192
16,"Workshop Truck, large",45214.4,2260.72,1808.576
17,"Workshop Truck, small",36112.8,1805.64,1444.512
17,"Truck, 100 kw, 4 T crane",54316,2715.8,2172.64
18,"Truck, 90 kw, 4 T crane",49618.4,2480.92,1984.736
18,"Tank Truck, 4 M3",20552,1027.6,822.08
19,"Tank Truck, 3 M3",18203.2,910.16,728.128
19,"Farm Tractor, 50 kw",20552,1027.6,822.08
20,Grease Truck,20552,1027.6,822.08
20,Desert Truck,20552,1027.6,822.08
21,Desert Truck+Trailer,27304.8,1365.24,1092.192
21,"Excavator, Mini, 50 kw",67528,3376.4,2701.12
22,"Excavator, Cat 215 / Cat 320 B",63124,3156.2,2524.96
22,"Excavator, Cat 225 / Cat 240 C",54316,2715.8,2172.64
23,Excavator Cat 235,49618.4,2480.92,1984.736
23,Excavator Komatsu PC 400,72225.6,3611.28,2889.024
24,Excavator Cat 245,63124,3156.2,2524.96
24,Dozer Cat D5,34057.6,1702.88,1362.304
25,Dozer Cat D6 / Komatsu D 65,40810.4,2040.52,1632.416
25,Dozer Cat D7 / Komatsu D 85,47563.2,2378.16,1902.528
26,Dozer Cat D8 / Komatsu D 155,54316,2715.8,2172.64
26,Dozer Cat D9 / Komatsu D 355,40810.4,2040.52,1632.416
27,Ripper Dozer D 8 K,40810.4,2040.52,1632.416
27,Wheelloader Cat 920,47563.2,2378.16,1902.528
28,Wheelloader Cat 930,54316,2715.8,2172.64
28,Wheelloader Cat 936 / Cat 950,63124,3156.2,2524.96
29,Wheelloader Cat 966,67528,3376.4,2701.12
29,Wheelloader Furukawa FL 330 II,49618.4,2480.92,1984.736
30,Wheeltractor Cat 814 B,49618.4,2480.92,1984.736
30,Wheeltractor Cat 824 B,49618.4,2480.92,1984.736
31,Wheeltractor Cat 834 B,49618.4,2480.92,1984.736
31,Backhoe Loader Cat 416 / ICB 3C,40810.4,2040.52,1632.416
