# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Instrumentation(Green）
"# Rows: 227, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 10 
General",UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-01,,,Control system,,,,,,,,,,,,,,,,,,,
IN-01-01,,DCS," I/O quantity:  AI:396,  AI (IS):401,AIr:5, AIr (IS):421,AI（E）:24,AOr : 431,AOr (IS):36, DI(IS):2302, DI(E):112, DOR:506, DO:661 (20% spare included) 
Hardware,software,configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,3177,3177,,5.92572,18826.01244,260.9687088,829097.5878576,,0,31.9041061741176,101359.345315172,72.6309191176471,230748.430036765,365.503734091765,1161205.36320954,
IN-01-01-0001,,,Power Distribution Panel，800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0002,,DCS,DCS system cabinet 800Wx800Dx2100H(mm),,,pcs,60,,,,0,,0,,0,,0,,0,0,0,Shall be deemed included in the IN-01-01
IN-01-01-0003,,DCS,DCS safety barrier 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0004,,DCS,DCS relay cabinet 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0005,,DCS,DCS Terminal cabinet 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0006,,,LAN & SCS Cabinet 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0007,,,Network Cabinet 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0008,,DCS,DCS operation station,,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0009,,DCS,DCS engineering station,,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-01-0010,,DCS,"DCS console furniture, 1000Wx1200(800)Dx750H",,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-02,,ESD," I/O quantity:  AIR:35, AIr (IS):46,AOR (IS):25,DIR:484,DI(E):265,DOR:109 (20% spare included) 
Hardware, software, configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,579,579,,5.92572,3430.99188,260.9687088,151100.8823952,,0,31.9041061741176,18472.4774748141,72.6309191176471,42053.3021691177,365.503734091765,211626.662039132,
IN-01-02-0001,,ESD,ESD Cabinet 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-02-0002,,ESD,"ESD engineering station, ",,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-02-0003,,ESD,"ESD console furniture, 1000Wx1200(800)Dx750H",,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-02-0004,,ESD,ESD auxilliary panel,,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-03,,FGS," IO quantity:  AIR:460,DIR:370,DOR:460 (20% spare included) 
Hardware, software, configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,929,929,,5.92572,5504.99388,260.9687088,242439.9304752,,0,31.9041061741176,29638.9146357553,72.6309191176471,67474.1238602942,365.503734091765,339552.968971249,
IN-01-03-0001,,FGS,FGS Cabinet 800Wx800Dx2100H(mm),,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-03-0002,,FGS,"FGS engineering station, ",,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-03-0003,,FGS,"FGS console furniture, 1000Wx1200(800)Dx750H",,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-03-0004,,FGS,FGS auxilliary panel,,,pcs,0,,,,0,,0,,0,,0,,0,0,0,
IN-01-04,,TGS," IO quantity:  AIR:40 (20% spare included) 
Hardware ,software,configuration, logic programming, associated information management system  etc. to be included.",,Contractor,Point,24,24,,5.92572,142.21728,260.9687088,6263.2490112,,0,31.9041061741176,765.698548178822,72.6309191176471,1743.14205882353,365.503734091765,8772.08961820235,
,,,,,,,0,,,,0,,0,,0,,0,,0,0,0,
