# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Labor Rates
"# Rows: 98, Cols: 6"

,,,PART II EXHIBIT D CONTRACT PRICE,,
,,,APPENDIX D-3 ALL INCLUSIVE LABOR RATES,,
,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,CONTRACT NO. :XXXXXX,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,
All Inclusive Labor Rates,,,,,
CLASS,Classification of Labour,"RATE
 (AED/HR)","OVERTIME RATE
 (AED/HR)",,
A,WELDING,,,,
1,Foreman/Supt/Trade Foreman,106.43,143.6805,,
2,Welder API,102.76,138.726,,
3,Welder,95.42,128.817,,
4,Fabricator,66.06,89.181,,
5,Welder's Assistant,58.72,79.272,,
,,,0,,
B,ELECTRICAL,,0,,
1,Foreman/Supt/Trade Foreman,80.74,108.999,,
2,Electrician,73.4,99.09,,
3,Electrician's Assistant,58.72,79.272,,
4,Electrical Fitter,66.06,89.181,,
,,,0,,
C,INSTRUMENTATION,,0,,
1,Foreman/Supt/Trade Foreman,80.74,108.999,,
2,Fitter,66.06,89.181,,
3,Fitter's Assistant,58.72,79.272,,
4,Instrumentation Fitter,66.06,89.181,,
,,,0,,
D,CONCRETING,,0,,
1,Foreman/Supt/Trade Foreman,66.06,89.181,,
2,Concretors (Operating Tools),58.72,79.272,,
3,Concreting Labourers,51.38,69.363,,
,,,0,,
E,CARPENTRY/FORMWORK,,0,,
1,Foreman/Supt/Trade Foreman,66.06,89.181,,
2,Carpenter,58.72,79.272,,
3,Carpenter's Assistant,51.38,69.363,,
,,,0,,
F,STEEL FIXING,,0,,
1,Foreman/Supt/Trade Foreman,80.74,108.999,,
2,Steel Fixer,66.06,89.181,,
3,Bending Machine/Cutting Machine Operator,66.06,89.181,,
4,Steel Fixer's Assistant,58.72,79.272,,
,,,0,,
G,BRICKWORK/MASONRY,,0,,
1,Foreman/Supt/Trade Foreman,66.06,89.181,,
2,Mason,58.72,79.272,,
3,Mason's Assistant,51.38,69.363,,
,,,0,,
H,MECHANICAL/PIPING,,0,,
1,Foreman,80.74,108.999,,
2,Millwright,73.4,99.09,,
3,Pipe Layer/Fitter/Fabricator,73.4,99.09,,
4,Pipe Layer/Fitter's Assistant,58.72,79.272,,
,,,0,,
I,STEEL WORK (STRUCTURAL),,0,,
1,Foreman,80.74,108.999,,
2,Steel Erector,66.06,89.181,,
3,Fabricator,66.06,89.181,,
4,Structural Welder,95.42,128.817,,
5,Rigger,146.8,198.18,,
6,Erector/Fabricator's Assistant,58.72,79.272,,
,,,0,,
J,PAINTING,,0,,
1,Foreman,80.74,108.999,,
2,Painter (incl. Spray Painter),66.06,89.181,,
3,Painter's Assistant,58.72,79.272,,
4,Sand Blaster,66.06,89.181,,
,,,0,,
K,PLUMBING/GLAZING,,0,,
1,Foreman,73.4,99.09,,
2,Plumber/Glazier,66.06,89.181,,
3,Plumber's/Glazier's Assistant,58.72,79.272,,
,,,0,,
L,HVAC,,0,,
1,Foreman,73.4,99.09,,
2,Fitter,66.06,89.181,,
3,Fitter's Assistant,58.72,79.272,,
,,,0,,
M,EXCAVATION,,0,,
1,Ganger,66.06,89.181,,
2,Timberman,66.06,89.181,,
3,Timberman's Assistant,51.38,69.363,,
,,,0,,
N,GENERAL,,0,,
1,Inspector,,,,
2,Scaffolder,66.06,89.181,,
3,Insulator,66.06,89.181,,
4,Laboratory Technician,73.4,99.09,,
5,General Labourer,44.04,59.454,,
6,JP/PA,124.78,168.453,,
O,OTHERS (BIDDER to specify),,,,
,,,,,
Special Notes:,,,,,
"
1.The labor rales included herein are based on the straight time hours based on sixty (60) hours per week, consisting of ten (10) hours/day, Saturday through Monday, but are also applicable to any additional and/or nighttime hours worked.


",,,,,
"2.The labor rates are ""all-in"" rales and include wages, insurance, benefits, taxes, social burdens, board and lodging, transportation costs, recruitment costs, payroll burdens, vacation pay, holiday pay, sick pay, overheads and profits, hand tools (such as grinder, cutter, drill, chain block, and the like),consumables, general and administrative expenses as per Wison/ADNOC's policy, mobilization and demobilization to and from the Site/office, idle time, stand by time and shall apply regardless of the working location of category of manpower. ",,,,,
"3.For Subcontractor's and its low tier subcontractor's personnel, the labor rates above shall be deemed to include all wages, payroll burdens, benefits, applicable home office and field overheads (including computers, communications and reprographics, elc.mobilizalion and demobilization, site accommodation, meals, travel & transporlalion and related expenses, whether direct or indirect.",,,,,
"4.In case Wison requires Subcontractor to supply material as requested,a markup percentage of 5% (five percent) will be added to the net cost (delivered to site) of the materials supplied by the Subcontractor.",,,,,
"5. VAT will be excluded in the proposal and submit together with the inovice, which is required to be approved by Wison.",,,,,
,,,,,
