# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Package-009
"# Rows: 50, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
NO.,TAG NO.,"EQUIPMENT/
MATERIAL",Description,Material Supplied By,UNIT,Qty.,WBS,WEIGHT(T),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,Air Compressor,UNIT,TOTAL,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,Q,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
"General Notes for Package Units:
Package Units are self-contained, all-in-one units consisting of, but not limited to: Equipment, interconnecting piping, electrical, instrument components, steel structures... already captured under the weight below established. 
Package Units are fabricated and skid-mounted in one or more sections, with loose items that shall be required to be completed at SITE.
Package Units are generally installed in a unique location, although some loose items or auxiliary systems may be installed in isolated or dedicated foundations / supporting steel structures.",,,,,,,,,,,,,,,,,,,,,,
PK-0009,,AIR COOLER PACKAGE,AS BELOW,Contractor,Package,1,1,,,,,,,,,,,,,,,Refer to Vendor Document as attached
,1032-E-0001,"Draft Type: FORCED, Duty(KW):867kW

Code: ASME Section VIII Div. 1, API 661， ""U""Stamp","Skid mounted including bundle，Louver、support，plenum,etc),
Size:6192x2000×4500(L*W*H)for 1032-E-0001,details see Air cooler attachment from vendor.",Contractor,EA,1,1,8,8,736,736,32413.44,32413.44,,0,4536.63811764706,4536.63811764706,9175,9175,46125.0781176471,46125.0781176471,
,1032-E-0002,"Draft Type: FORCED, Duty(MW):670kW

Code: ASME Section VIII Div. 1, API 661， ""U""Stamp","Skid mounted including bundle，Louver、support，plenum,etc),
Size:6192x2500×4500(L*W*H)for 1032-E-0002,details see Air cooler attachment from vendor.",Contractor,EA,1,1,10,10,920,920,40516.8,40516.8,,0,5670.79764705882,5670.79764705882,11468.75,11468.75,57656.3476470588,57656.3476470588,
,1032-E-0001,,"Fans, motors",Contractor,EA,1,1,2,2,220.8,220.8,9724.032,9724.032,,0,1512.10908235294,1512.10908235294,1484.19117647059,1484.19117647059,12720.3322588235,12720.3322588235,
,1032-E-0001,,"Platform, stairway and handrails",Contractor,EA,1,1,2,2,193.2,193.2,8508.528,8508.528,,0,1541.67632941176,1541.67632941176,2104.85294117647,2104.85294117647,12155.0572705882,12155.0572705882,
,1032-E-0002,,"Fans, motors",Contractor,EA,1,1,2,2,220.8,220.8,9724.032,9724.032,,0,1512.10908235294,1512.10908235294,1484.19117647059,1484.19117647059,12720.3322588235,12720.3322588235,
,1032-E-0002,,"Platform, stairway and handrails",Contractor,EA,1,1,3,3,289.8,289.8,12762.792,12762.792,,0,2312.51449411765,2312.51449411765,3157.27941176471,3157.27941176471,18232.5859058824,18232.5859058824,
,,,"All other equipment, E&I auxilary facilities, internal piping, steel structure etc. ",Contractor,Lot,1,1,,,661.986,661.986,29153.86344,29153.86344,,0,6999.44869694118,6999.44869694118,2901.21595588235,2901.21595588235,39054.5280928235,39054.5280928235,Refer to Vendor Document as attached
,,,Package Equipment-009 (Green) TOTAL,,,,,,,,3242.586,,142803.48744,,0,,24085.2934498823,,31775.4806617647,,198664.261551647,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
