# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Brown) 
"# Rows: 90, Cols: 38"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
 Supplied By",size,"Schedule
/Rating",Joint Type,UNIT,Qty.,QUANTITY,,,,,,QUANTITIES BY WBS -Change Order,,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 50 
","UNIT 50 
B3&B4","UNIT 50 
RSHT2","UNIT 50
General","GUP
(PROCESS WATER)","UNIT 40 
Conveyor",HP Steam,Nitrogen,Polishing,Day Vessel,Other to specify,Other to specify,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,,,,,,Q,,,,,,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
AP-01,,Connection Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-01-1,CARBON STEEL,"CS,1,S-160,Butt Weld",CS,Contractor,1,S-160,Butt Weld,Dia-Inch,275.307692307692,,,,,,,,,,,,,,,8.40024607851,2312.65236269133,369.94683729758,101849.210052926,0,0,70.7767557754843,19485.3853015737,27.851023264165,7667.60094326511,468.574616337229,129002.196297765,,
AP-01-2,CARBON STEEL,"CS,1,S-160,Fillet Weld",CS,Contractor,1,S-160,Fillet Weld,Dia-Inch,64,,,,,,,,,,,,,,,7.530339172356,481.941707030784,331.636137150558,21224.7127776357,0,0,63.4473051773907,4060.627531353,24.9668461514333,1597.87815369173,420.050288479382,26883.2184626804,,
AP-01-3,CARBON STEEL,"CS,1,CL3000,Fillet Weld",CS,Contractor,1,CL3000,Fillet Weld,Dia-Inch,529,,,,,,,,,,,,,,,7.530339172356,3983.54942217632,331.636137150558,175435.516552645,0,0,63.4473051773907,33563.6244388397,24.9668461514333,13207.4616141082,420.050288479382,222206.602605593,,
AP-01-4,CARBON STEEL,"CS,1,CL6000,Fillet Weld",CS,Contractor,1,CL6000,Fillet Weld,Dia-Inch,21,,,,,,,,,,,,,,,7.530339172356,158.137122619476,331.636137150558,6964.35888016172,0,0,63.4473051773907,1332.3934087252,24.9668461514333,524.303769180099,420.050288479382,8821.05605806702,,
AP-01-5,CARBON STEEL,"CS,1,CL3000,Thread",CS,Contractor,1,CL3000,Thread,Dia-Inch,24,,,,,,,,,,,,,,,7.111986996114,170.687687906736,313.211907308861,7517.08577541266,0,0,59.9224548897578,1438.13891735419,23.5797991430203,565.915179432487,396.714161341639,9521.13987219934,,
AP-01-6,CARBON STEEL,"CS,1,/,Thread",CS,Contractor,1,/,Thread,Dia-Inch,22,,,,,,,,,,,,,,,7.111986996114,156.463713914508,313.211907308861,6890.66196079494,0,0,59.9224548897578,1318.29400757467,23.5797991430203,518.755581146447,396.714161341639,8727.71154951606,,
AP-01-7,CARBON STEEL,"CS,1,S-XXS,Butt Weld",CS,Contractor,1,S-XXS,Butt Weld,Dia-Inch,2,,,,,,,,,,,,,,,10.219746019626,20.439492039252,450.077614704329,900.155229408658,0,0,86.1070570264587,172.214114052917,33.8835769198023,67.7671538396046,570.06824865059,1140.13649730118,,
