# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Green）
"# Rows: 257, Cols: 42"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,Material Supplied By,"SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,QUANTITY,,,,,,,,,,,QUANTITIES BY WBS -Change Order,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 10 31
Inslrument & Utlity Air System,
Nitrogen","UNIT 10 23
Process Water System Recovery System","UNIT 10 
Substation","UNIT 10 32
Steam Distribution and
Condensate Recovery System","UNIT 10 
Operations Building","UNIT 10 
Operator
Sehlter","UNIT 10 
LCR","UNIT 10 
General","UNIT 20
General within RSGP Liquid
Sulphur Handling","UNIT 20
Condensate Recovery System",UNIT 20,HP Steam,Polishing,Condensate Polish Package,Other to specify,Other to specify,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
AP-01,,PIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-01-1,CARBON STEEL,"CS,0.5,S-XXS,Butt Weld",CS,Contractor,0.5,S-XXS,Butt Weld,Dia-Inch,192.371794871795,,,,,,,,,,,,,,,,,,,5.956538128398,1145.86993098221,262.325939174648,50464.1117604564,,0,56.3131289583391,10833.0576925625,25.759444441955,4955.39056219917,344.398512574942,66252.5600152181,Jacket quantity deducted,
AP-01-2,CARBON STEEL,"CS,0.5,S-XXS,Fillet Weld",CS,Contractor,0.5,S-XXS,Fillet Weld,Dia-Inch,0.5,,,,,,,,,,,,,,,,,0.01111,0.005555,4.811050026783,2.4055250133915,211.878643179523,105.939321589762,,0,45.4836810817354,22.7418405408677,20.8057051261944,10.4028525630972,278.168029387453,139.084014693726,,
AP-01-3,CARBON STEEL,"CS,0.5,CL 3000,Fillet Weld",CS,Contractor,0.5,CL 3000,Fillet Weld,Dia-Inch,1,,,,,,,,,,,,,,,,,0.01527,0.01527,4.811050026783,4.811050026783,211.878643179523,211.878643179523,,0,45.4836810817354,45.4836810817354,20.8057051261944,20.8057051261944,278.168029387453,278.168029387453,,
AP-01-4,CARBON STEEL,"CS,0.75,S-80,Butt Weld",CS,Contractor,0.75,S-80,Butt Weld,Dia-Inch,489.746380259489,,,,,,,,,,,,,,,,,0.05101,24.9819628570365,5.34561114087,2617.99370651588,235.420714643915,115296.442834959,,0,50.5374234241505,24750.5201896188,23.117450140216,11321.687527,309.075588208282,151368.650551578,,
AP-01-5,CARBON STEEL,"CS,0.75,S-160,Butt Weld",CS,Contractor,0.75,S-160,Butt Weld,Dia-Inch,469.461538461539,,,,,,,,,,,,,,,,,0.07386,34.6744292307693,5.34561114087,2509.55883020997,235.420714643915,110520.970882447,,0,50.5374234241505,23725.3765505839,23.117450140216,10852.7537081337,309.075588208282,145099.101141165,,
AP-01-6,CARBON STEEL,"CS,0.75,S-80,Fillet Weld",CS,Contractor,0.75,S-80,Fillet Weld,Dia-Inch,3.75,,,,,,,,,,,,,,,,,0.06791,0.2546625,4.811050026783,18.0414376004363,211.878643179523,794.544911923211,,0,45.4836810817354,170.563804056508,20.8057051261944,78.021394223229,278.168029387453,1043.13011020295,,
AP-01-7,CARBON STEEL,"CS,0.75,S-160,Fillet Weld",CS,Contractor,0.75,S-160,Fillet Weld,Dia-Inch,150.75,,,,,,,,,,,,,,,,,0.8133,122.604975,4.811050026783,725.265791537537,211.878643179523,31940.7054593131,,0,45.4836810817354,6856.66492307161,20.8057051261944,3136.46004777381,278.168029387453,41933.8304301585,,
