# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: A-Summary
"# Rows: 41, Cols: 4"

,,,
,,,
,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,"REV. C, DATE: 30/DEC/2025"
0.SUBCONTRACT PRICE SUMMARY,,,
,,,
SN.,DESCRIPTION ,MANHOURS,SUBTOTAL COST
I.DIRECT COST,,,104362415.376377
1,Steel Structural（Green）,139215.5098144,8669206.42076062
2,Steel Structural (Brown),63815.616,3793687.98865998
3,Package Equipment,32547.622,1985728.07368219
4,Static Equipment（Green）,16182.7631914099,1152294.082266
5,Rotary Equipment（Green）,4475.984,264067.684778353
6,UG PIP （Green）,23096.8086358399,1153573.24497439
7,UG PIP （Brown）,2757.76314223105,175072.444087754
8,Piping（Green）,389875.066021562,24463227.1468542
9,Piping (Brown),396917.907900875,23755770.7496676
10,Miscellaneous(Green) ,0,0
11,Miscellaneous(Brown) ,0,0
12,Fire Fighting（Green）,46645.831569581,2850113.47001415
13,Fire Fighting (Brown),7308.88768219848,442180.765298748
14,NDT(Green),21367.827264,1693381.36647607
15,NDT(Brown),5556.096,397847.239780706
16,Electrical（Green）,224867.49802,13094236.0946189
17,Electrical (Brown),85040.2512,4582210.1871103
18,Instrumentation（Green）,138254.54836,8154315.87606875
19,Instrumentation (Brown),8377.54128,475234.725356555
20,Telecom（Green）,59022.2872,3600777.70621974
21,Telecom (Brown),1062.72,61445.1947682353
22,HVAC（Green）,63026.5199379519,3598044.91493392
II.INDIRECT LS COST,,,51106751.1203092
,,,
III.V.A.T,,,7773458.32483432
,TOTA SUBCONTRACT PRICE EXCLUDING VAT,,155469166.496686
,TOTA SUBCONTRACT PRICE INCLUDING VAT,,163242624.821521
,,,
,Remark: HSE officer  Ratio  HSE officer/dierct manpower  1：50 as per ADNOC requirement is Bidder's quotation base.,,
,,,
,,,
,,,
