# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Fire Fighting (Green）
"# Rows: 158, Cols: 31"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,,"UNIT 10 
SUB 
Station","UNIT 10 
Operations
Sehlter","UNIT 10 
NCR","UNIT 10 
General",UNIT 20,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
Firefighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-01,,Connection Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-01-01,CARBON STEEL,"CS+Galv,3,S-80,Thread",CS+Galv,Contractor,3,S-80,Thread,,Dia-Inch,23.85,,,,,,,,3.46395601928376,82.6153510599177,152.552623089257,3638.38006067878,0,0,32.7482503788495,781.045771535561,14.98010769086,357.275568427011,200.280981158966,4776.70140064135,
FF-01-02,CARBON STEEL,"CS+Galv,4,S-40,Butt Weld",CS+Galv,Contractor,4,S-40,Butt Weld,,Dia-Inch,769.6,,,,,,,,4.3299450241047,3332.32569055098,190.690778861571,146755.623411865,0,0,40.9353129735619,31503.8168644532,18.725134613575,14410.8635986073,250.351226448708,192670.303874926,
FF-01-03,CARBON STEEL,"CS+Galv,6,S-40,Butt Weld",CS+Galv,Contractor,6,S-40,Butt Weld,,Dia-Inch,6,,,,,,,,4.60829863279714,27.6497917967828,202.949471788386,1217.69683073032,0,0,43.5668688075766,261.40121284546,19.9288932673048,119.573359603829,266.445233863267,1598.6714031796,
FF-01-04,CARBON STEEL,"CS+Galv,8,S-20,Butt Weld",CS+Galv,Contractor,8,S-20,Butt Weld,,Dia-Inch,8,,,,,,,,4.34712734562892,34.7770187650314,191.447488301498,1531.57990641198,0,0,41.0977546917109,328.782037533687,18.7994407033114,150.395525626491,251.34468369652,2010.75746957216,
FF-01-05,CARBON STEEL,"CS+Galv,10,S-20,Butt Weld",CS+Galv,Contractor,10,S-20,Butt Weld,,Dia-Inch,10,,,,,,,,4.34712734562892,43.4712734562892,191.447488301498,1914.47488301498,0,0,41.0977546917109,410.977546917109,18.7994407033114,187.994407033114,251.34468369652,2513.4468369652,
FF-01-06,CARBON STEEL,"CS+Galv,1,S-80,Thread",CS+Galv,Contractor,1,S-80,Thread,,Dia-Inch,28,,,,,,,,3.46395601928376,96.9907685399453,152.552623089257,4271.4734464992,0,0,32.7482503788495,916.951010607786,14.98010769086,419.44301534408,200.280981158966,5607.86747245106,
FF-01-07,CARBON STEEL,"CS+Galv,1.5,S-80,Thread",CS+Galv,Contractor,1.5,S-80,Thread,,Dia-Inch,17,,,,,,,,3.46395601928376,58.8872523278239,152.552623089257,2593.39459251737,0,0,32.7482503788495,556.720256440442,14.98010769086,254.66183074462,200.280981158966,3404.77667970243,
FF-01-08,CARBON STEEL,"CS+Galv,2,S-80,Thread",CS+Galv,Contractor,2,S-80,Thread,,Dia-Inch,13.3333333333333,,,,,,,,3.46395601928376,46.1860802571167,152.552623089257,2034.03497452342,0,0,32.7482503788495,436.643338384659,14.98010769086,199.734769211466,200.280981158966,2670.41308211955,
FF-01-09,CARBON STEEL,"CS+Galv,4,S-80S,Butt Weld",CS+Galv,Contractor,4,S-80S,Butt Weld,,Dia-Inch,22,,,,,,,,5.10658595699967,112.344891053993,224.894045546265,4947.66900201783,0,0,48.2776786338992,1062.10892994578,22.0837698696606,485.842937132533,295.255494049825,6495.62086909615,
FF-01-10,CARBON STEEL,"CS+FBE,3,S-40,Butt Weld",CS+FBE,Contractor,3,S-40,Butt Weld,,Dia-Inch,133,,,,,,,,4.4903133583308,597.211676657996,197.753400300888,26301.2022400181,0,0,42.4514356762864,5646.04094494609,19.4186581177814,2582.68152966493,259.623494094956,34529.9247146291,
FF-01-11,CARBON STEEL,"CS+FBE,4,S-40,Butt Weld",CS+FBE,Contractor,4,S-40,Butt Weld,,Dia-Inch,754.066666666667,,,,,,,,4.4903133583308,3385.99562640531,197.753400300888,149119.24738689,0,0,42.4514356762864,32011.2125956317,19.4186581177814,14642.962798015,259.623494094956,195773.422780536,
FF-01-12,CARBON STEEL,"CS+FBE,6,S-40,Butt Weld",CS+FBE,Contractor,6,S-40,Butt Weld,,Dia-Inch,6,,,,,,,,4.77897635993778,28.6738581596267,210.46611889166,1262.79671334996,0,0,45.1804565411905,271.082739247143,20.6670004253531,124.002002552119,276.313575858204,1657.88145514922,
FF-01-13,CARBON STEEL,"CS+FBE,8,S-20,Butt Weld",CS+FBE,Contractor,8,S-20,Butt Weld,,Dia-Inch,56,,,,,,,,4.5081320621337,252.455395479487,198.538136016368,11118.1356169166,0,0,42.6198937543669,2386.71405024455,19.4957162849155,1091.76011195527,260.65374605565,14596.6097791164,
FF-01-14,CARBON STEEL,"CS+FBE,10,S-20,Butt Weld",CS+FBE,Contractor,10,S-20,Butt Weld,,Dia-Inch,10,,,,,,,,4.5081320621337,45.081320621337,198.538136016368,1985.38136016368,0,0,42.6198937543669,426.198937543669,19.4957162849155,194.957162849155,260.65374605565,2606.5374605565,
FF-01-15,CARBON STEEL,"CS+FBE,12,S-20,Butt Weld",CS+FBE,Contractor,12,S-20,Butt Weld,,Dia-Inch,12,,,,,,,,4.5081320621337,54.0975847456044,198.538136016368,2382.45763219642,0,0,42.6198937543669,511.438725052403,19.4957162849155,233.948595418986,260.65374605565,3127.84495266781,
FF-01-16,CARBON STEEL,"CS,4,S-40,Butt Weld",CS,Contractor,4,S-40,Butt Weld,,Dia-Inch,607.5,,,,,,,,4.3299450241047,2630.4416021436,190.690778861571,115844.648158404,0,0,40.9353129735619,24868.2026314389,18.725134613575,11375.5192777468,250.351226448708,152088.37006759,
FF-01-17,CARBON STEEL,"CS,3,CL 150,Thread",CS,Contractor,3,CL 150,Thread,,Dia-Inch,47.7,,,,,,,,3.46395601928376,165.230702119835,152.552623089257,7276.76012135756,0,0,32.7482503788495,1562.09154307112,14.98010769086,714.551136854022,200.280981158966,9553.4028012827,
FF-01-18,CARBON STEEL,"CS+Galv,3,CL 3000,Thread",CS+Galv,Contractor,3,CL 3000,Thread,,Dia-Inch,96,,,,,,,,3.46395601928376,332.539777851241,152.552623089257,14645.0518165687,0,0,32.7482503788495,3143.83203636955,14.98010769086,1438.09033832256,200.280981158966,19226.9741912608,
FF-01-19,CARBON STEEL,"CS,1,CL 3000,Thread",CS,Contractor,1,CL 3000,Thread,,Dia-Inch,70,,,,,,,,3.46395601928376,242.476921349863,152.552623089257,10678.683616248,0,0,32.7482503788495,2292.37752651946,14.98010769086,1048.6075383602,200.280981158966,14019.6686811277,
FF-01-20,CARBON STEEL,"CS,2,CL 3000,Thread",CS,Contractor,2,CL 3000,Thread,,Dia-Inch,4,,,,,,,,3.46395601928376,13.855824077135,152.552623089257,610.210492357028,0,0,32.7482503788495,130.993001515398,14.98010769086,59.92043076344,200.280981158966,801.123924635866,
FF-01-21,CARBON STEEL,"CS,3,CL 3000,Thread",CS,Contractor,3,CL 3000,Thread,,Dia-Inch,36,,,,,,,,3.46395601928376,124.702416694215,152.552623089257,5491.89443121325,0,0,32.7482503788495,1178.93701363858,14.98010769086,539.28387687096,200.280981158966,7210.11532172279,
FF-01-22,CARBON STEEL,"CS,1.5,CL 3000,Thread",CS,Contractor,1.5,CL 3000,Thread,,Dia-Inch,30,,,,,,,,3.46395601928376,103.918680578513,152.552623089257,4576.57869267771,0,0,32.7482503788495,982.447511365485,14.98010769086,449.4032307258,200.280981158966,6008.42943476899,
FF-01-23,CARBON STEEL,"CS,4,CL 3000,Thread",CS,Contractor,4,CL 3000,Thread,,Dia-Inch,48,,,,,,,,3.46395601928376,166.26988892562,152.552623089257,7322.52590828434,0,0,32.7482503788495,1571.91601818478,14.98010769086,719.04516916128,200.280981158966,9613.48709563039,
FF-01-24,CARBON STEEL,"CS,4,S-80,Butt Weld",CS,Contractor,4,S-80,Butt Weld,,Dia-Inch,36,,,,,,,,5.10658595699967,183.837094451988,224.894045546265,8096.18563966554,0,0,48.2776786338992,1737.99643082037,22.0837698696606,795.015715307782,295.255494049825,10629.1977857937,
FF-01-25,CARBON STEEL,"CS,1,S-40,Butt Weld",CS,Contractor,1,S-40,Butt Weld,,Dia-Inch,81,,,,,,,,4.3299450241047,350.725546952481,190.690778861571,15445.9530877873,0,0,40.9353129735619,3315.76035085851,18.725134613575,1516.73590369958,250.351226448708,20278.4493423453,
FF-01-26,CARBON STEEL,"CS,1.5,S-40,Butt Weld",CS,Contractor,1.5,S-40,Butt Weld,,Dia-Inch,142.5,,,,,,,,4.3299450241047,617.01716593492,190.690778861571,27173.4359877739,0,0,40.9353129735619,5833.28209873257,18.725134613575,2668.33168243444,250.351226448708,35675.0497689409,
FF-01-27,CARBON STEEL,"CS,2,S-40,Butt Weld",CS,Contractor,2,S-40,Butt Weld,,Dia-Inch,36.5,,,,,,,,4.3299450241047,158.042993379822,190.690778861571,6960.21342844734,0,0,40.9353129735619,1494.13892353501,18.725134613575,683.467413395488,250.351226448708,9137.81976537784,
FF-01-28,CARBON STEEL,"CS,3,S-40,Butt Weld",CS,Contractor,3,S-40,Butt Weld,,Dia-Inch,69.5,,,,,,,,4.3299450241047,300.931179175277,190.690778861571,13253.0091308792,0,0,40.9353129735619,2845.00425166255,18.725134613575,1301.39685564346,250.351226448708,17399.4102381852,
FF-01-29,CARBON STEEL,"CS,3,CL 800,Thread",CS,Contractor,3,CL 800,Thread,,Dia-Inch,144,,,,,,,,3.46395601928376,498.809666776861,152.552623089257,21967.577724853,0,0,32.7482503788495,4715.74805455433,14.98010769086,2157.13550748384,200.280981158966,28840.4612868912,
FF-01-30,CARBON STEEL,"CS,1,CL 800,Thread",CS,Contractor,1,CL 800,Thread,,Dia-Inch,2,,,,,,,,3.46395601928376,6.92791203856752,152.552623089257,305.105246178514,0,0,32.7482503788495,65.496500757699,14.98010769086,29.96021538172,200.280981158966,400.561962317933,
